>>> A/B lean physics: seed 92 = FULL block, seed 93 = LEAN  2026-09-01 08:59:51
2026-09-01 09:00:15,397 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:15,399 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:15,400 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:15,400 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:15,403 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:15,406 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:15,406 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:15,408 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:15,408 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:15,412 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:15,412 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:15,415 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:15,415 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:15,419 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:15,420 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:15,420 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:15,427 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:15,433 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:15,435 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:15,436 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:15,437 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:15,440 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:15,443 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:15,443 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:15,446 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:15,446 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:15,451 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:15,451 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:15,454 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:15,454 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:15,461 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:15,461 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:15,461 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:15,471 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:15,549 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:15,551 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:15,551 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:15,552 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:15,555 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:15,558 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:15,558 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:15,561 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:15,561 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:15,566 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:15,566 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:15,568 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:15,568 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:15,573 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:15,573 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:15,573 [oasis] INFO: Starting OASiS MCP server
