x,y,u
1.136363636363636e-02,1.136363636363636e-02,1.409041228890405e-04
1.136363636363636e-02,3.409090909090909e-02,4.383471586993371e-04
1.136363636363636e-02,5.681818181818182e-02,7.426162601394870e-04
1.136363636363636e-02,7.954545454545454e-02,1.025293790448783e-03
1.136363636363636e-02,1.022727272727273e-01,1.254148507976932e-03
1.136363636363636e-02,1.250000000000000e-01,1.483778589262041e-03
1.136363636363636e-02,1.477272727272727e-01,1.672056606754012e-03
1.136363636363636e-02,1.704545454545454e-01,1.857052401402476e-03
1.136363636363636e-02,1.931818181818182e-01,2.016983328036642e-03
1.136363636363636e-02,2.159090909090909e-01,2.150717059728028e-03
1.136363636363636e-02,2.386363636363636e-01,2.276021671902324e-03
1.136363636363636e-02,2.613636363636364e-01,2.370557906500219e-03
1.136363636363636e-02,2.840909090909091e-01,2.458461793622229e-03
1.136363636363636e-02,3.068181818181818e-01,2.521613890624884e-03
1.136363636363636e-02,3.295454545454545e-01,2.575027317659360e-03
1.136363636363636e-02,3.522727272727273e-01,2.609120308426485e-03
1.136363636363636e-02,3.750000000000000e-01,2.630823568669933e-03
1.136363636363636e-02,3.977272727272727e-01,2.638372901503508e-03
1.136363636363636e-02,4.204545454545455e-01,2.631131325310185e-03
1.136363636363636e-02,4.431818181818182e-01,2.612368637926701e-03
1.136363636363636e-02,4.659090909090909e-01,2.581169143586285e-03
1.136363636363636e-02,4.886363636363636e-01,2.536904817767624e-03
1.136363636363636e-02,5.113636363636364e-01,2.486034592540922e-03
1.136363636363636e-02,5.340909090909091e-01,2.419829243952197e-03
1.136363636363636e-02,5.568181818181818e-01,2.351155451496254e-03
1.136363636363636e-02,5.795454545454546e-01,2.265738770946764e-03
1.136363636363636e-02,6.022727272727273e-01,2.181386414660697e-03
1.136363636363636e-02,6.250000000000000e-01,2.079776721386125e-03
1.136363636363636e-02,6.477272727272727e-01,1.982420075322246e-03
1.136363636363636e-02,6.704545454545454e-01,1.867111273313115e-03
1.136363636363636e-02,6.931818181818182e-01,1.750780711034905e-03
1.136363636363636e-02,7.159090909090909e-01,1.633096014168216e-03
1.136363636363636e-02,7.386363636363636e-01,1.503239457103401e-03
1.136363636363636e-02,7.613636363636364e-01,1.382683744525159e-03
1.136363636363636e-02,7.840909090909091e-01,1.246335718785028e-03
1.136363636363636e-02,8.068181818181818e-01,1.121468678675288e-03
1.136363636363636e-02,8.295454545454546e-01,9.812638076202370e-04
1.136363636363636e-02,8.522727272727273e-01,8.540562383615917e-04
1.136363636363636e-02,8.750000000000000e-01,7.129971763898632e-04
1.136363636363636e-02,8.977272727272727e-01,5.864338694314179e-04
1.136363636363636e-02,9.204545454545454e-01,4.472615827247642e-04
1.136363636363636e-02,9.431818181818182e-01,3.175234935504436e-04
1.136363636363636e-02,9.659090909090909e-01,1.906887662429677e-04
1.136363636363636e-02,9.886363636363636e-01,6.684189960031964e-05
3.409090909090909e-02,1.136363636363636e-02,4.756239828370464e-04
3.409090909090909e-02,3.409090909090909e-02,1.355692685223278e-03
3.409090909090909e-02,5.681818181818182e-02,2.148153362310997e-03
3.409090909090909e-02,7.954545454545454e-02,2.935474025067485e-03
3.409090909090909e-02,1.022727272727273e-01,3.584754051005474e-03
3.409090909090909e-02,1.250000000000000e-01,4.232051349961452e-03
3.409090909090909e-02,1.477272727272727e-01,4.754617403808028e-03
3.409090909090909e-02,1.704545454545454e-01,5.268719065353204e-03
3.409090909090909e-02,1.931818181818182e-01,5.683901213075918e-03
3.409090909090909e-02,2.159090909090909e-01,6.072181403076376e-03
3.409090909090909e-02,2.386363636363636e-01,6.388545646599249e-03
3.409090909090909e-02,2.613636363636364e-01,6.660504845905045e-03
3.409090909090909e-02,2.840909090909091e-01,6.880635410215279e-03
3.409090909090909e-02,3.068181818181818e-01,7.049375382076283e-03
3.409090909090909e-02,3.295454545454545e-01,7.177239531798007e-03
3.409090909090909e-02,3.522727272727273e-01,7.255262421303634e-03
3.409090909090909e-02,3.750000000000000e-01,7.295094567391879e-03
3.409090909090909e-02,3.977272727272727e-01,7.295309962715635e-03
3.409090909090909e-02,4.204545454545455e-01,7.253173637809446e-03
3.409090909090909e-02,4.431818181818182e-01,7.183217759156599e-03
3.409090909090909e-02,4.659090909090909e-01,7.070185228938692e-03
3.409090909090909e-02,4.886363636363636e-01,6.934996110692246e-03
3.409090909090909e-02,5.113636363636364e-01,6.762554519461719e-03
3.409090909090909e-02,5.340909090909091e-01,6.566557648013299e-03
3.409090909090909e-02,5.568181818181818e-01,6.347386997320351e-03
3.409090909090909e-02,5.795454545454546e-01,6.097362058340879e-03
3.409090909090909e-02,6.022727272727273e-01,5.839822910726042e-03
3.409090909090909e-02,6.250000000000000e-01,5.542643739283557e-03
3.409090909090909e-02,6.477272727272727e-01,5.258279020789100e-03
3.409090909090909e-02,6.704545454545454e-01,4.927588233032035e-03
3.409090909090909e-02,6.931818181818182e-01,4.613481921369353e-03
3.409090909090909e-02,7.159090909090909e-01,4.262958245758599e-03
3.409090909090909e-02,7.386363636363636e-01,3.923397985494159e-03
3.409090909090909e-02,7.613636363636364e-01,3.564667606103386e-03
3.409090909090909e-02,7.840909090909091e-01,3.206637809833103e-03
3.409090909090909e-02,8.068181818181818e-01,2.850272188690334e-03
3.409090909090909e-02,8.295454545454546e-01,2.483109223598570e-03
3.409090909090909e-02,8.522727272727273e-01,2.134105974909495e-03
3.409090909090909e-02,8.750000000000000e-01,1.768040722713016e-03
3.409090909090909e-02,8.977272727272727e-01,1.435181674421759e-03
3.409090909090909e-02,9.204545454545454e-01,1.083081968026962e-03
3.409090909090909e-02,9.431818181818182e-01,7.698232590193673e-04
3.409090909090909e-02,9.659090909090909e-01,4.504734194637097e-04
3.409090909090909e-02,9.886363636363636e-01,1.451919947342897e-04
5.681818181818182e-02,1.136363636363636e-02,7.353697188190200e-04
5.681818181818182e-02,3.409090909090909e-02,2.126364507546136e-03
5.681818181818182e-02,5.681818181818182e-02,3.424717575140563e-03
5.681818181818182e-02,7.954545454545454e-02,4.618333607939421e-03
5.681818181818182e-02,1.022727272727273e-01,5.675864492022052e-03
5.681818181818182e-02,1.250000000000000e-01,6.648182764771997e-03
5.681818181818182e-02,1.477272727272727e-01,7.491483052237860e-03
5.681818181818182e-02,1.704545454545454e-01,8.262309705385829e-03
5.681818181818182e-02,1.931818181818182e-01,8.911770620475530e-03
5.681818181818182e-02,2.159090909090909e-01,9.492044124761973e-03
5.681818181818182e-02,2.386363636363636e-01,9.963328480641759e-03
5.681818181818182e-02,2.613636363636364e-01,1.036556324390537e-02
5.681818181818182e-02,2.840909090909091e-01,1.067452550108446e-02
5.681818181818182e-02,3.068181818181818e-01,1.091332880767871e-02
5.681818181818182e-02,3.295454545454545e-01,1.107469172462961e-02
5.681818181818182e-02,3.522727272727273e-01,1.116889757834864e-02
5.681818181818182e-02,3.750000000000000e-01,1.119342292320528e-02
5.681818181818182e-02,3.977272727272727e-01,1.116126887939151e-02
5.681818181818182e-02,4.204545454545455e-01,1.106013487941165e-02
5.681818181818182e-02,4.431818181818182e-01,1.091444545081352e-02
5.681818181818182e-02,4.659090909090909e-01,1.070451106926051e-02
5.681818181818182e-02,4.886363636363636e-01,1.045959012321425e-02
5.681818181818182e-02,5.113636363636364e-01,1.015718706886071e-02
5.681818181818182e-02,5.340909090909091e-01,9.826329737117414e-03
5.681818181818182e-02,5.568181818181818e-01,9.450665149669538e-03
5.681818181818182e-02,5.795454545454546e-01,9.044145606883072e-03
5.681818181818182e-02,6.022727272727273e-01,8.610809734836335e-03
5.681818181818182e-02,6.250000000000000e-01,8.142609713063567e-03
5.681818181818182e-02,6.477272727272727e-01,7.667439907788217e-03
5.681818181818182e-02,6.704545454545454e-01,7.151053073014570e-03
5.681818181818182e-02,6.931818181818182e-01,6.641979878402537e-03
5.681818181818182e-02,7.159090909090909e-01,6.099169561313306e-03
5.681818181818182e-02,7.386363636363636e-01,5.570315741084074e-03
5.681818181818182e-02,7.613636363636364e-01,5.018280661609509e-03
5.681818181818182e-02,7.840909090909091e-01,4.482395268139067e-03
5.681818181818182e-02,8.068181818181818e-01,3.939637221351971e-03
5.681818181818182e-02,8.295454545454546e-01,3.407742816074342e-03
5.681818181818182e-02,8.522727272727273e-01,2.885124579450319e-03
5.681818181818182e-02,8.750000000000000e-01,2.375805854101382e-03
5.681818181818182e-02,8.977272727272727e-01,1.890963678378459e-03
5.681818181818182e-02,9.204545454545454e-01,1.419034909759134e-03
5.681818181818182e-02,9.431818181818182e-01,9.767365790655134e-04
5.681818181818182e-02,9.659090909090909e-01,5.637558299557242e-04
5.681818181818182e-02,9.886363636363636e-01,1.799826611988192e-04
7.954545454545454e-02,1.136363636363636e-02,9.952375585265101e-04
7.954545454545454e-02,3.409090909090909e-02,2.868434786931682e-03
7.954545454545454e-02,5.681818181818182e-02,4.577006876935967e-03
7.954545454545454e-02,7.954545454545454e-02,6.115719262461495e-03
7.954545454545454e-02,1.022727272727273e-01,7.535100709273657e-03
7.954545454545454e-02,1.250000000000000e-01,8.773138179914377e-03
7.954545454545454e-02,1.477272727272727e-01,9.891644080512034e-03
7.954545454545454e-02,1.704545454545454e-01,1.086355741762109e-02
7.954545454545454e-02,1.931818181818182e-01,1.170736519651876e-02
7.954545454545454e-02,2.159090909090909e-01,1.242479062555310e-02
7.954545454545454e-02,2.386363636363636e-01,1.302080090605616e-02
7.954545454545454e-02,2.613636363636364e-01,1.350467674966682e-02
7.954545454545454e-02,2.840909090909091e-01,1.387360864819122e-02
7.954545454545454e-02,3.068181818181818e-01,1.414511680539923e-02
7.954545454545454e-02,3.295454545454545e-01,1.430902388570706e-02
7.954545454545454e-02,3.522727272727273e-01,1.438834695273263e-02
7.954545454545454e-02,3.750000000000000e-01,1.436987365699174e-02
7.954545454545454e-02,3.977272727272727e-01,1.427572659517172e-02
7.954545454545454e-02,4.204545454545455e-01,1.409903066799610e-02
7.954545454545454e-02,4.431818181818182e-01,1.385329346819012e-02
7.954545454545454e-02,4.659090909090909e-01,1.353900817046249e-02
7.954545454545454e-02,4.886363636363636e-01,1.316350019862951e-02
7.954545454545454e-02,5.113636363636364e-01,1.273279739472226e-02
7.954545454545454e-02,5.340909090909091e-01,1.224923679656345e-02
7.954545454545454e-02,5.568181818181818e-01,1.172270552312797e-02
7.954545454545454e-02,5.795454545454546e-01,1.115311470832400e-02
7.954545454545454e-02,6.022727272727273e-01,1.055207156471660e-02
7.954545454545454e-02,6.250000000000000e-01,9.917880731601618e-03
7.954545454545454e-02,6.477272727272727e-01,9.262215021986962e-03
7.954545454545454e-02,6.704545454545454e-01,8.586329511987399e-03
7.954545454545454e-02,6.931818181818182e-01,7.897984470923484e-03
7.954545454545454e-02,7.159090909090909e-01,7.200958579467067e-03
7.954545454545454e-02,7.386363636363636e-01,6.501712514157400e-03
7.954545454545454e-02,7.613636363636364e-01,5.804875458182867e-03
7.954545454545454e-02,7.840909090909091e-01,5.116769848077470e-03
7.954545454545454e-02,8.068181818181818e-01,4.440974041624936e-03
7.954545454545454e-02,8.295454545454546e-01,3.785687239374900e-03
7.954545454545454e-02,8.522727272727273e-01,3.150147329307498e-03
7.954545454545454e-02,8.750000000000000e-01,2.542652987888204e-03
7.954545454545454e-02,8.977272727272727e-01,1.976335218294445e-03
7.954545454545454e-02,9.204545454545454e-01,1.449650333980925e-03
7.954545454545454e-02,9.431818181818182e-01,9.697196686038936e-04
7.954545454545454e-02,9.659090909090909e-01,5.378851417229492e-04
7.954545454545454e-02,9.886363636363636e-01,1.634729982616067e-04
1.022727272727273e-01,1.136363636363636e-02,1.207101848995842e-03
1.022727272727273e-01,3.409090909090909e-02,3.484223138684303e-03
1.022727272727273e-01,5.681818181818182e-02,5.562800750620846e-03
1.022727272727273e-01,7.954545454545454e-02,7.438308626919636e-03
1.022727272727273e-01,1.022727272727273e-01,9.124395789716768e-03
1.022727272727273e-01,1.250000000000000e-01,1.060470275826864e-02
1.022727272727273e-01,1.477272727272727e-01,1.193059799909690e-02
1.022727272727273e-01,1.704545454545454e-01,1.306481884937676e-02
1.022727272727273e-01,1.931818181818182e-01,1.405008020826005e-02
1.022727272727273e-01,2.159090909090909e-01,1.486460926131241e-02
