x, y, u
1.136363636363636e-02, 1.136363636363636e-02, 0.000000000000000e+00
3.409090909090909e-02, 1.136363636363636e-02, 5.233856451573782e-04
5.681818181818182e-02, 1.136363636363636e-02, 6.283981467270387e-04
7.954545454545454e-02, 1.136363636363636e-02, 9.422806509848007e-04
1.022727272727273e-01, 1.136363636363636e-02, 1.237607194431559e-03
1.250000000000000e-01, 1.136363636363636e-02, 1.363560453765363e-03
1.477272727272727e-01, 1.136363636363636e-02, 1.480464084142826e-03
1.704545454545454e-01, 1.136363636363636e-02, 1.676069746762813e-03
1.931818181818182e-01, 1.136363636363636e-02, 1.819878033873870e-03
2.159090909090909e-01, 1.136363636363636e-02, 1.861422047337980e-03
2.386363636363636e-01, 1.136363636363636e-02, 1.941004048339022e-03
2.613636363636364e-01, 1.136363636363636e-02, 2.015889604810086e-03
2.840909090909091e-01, 1.136363636363636e-02, 2.044615455475968e-03
3.068181818181818e-01, 1.136363636363636e-02, 2.056428160036514e-03
3.295454545454545e-01, 1.136363636363636e-02, 2.063950727475821e-03
3.522727272727273e-01, 1.136363636363636e-02, 2.043095314183366e-03
3.750000000000000e-01, 1.136363636363636e-02, 2.019667717432186e-03
3.977272727272727e-01, 1.136363636363636e-02, 1.996231534405377e-03
4.204545454545455e-01, 1.136363636363636e-02, 1.926275949352612e-03
4.431818181818182e-01, 1.136363636363636e-02, 1.842167689049603e-03
4.659090909090909e-01, 1.136363636363636e-02, 1.805639083423738e-03
4.886363636363636e-01, 1.136363636363636e-02, 1.728612892897722e-03
5.113636363636364e-01, 1.136363636363636e-02, 1.606649765154701e-03
5.340909090909091e-01, 1.136363636363636e-02, 1.510947706830907e-03
5.568181818181818e-01, 1.136363636363636e-02, 1.463545025457549e-03
5.795454545454546e-01, 1.136363636363636e-02, 1.330764196658308e-03
6.022727272727273e-01, 1.136363636363636e-02, 1.182565150428628e-03
6.250000000000000e-01, 1.136363636363636e-02, 1.106952705855159e-03
6.477272727272727e-01, 1.136363636363636e-02, 1.031348873911801e-03
6.704545454545454e-01, 1.136363636363636e-02, 8.799927684724529e-04
6.931818181818182e-01, 1.136363636363636e-02, 7.412598125918486e-04
7.159090909090909e-01, 1.136363636363636e-02, 6.907620974278133e-04
7.386363636363636e-01, 1.136363636363636e-02, 5.884784947557897e-04
7.613636363636364e-01, 1.136363636363636e-02, 4.541527576977133e-04
7.840909090909091e-01, 1.136363636363636e-02, 3.653266641043507e-04
8.068181818181818e-01, 1.136363636363636e-02, 3.230658565620592e-04
8.295454545454546e-01, 1.136363636363636e-02, 2.230343390433380e-04
8.522727272727273e-01, 1.136363636363636e-02, 1.320254926274029e-04
8.750000000000000e-01, 1.136363636363636e-02, 9.386242545999256e-05
8.977272727272727e-01, 1.136363636363636e-02, 6.132956606445781e-05
9.204545454545454e-01, 1.136363636363636e-02, 1.541521719386176e-05
9.431818181818182e-01, 1.136363636363636e-02, -6.573359965322410e-06
9.659090909090909e-01, 1.136363636363636e-02, -1.076772469105770e-05
9.886363636363636e-01, 1.136363636363636e-02, -1.400770315335147e-05
1.136363636363636e-02, 3.409090909090909e-02, 4.979126036909361e-04
3.409090909090909e-02, 3.409090909090909e-02, 1.329459023476547e-03
5.681818181818182e-02, 3.409090909090909e-02, 2.149777442950257e-03
7.954545454545454e-02, 3.409090909090909e-02, 2.869084228943700e-03
1.022727272727273e-01, 3.409090909090909e-02, 3.397465578310615e-03
1.250000000000000e-01, 3.409090909090909e-02, 3.992239336967392e-03
1.477272727272727e-01, 3.409090909090909e-02, 4.501099968581508e-03
1.704545454545454e-01, 3.409090909090909e-02, 4.869049668674919e-03
1.931818181818182e-01, 3.409090909090909e-02, 5.197067770735550e-03
2.159090909090909e-01, 3.409090909090909e-02, 5.484380669012264e-03
2.386363636363636e-01, 3.409090909090909e-02, 5.705716324832421e-03
2.613636363636364e-01, 3.409090909090909e-02, 5.834806306566446e-03
2.840909090909091e-01, 3.409090909090909e-02, 5.932580504674424e-03
3.068181818181818e-01, 3.409090909090909e-02, 5.975922498972669e-03
3.295454545454545e-01, 3.409090909090909e-02, 5.971010334308460e-03
3.522727272727273e-01, 3.409090909090909e-02, 5.931661982401414e-03
3.750000000000000e-01, 3.409090909090909e-02, 5.830639492989843e-03
3.977272727272727e-01, 3.409090909090909e-02, 5.689539639526977e-03
4.204545454545455e-01, 3.409090909090909e-02, 5.547279637574312e-03
4.431818181818182e-01, 3.409090909090909e-02, 5.355524952970371e-03
4.659090909090909e-01, 3.409090909090909e-02, 5.113716925869504e-03
4.886363636363636e-01, 3.409090909090909e-02, 4.846221358038507e-03
5.113636363636364e-01, 3.409090909090909e-02, 4.635026213073301e-03
5.340909090909091e-01, 3.409090909090909e-02, 4.324809668159838e-03
5.568181818181818e-01, 3.409090909090909e-02, 4.000067203853003e-03
5.795454545454546e-01, 3.409090909090909e-02, 3.692244685669059e-03
6.022727272727273e-01, 3.409090909090909e-02, 3.407219792234160e-03
6.250000000000000e-01, 3.409090909090909e-02, 3.057512898381455e-03
6.477272727272727e-01, 3.409090909090909e-02, 2.707579196806377e-03
6.704545454545454e-01, 3.409090909090909e-02, 2.418175354801048e-03
6.931818181818182e-01, 3.409090909090909e-02, 2.103169222717400e-03
7.159090909090909e-01, 3.409090909090909e-02, 1.771845122459716e-03
7.386363636363636e-01, 3.409090909090909e-02, 1.454737791035625e-03
7.613636363636364e-01, 3.409090909090909e-02, 1.221347533280537e-03
7.840909090909091e-01, 3.409090909090909e-02, 9.405954086361239e-04
8.068181818181818e-01, 3.409090909090909e-02, 6.856352830119991e-04
8.295454545454546e-01, 3.409090909090909e-02, 4.701569375847244e-04
8.522727272727273e-01, 3.409090909090909e-02, 3.002604565061408e-04
8.750000000000000e-01, 3.409090909090909e-02, 1.403258318263948e-04
8.977272727272727e-01, 3.409090909090909e-02, 1.768242571263180e-05
9.204545454545454e-01, 3.409090909090909e-02, -6.092471349858238e-05
9.431818181818182e-01, 3.409090909090909e-02, -1.093844615387376e-04
9.659090909090909e-01, 3.409090909090909e-02, -9.852869963620200e-05
9.886363636363636e-01, 3.409090909090909e-02, -4.465182263086302e-05
1.136363636363636e-02, 5.681818181818182e-02, 8.058090174193287e-04
3.409090909090909e-02, 5.681818181818182e-02, 2.032640864339824e-03
5.681818181818182e-02, 5.681818181818182e-02, 3.359141303661227e-03
7.954545454545454e-02, 5.681818181818182e-02, 4.491130495890286e-03
1.022727272727273e-01, 5.681818181818182e-02, 5.525078985752800e-03
1.250000000000000e-01, 5.681818181818182e-02, 6.399658278758673e-03
1.477272727272727e-01, 5.681818181818182e-02, 7.117404173392574e-03
1.704545454545454e-01, 5.681818181818182e-02, 7.754199965781811e-03
1.931818181818182e-01, 5.681818181818182e-02, 8.285241316816391e-03
2.159090909090909e-01, 5.681818181818182e-02, 8.692384057192776e-03
2.386363636363636e-01, 5.681818181818182e-02, 8.989805374344647e-03
2.613636363636364e-01, 5.681818181818182e-02, 9.202873873372744e-03
2.840909090909091e-01, 5.681818181818182e-02, 9.334469558702983e-03
3.068181818181818e-01, 5.681818181818182e-02, 9.371777233157959e-03
