x, y, u
1.136363636363636e-02, 1.136363636363636e-02, -1.345578617729117e-03
1.136363636363636e-02, 3.409090909090909e-02, -1.670556406679313e-03
1.136363636363636e-02, 5.681818181818182e-02, -2.645489773529903e-03
1.136363636363636e-02, 7.954545454545454e-02, -3.895425664460127e-03
1.136363636363636e-02, 1.022727272727273e-01, -4.792270331321116e-03
1.136363636363636e-02, 1.250000000000000e-01, -5.091218553608111e-03
1.136363636363636e-02, 1.477272727272727e-01, -6.228745404785694e-03
1.136363636363636e-02, 1.704545454545454e-01, -7.303901690023348e-03
1.136363636363636e-02, 1.931818181818182e-01, -7.808246919715250e-03
1.136363636363636e-02, 2.159090909090909e-01, -8.312592149407150e-03
1.136363636363636e-02, 2.386363636363636e-01, -9.250726950468871e-03
1.136363636363636e-02, 2.613636363636364e-01, -1.011421971037783e-02
1.136363636363636e-02, 2.840909090909091e-01, -1.031041140022083e-02
1.136363636363636e-02, 3.068181818181818e-01, -1.089898646974985e-02
1.136363636363636e-02, 3.295454545454545e-01, -1.160094508352328e-02
1.136363636363636e-02, 3.522727272727273e-01, -1.206224739220670e-02
1.136363636363636e-02, 3.750000000000000e-01, -1.221601482843451e-02
1.136363636363636e-02, 3.977272727272727e-01, -1.274011623036447e-02
1.136363636363636e-02, 4.204545454545455e-01, -1.316917092826627e-02
1.136363636363636e-02, 4.431818181818182e-01, -1.333413624046192e-02
1.136363636363636e-02, 4.659090909090909e-01, -1.349910155265758e-02
1.136363636363636e-02, 4.886363636363636e-01, -1.372583182596256e-02
1.136363636363636e-02, 5.113636363636364e-01, -1.384528652023182e-02
1.136363636363636e-02, 5.340909090909091e-01, -1.384731277189201e-02
1.136363636363636e-02, 5.568181818181818e-01, -1.385339152687260e-02
1.136363636363636e-02, 5.795454545454546e-01, -1.374607400615048e-02
1.136363636363636e-02, 6.022727272727273e-01, -1.357596535260881e-02
1.136363636363636e-02, 6.250000000000000e-01, -1.351926246809492e-02
1.136363636363636e-02, 6.477272727272727e-01, -1.316888701185734e-02
1.136363636363636e-02, 6.704545454545454e-01, -1.269087961139493e-02
1.136363636363636e-02, 6.931818181818182e-01, -1.238602704122819e-02
1.136363636363636e-02, 7.159090909090909e-01, -1.208117447106145e-02
1.136363636363636e-02, 7.386363636363636e-01, -1.133570861995533e-02
1.136363636363636e-02, 7.613636363636364e-01, -1.045042267244453e-02
1.136363636363636e-02, 7.840909090909091e-01, -1.019313253075222e-02
1.136363636363636e-02, 8.068181818181818e-01, -9.421262105675270e-03
