x, y, u
1.136363636363636e-02, 1.136363636363636e-02, -2.540644395576944e-03
1.136363636363636e-02, 3.409090909090909e-02, -2.540644395576944e-03
1.136363636363636e-02, 5.681818181818182e-02, -2.540644395576944e-03
1.136363636363636e-02, 7.954545454545454e-02, -4.893660963653442e-03
1.136363636363636e-02, 1.022727272727273e-01, -4.893660963653442e-03
1.136363636363636e-02, 1.250000000000000e-01, -4.893660963653442e-03
1.136363636363636e-02, 1.477272727272727e-01, -7.025300853444614e-03
1.136363636363636e-02, 1.704545454545454e-01, -7.025300853444614e-03
1.136363636363636e-02, 1.931818181818182e-01, -7.964122940944309e-03
1.136363636363636e-02, 2.159090909090909e-01, -8.902945028444001e-03
1.136363636363636e-02, 2.386363636363636e-01, -8.902945028444001e-03
1.136363636363636e-02, 2.613636363636364e-01, -1.049434372827025e-02
1.136363636363636e-02, 2.840909090909091e-01, -1.049434372827025e-02
1.136363636363636e-02, 3.068181818181818e-01, -1.049434372827025e-02
1.136363636363636e-02, 3.295454545454545e-01, -1.176741167843479e-02
1.136363636363636e-02, 3.522727272727273e-01, -1.176741167843479e-02
1.136363636363636e-02, 3.750000000000000e-01, -1.176741167843479e-02
1.136363636363636e-02, 3.977272727272727e-01, -1.269016008045475e-02
1.136363636363636e-02, 4.204545454545455e-01, -1.269016008045475e-02
1.136363636363636e-02, 4.431818181818182e-01, -1.296041631848328e-02
1.136363636363636e-02, 4.659090909090909e-01, -1.323067255651180e-02
1.136363636363636e-02, 4.886363636363636e-01, -1.323067255651180e-02
1.136363636363636e-02, 5.113636363636364e-01, -1.335709970744247e-02
1.136363636363636e-02, 5.340909090909091e-01, -1.335709970744247e-02
1.136363636363636e-02, 5.568181818181818e-01, -1.335709970744247e-02
1.136363636363636e-02, 5.795454545454546e-01, -1.303766524170977e-02
1.136363636363636e-02, 6.022727272727273e-01, -1.303766524170977e-02
1.136363636363636e-02, 6.250000000000000e-01, -1.303766524170977e-02
1.136363636363636e-02, 6.477272727272727e-01, -1.224068286345226e-02
1.136363636363636e-02, 6.704545454545454e-01, -1.224068286345226e-02
1.136363636363636e-02, 6.931818181818182e-01, -1.158763579198510e-02
1.136363636363636e-02, 7.159090909090909e-01, -1.093458872051794e-02
1.136363636363636e-02, 7.386363636363636e-01, -1.093458872051794e-02
1.136363636363636e-02, 7.613636363636364e-01, -9.088004906207729e-03
1.136363636363636e-02, 7.840909090909091e-01, -9.088004906207729e-03
1.136363636363636e-02, 8.068181818181818e-01, -9.088004906207729e-03
1.136363636363636e-02, 8.295454545454546e-01, -6.669883453238658e-03
1.136363636363636e-02, 8.522727272727273e-01, -6.669883453238658e-03
1.136363636363636e-02, 8.750000000000000e-01, -6.669883453238658e-03
1.136363636363636e-02, 8.977272727272727e-01, -3.649912134236826e-03
1.136363636363636e-02, 9.204545454545454e-01, -3.649912134236826e-03
1.136363636363636e-02, 9.431818181818182e-01, -1.824956067118398e-03
1.136363636363636e-02, 9.659090909090909e-01, 0.000000000000000e+00
1.136363636363636e-02, 9.886363636363636e-01, 0.000000000000000e+00
3.409090909090909e-02, 1.136363636363636e-02, -2.540644395576945e-03
3.409090909090909e-02, 3.409090909090909e-02, -7.621933186730831e-03
3.409090909090909e-02, 5.681818181818182e-02, -7.621933186730831e-03
3.409090909090909e-02, 7.954545454545454e-02, -1.115145803884558e-02
3.409090909090909e-02, 1.022727272727273e-01, -1.468098289096032e-02
3.409090909090909e-02, 1.250000000000000e-01, -1.468098289096032e-02
3.409090909090909e-02, 1.477272727272727e-01, -1.894426267054267e-02
3.409090909090909e-02, 1.704545454545454e-01, -2.107590256033384e-02
3.409090909090909e-02, 1.931818181818182e-01, -2.201472464783353e-02
3.409090909090909e-02, 2.159090909090909e-01, -2.577001299783231e-02
3.409090909090909e-02, 2.386363636363636e-01, -2.670883508533200e-02
3.409090909090909e-02, 2.613636363636364e-01, -2.830023378515825e-02
3.409090909090909e-02, 2.840909090909091e-01, -3.148303118481075e-02
3.409090909090909e-02, 3.068181818181818e-01, -3.148303118481075e-02
3.409090909090909e-02, 3.295454545454545e-01, -3.339263311005755e-02
3.409090909090909e-02, 3.522727272727273e-01, -3.530223503530436e-02
3.409090909090909e-02, 3.750000000000000e-01, -3.530223503530436e-02
3.409090909090909e-02, 3.977272727272727e-01, -3.714773183934428e-02
