x, y, u
1.13636363636e-02, 1.13636363636e-02, 3.23461104286e-04
1.13636363636e-02, 3.40909090909e-02, 7.31585557139e-04
1.13636363636e-02, 5.68181818182e-02, 1.26624885650e-03
1.13636363636e-02, 7.95454545455e-02, 1.67975098922e-03
1.13636363636e-02, 1.02272727273e-01, 2.21842661944e-03
1.13636363636e-02, 1.25000000000e-01, 2.63242443381e-03
1.13636363636e-02, 1.47727272727e-01, 3.16794819187e-03
1.13636363636e-02, 1.70454545455e-01, 3.61767179671e-03
1.13636363636e-02, 1.93181818182e-01, 4.10164309706e-03
1.13636363636e-02, 2.15909090909e-01, 4.57822297355e-03
1.13636363636e-02, 2.38636363636e-01, 5.00470461944e-03
1.13636363636e-02, 2.61363636364e-01, 5.49608830179e-03
1.13636363636e-02, 2.84090909091e-01, 5.86041027162e-03
1.13636363636e-02, 3.06818181818e-01, 6.31632483435e-03
1.13636363636e-02, 3.29545454545e-01, 6.65003897834e-03
1.13636363636e-02, 3.52272727273e-01, 7.05860723620e-03
1.13636363636e-02, 3.75000000000e-01, 7.35300633029e-03
1.13636363636e-02, 3.97727272727e-01, 7.70140148458e-03
1.13636363636e-02, 4.20454545455e-01, 7.96904150051e-03
1.13636363636e-02, 4.43181818182e-01, 8.22205702740e-03
1.13636363636e-02, 4.65909090909e-01, 8.43988670615e-03
1.13636363636e-02, 4.88636363636e-01, 8.59762816430e-03
1.13636363636e-02, 5.11363636364e-01, 8.73959730495e-03
1.13636363636e-02, 5.34090909091e-01, 8.80597699383e-03
1.13636363636e-02, 5.56818181818e-01, 8.84255782897e-03
1.13636363636e-02, 5.79545454545e-01, 8.82714514961e-03
1.13636363636e-02, 6.02272727273e-01, 8.74825739449e-03
1.13636363636e-02, 6.25000000000e-01, 8.64495629047e-03
1.13636363636e-02, 6.47727272727e-01, 8.44363634553e-03
1.13636363636e-02, 6.70454545455e-01, 8.22467385009e-03
1.13636363636e-02, 6.93181818182e-01, 7.92229300217e-03
1.13636363636e-02, 7.15909090909e-01, 7.56768260942e-03
1.13636363636e-02, 7.38636363636e-01, 7.18624397631e-03
1.13636363636e-02, 7.61363636364e-01, 6.68177367603e-03
1.13636363636e-02, 7.84090909091e-01, 6.24745419109e-03
1.13636363636e-02, 8.06818181818e-01, 5.63570711474e-03
1.13636363636e-02, 8.29545454545e-01, 5.12891859958e-03
1.13636363636e-02, 8.52272727273e-01, 4.42870672177e-03
1.13636363636e-02, 8.75000000000e-01, 3.86506265253e-03
1.13636363636e-02, 8.97727272727e-01, 3.10187619173e-03
1.13636363636e-02, 9.20454545455e-01, 2.44020438079e-03
1.13636363636e-02, 9.43181818182e-01, 1.70642653635e-03
1.13636363636e-02, 9.65909090909e-01, 9.70256764380e-04
1.13636363636e-02, 9.88636363636e-01, 3.01465099459e-04
3.40909090909e-02, 1.13636363636e-02, 7.04612741092e-04
3.40909090909e-02, 3.40909090909e-02, 2.12686819033e-03
3.40909090909e-02, 5.68181818182e-02, 3.48916631382e-03
