x,y,ux,uy
1.136363636363636e-02,1.136363636363636e-02,-7.543464872589120e-06,7.543464872594791e-06
1.136363636363636e-02,3.409090909090909e-02,-2.263039461776734e-05,2.263039461778436e-05
1.136363636363636e-02,5.681818181818182e-02,-2.757004767879564e-05,4.957984189025348e-05
1.136363636363636e-02,7.954545454545454e-02,-8.863287541335197e-06,1.206354417195884e-04
1.136363636363636e-02,1.022727272727273e-01,-1.564576343024652e-05,1.990896234408769e-04
1.136363636363636e-02,1.250000000000000e-01,-2.242823931915784e-05,2.775438051621656e-04
1.136363636363636e-02,1.477272727272727e-01,-2.632529134880187e-05,3.582511681675891e-04
1.136363636363636e-02,1.704545454545454e-01,-3.005289327219426e-05,4.390908520473876e-04
1.136363636363636e-02,1.931818181818182e-01,-2.594335743284770e-05,5.522709257919766e-04
1.136363636363636e-02,2.159090909090909e-01,-2.712286421799422e-05,6.509409773080930e-04
1.136363636363636e-02,2.386363636363636e-01,-2.830237100314076e-05,7.496110288242095e-04
1.136363636363636e-02,2.613636363636364e-01,-2.911158455585072e-05,8.577426077961634e-04
1.136363636363636e-02,2.840909090909091e-01,-2.661120044273697e-05,9.504009044746009e-04
1.136363636363636e-02,3.068181818181818e-01,-2.494972916247291e-05,1.045091870556553e-03
1.136363636363636e-02,3.295454545454545e-01,-2.417168221858391e-05,1.135303894889941e-03
1.136363636363636e-02,3.522727272727273e-01,-1.982908469872424e-05,1.212400516162599e-03
1.136363636363636e-02,3.750000000000000e-01,-1.956982832711647e-05,1.291450536128857e-03
1.136363636363636e-02,3.977272727272727e-01,-1.634084775371861e-05,1.349049401366500e-03
1.136363636363636e-02,4.204545454545455e-01,-1.053041110680312e-05,1.402360063709090e-03
1.136363636363636e-02,4.431818181818182e-01,-1.290862275578310e-05,1.449466302083221e-03
1.136363636363636e-02,4.659090909090909e-01,-6.175732566602517e-06,1.473429844060181e-03
1.136363636363636e-02,4.886363636363636e-01,5.571576225780739e-07,1.497393386037141e-03
1.136363636363636e-02,5.113636363636364e-01,-1.871793448973982e-06,1.501021005643100e-03
1.136363636363636e-02,5.340909090909091e-01,5.127480736248747e-06,1.492905373786766e-03
1.136363636363636e-02,5.568181818181818e-01,1.001005508527761e-05,1.482649749420910e-03
