iteration,interface_residual
1,3.124588094452802e+06
2,9.962531483242918e-01
3,3.312541072937529e-01
4,1.415604092594845e-01
5,6.585393269427313e-02
6,3.175794725429957e-02
7,1.557223174045127e-02
8,7.697026417393978e-03
9,3.819401990928861e-03
10,1.898923393576568e-03
11,9.450091941898749e-04
12,4.705130774540173e-04
13,2.343205864832561e-04
14,1.167079807563716e-04
15,5.813213647356404e-05
16,2.895641656129112e-05
17,1.442380242911407e-05
18,7.184854086573342e-06
19,3.578967832713246e-06
20,1.782783077145077e-06
21,8.880546311727894e-07
