x, y, u, qn
6.250000000000000e-01, 2.613636363636364e-01, -3.821686155168477e-04, 1.495244062653672e-02
6.250000000000000e-01, 2.840909090909091e-01, -4.054730346471623e-04, 1.495244062653672e-02
6.250000000000000e-01, 3.068181818181818e-01, -4.287774537774747e-04, 1.495244062653672e-02
6.250000000000000e-01, 3.295454545454545e-01, -4.520818729077873e-04, 3.518953931600804e-02
6.250000000000000e-01, 3.522727272727273e-01, -4.753862920380979e-04, 3.518953931600804e-02
6.250000000000000e-01, 3.750000000000000e-01, -4.986907111684104e-04, 3.518953931600804e-02
6.250000000000000e-01, 3.977272727272727e-01, -5.119326149091150e-04, 3.518953931600804e-02
6.250000000000000e-01, 4.204545454545455e-01, -5.251745186498167e-04, 3.518953931600804e-02
6.250000000000000e-01, 4.431818181818182e-01, -5.384164223905213e-04, 5.536607154991120e-02
6.250000000000000e-01, 4.659090909090909e-01, -5.516583261312260e-04, 5.536607154991120e-02
6.250000000000000e-01, 4.886363636363636e-01, -5.649002298719400e-04, 5.536607154991120e-02
6.250000000000000e-01, 5.113636363636364e-01, -5.704643969227571e-04, 5.536607154991120e-02
6.250000000000000e-01, 5.340909090909091e-01, -5.683508272837297e-04, 5.536607154991120e-02
6.250000000000000e-01, 5.568181818181818e-01, -5.662372576446717e-04, 5.536607154991120e-02
6.250000000000000e-01, 5.795454545454546e-01, -5.641236880056367e-04, 6.863461556596731e-02
6.250000000000000e-01, 6.022727272727273e-01, -5.620101183665939e-04, 6.863461556596731e-02
6.250000000000000e-01, 6.250000000000000e-01, -5.598965487275512e-04, 6.863461556596731e-02
6.250000000000000e-01, 6.477272727272727e-01, -5.388904357764097e-04, 6.863461556596731e-02
6.250000000000000e-01, 6.704545454545454e-01, -5.178843228252684e-04, 6.863461556596731e-02
6.250000000000000e-01, 6.931818181818182e-01, -4.968782098741344e-04, 6.815282151336811e-02
6.250000000000000e-01, 7.159090909090909e-01, -4.758720969229779e-04, 6.815282151336811e-02
6.250000000000000e-01, 7.386363636363636e-01, -4.548659839718516e-04, 6.815282151336811e-02
