x, y, u, qn
6.250000000000000e-01, 2.613636363636364e-01, -7.103981884770842e-04, 1.946816261562834e-01
6.250000000000000e-01, 2.840909090909091e-01, -7.807265687161482e-04, 3.458118447881089e-01
6.250000000000000e-01, 3.068181818181818e-01, -8.510549489552117e-04, 3.458118447881089e-01
6.250000000000000e-01, 3.295454545454545e-01, -9.200331539426705e-04, 3.458118447881089e-01
6.250000000000000e-01, 3.522727272727273e-01, -9.885613005129275e-04, 5.148736340075944e-01
6.250000000000000e-01, 3.750000000000000e-01, -1.057089447083184e-03, 5.148736340075944e-01
6.250000000000000e-01, 3.977272727272727e-01, -1.118692354967089e-03, 5.148736340075944e-01
6.250000000000000e-01, 4.204545454545455e-01, -1.180295262850993e-03, 6.870535922385359e-01
6.250000000000000e-01, 4.431818181818182e-01, -1.238779506601700e-03, 6.870535922385359e-01
6.250000000000000e-01, 4.659090909090909e-01, -1.287907757952815e-03, 6.870535922385359e-01
6.250000000000000e-01, 4.886363636363636e-01, -1.337036009303930e-03, 8.471747127443398e-01
6.250000000000000e-01, 5.113636363636364e-01, -1.377159674864636e-03, 8.471747127443398e-01
6.250000000000000e-01, 5.340909090909091e-01, -1.408278754634933e-03, 9.799509147565173e-01
6.250000000000000e-01, 5.568181818181818e-01, -1.439397834405230e-03, 9.799509147565173e-01
6.250000000000000e-01, 5.795454545454546e-01, -1.453186412730353e-03, 9.799509147565173e-01
6.250000000000000e-01, 6.022727272727273e-01, -1.461198157240417e-03, 1.070183339091085e+00
6.250000000000000e-01, 6.250000000000000e-01, -1.469209901750481e-03, 1.070183339091085e+00
6.250000000000000e-01, 6.477272727272727e-01, -1.449891498919979e-03, 1.070183339091085e+00
6.250000000000000e-01, 6.704545454545454e-01, -1.430573096089477e-03, 1.102972097096662e+00
6.250000000000000e-01, 6.931818181818182e-01, -1.403709262388306e-03, 1.102972097096662e+00
6.250000000000000e-01, 7.159090909090909e-01, -1.354209136075129e-03, 1.102972097096662e+00
6.250000000000000e-01, 7.386363636363636e-01, -1.304709009761951e-03, 1.064027265067902e+00
