iteration, interface_residual
0, inf
1, 7.766540840160459e-02
2, 4.163518601262841e-02
3, 2.309229099328799e-02
4, 1.304006265777440e-02
5, 7.436795231496730e-03
6, 4.264872575059600e-03
7, 2.453584919431272e-03
8, 1.414117080672871e-03
9, 8.158783874547483e-04
10, 4.710100949244982e-04
11, 2.720131269864646e-04
12, 1.571234712012061e-04
13, 9.077103657903593e-05
14, 5.244299180482380e-05
15, 3.030047031423055e-05
16, 1.750757416254865e-05
17, 1.011610185157099e-05
18, 5.845324928321866e-06
19, 3.377621575690921e-06
20, 1.951728416343772e-06
21, 1.127803318837393e-06
22, 6.518089298758534e-07
