x, y, u
7.102272727272727e-03, 1.136363636363636e-02, 0.000000000000000e+00
7.102272727272727e-03, 3.409090909090909e-02, 0.000000000000000e+00
7.102272727272727e-03, 5.681818181818182e-02, 1.550301804342282e-05
7.102272727272727e-03, 7.954545454545454e-02, 7.751509021711418e-05
7.102272727272727e-03, 1.022727272727273e-01, 7.751509021711418e-05
7.102272727272727e-03, 1.250000000000000e-01, 1.722640407665263e-04
7.102272727272727e-03, 1.477272727272727e-01, 1.722640407665261e-04
7.102272727272727e-03, 1.704545454545454e-01, 1.722640407665261e-04
7.102272727272727e-03, 1.931818181818182e-01, 2.783474148841243e-04
7.102272727272727e-03, 2.159090909090909e-01, 2.783474148841243e-04
7.102272727272727e-03, 2.386363636363636e-01, 2.783474148841243e-04
7.102272727272727e-03, 2.613636363636364e-01, 3.898570322178224e-04
7.102272727272727e-03, 2.840909090909091e-01, 3.898570322178224e-04
7.102272727272727e-03, 3.068181818181818e-01, 4.120620902284875e-04
7.102272727272727e-03, 3.295454545454545e-01, 5.008823222711541e-04
7.102272727272727e-03, 3.522727272727273e-01, 5.008823222711541e-04
7.102272727272727e-03, 3.750000000000000e-01, 6.055118986281335e-04
7.102272727272727e-03, 3.977272727272727e-01, 6.055118986281352e-04
7.102272727272727e-03, 4.204545454545455e-01, 6.055118986281352e-04
7.102272727272727e-03, 4.431818181818182e-01, 6.978329531502690e-04
7.102272727272727e-03, 4.659090909090909e-01, 6.978329531502690e-04
7.102272727272727e-03, 4.886363636363636e-01, 6.978329531502690e-04
7.102272727272727e-03, 5.113636363636364e-01, 7.719295451701650e-04
7.102272727272727e-03, 5.340909090909091e-01, 7.719295451701650e-04
7.102272727272727e-03, 5.568181818181818e-01, 7.819197727032842e-04
7.102272727272727e-03, 5.795454545454546e-01, 8.218806828357742e-04
7.102272727272727e-03, 6.022727272727273e-01, 8.218806828357742e-04
7.102272727272727e-03, 6.250000000000000e-01, 8.417593710148608e-04
7.102272727272727e-03, 6.477272727272727e-01, 8.417593710148631e-04
7.102272727272727e-03, 6.704545454545454e-01, 8.417593710148631e-04
7.102272727272727e-03, 6.931818181818182e-01, 8.256344463043839e-04
7.102272727272727e-03, 7.159090909090909e-01, 8.256344463043839e-04
7.102272727272727e-03, 7.386363636363636e-01, 8.256344463043839e-04
7.102272727272727e-03, 7.613636363636364e-01, 7.675784045862161e-04
7.102272727272727e-03, 7.840909090909091e-01, 7.675784045862161e-04
7.102272727272727e-03, 8.068181818181818e-01, 7.464002776225108e-04
7.102272727272727e-03, 8.295454545454546e-01, 6.616877697676953e-04
7.102272727272727e-03, 8.522727272727273e-01, 6.616877697676953e-04
7.102272727272727e-03, 8.750000000000000e-01, 5.021317185237658e-04
7.102272727272727e-03, 8.977272727272727e-01, 5.021317185237672e-04
7.102272727272727e-03, 9.204545454545454e-01, 5.021317185237672e-04
7.102272727272727e-03, 9.431818181818182e-01, 2.832728724872559e-04
7.102272727272727e-03, 9.659090909090909e-01, 2.832728724872559e-04
7.102272727272727e-03, 9.886363636363636e-01, 2.832728724872559e-04
2.130681818181818e-02, 1.136363636363636e-02, 0.000000000000000e+00
2.130681818181818e-02, 3.409090909090909e-02, 0.000000000000000e+00
2.130681818181818e-02, 5.681818181818182e-02, 1.705331984776512e-04
2.130681818181818e-02, 7.954545454545454e-02, 2.325452706513425e-04
2.130681818181818e-02, 1.022727272727273e-01, 2.325452706513425e-04
2.130681818181818e-02, 1.250000000000000e-01, 5.167921222995781e-04
2.130681818181818e-02, 1.477272727272727e-01, 5.167921222995782e-04
2.130681818181818e-02, 1.704545454545454e-01, 5.804421467701368e-04
