x, y, u
6.349431818181818e-01, 1.136363636363636e-02, -2.845626606357731e-05
6.349431818181818e-01, 3.409090909090909e-02, -8.536879819073193e-05
6.349431818181818e-01, 5.681818181818182e-02, -1.427667646280026e-04
6.349431818181818e-01, 7.954545454545454e-02, -2.009854373022437e-04
6.349431818181818e-01, 1.022727272727273e-01, -2.587764958297518e-04
6.349431818181818e-01, 1.250000000000000e-01, -3.154130756559779e-04
6.349431818181818e-01, 1.477272727272727e-01, -3.783187067398246e-04
6.349431818181818e-01, 1.704545454545454e-01, -4.412243378236713e-04
6.349431818181818e-01, 1.931818181818182e-01, -5.016549945370830e-04
6.349431818181818e-01, 2.159090909090909e-01, -5.695854085649560e-04
6.349431818181818e-01, 2.386363636363636e-01, -6.375158225928290e-04
6.349431818181818e-01, 2.613636363636364e-01, -7.007194144494282e-04
6.349431818181818e-01, 2.840909090909091e-01, -7.710477946884917e-04
6.349431818181818e-01, 3.068181818181818e-01, -8.381560708373889e-04
6.349431818181818e-01, 3.295454545454545e-01, -9.028408037046250e-04
6.349431818181818e-01, 3.522727272727273e-01, -9.713689502748823e-04
6.349431818181818e-01, 3.750000000000000e-01, -1.031492036301557e-03
6.349431818181818e-01, 3.977272727272727e-01, -1.093094944185462e-03
6.349431818181818e-01, 4.204545454545455e-01, -1.154697852069366e-03
6.349431818181818e-01, 4.431818181818182e-01, -1.204622012669387e-03
6.349431818181818e-01, 4.659090909090909e-01, -1.253750264020502e-03
6.349431818181818e-01, 4.886363636363636e-01, -1.302878515371616e-03
6.349431818181818e-01, 5.113636363636364e-01, -1.335041613861721e-03
6.349431818181818e-01, 5.340909090909091e-01, -1.366160693632019e-03
6.349431818181818e-01, 5.568181818181818e-01, -1.394450735007170e-03
6.349431818181818e-01, 5.795454545454546e-01, -1.404467262138765e-03
6.349431818181818e-01, 6.022727272727273e-01, -1.412479006648829e-03
6.349431818181818e-01, 6.250000000000000e-01, -1.416004764153624e-03
6.349431818181818e-01, 6.477272727272727e-01, -1.396686361323121e-03
6.349431818181818e-01, 6.704545454545454e-01, -1.377367958492620e-03
6.349431818181818e-01, 6.931818181818182e-01, -1.348874001879240e-03
6.349431818181818e-01, 7.159090909090909e-01, -1.299373875566062e-03
6.349431818181818e-01, 7.386363636363636e-01, -1.249873749252884e-03
6.349431818181818e-01, 7.613636363636364e-01, -1.186784880653509e-03
6.349431818181818e-01, 7.840909090909091e-01, -1.106234914310532e-03
6.349431818181818e-01, 8.068181818181818e-01, -1.028322140517712e-03
6.349431818181818e-01, 8.295454545454546e-01, -9.294698094613689e-04
6.349431818181818e-01, 8.522727272727273e-01, -8.198283478558426e-04
6.349431818181818e-01, 8.750000000000000e-01, -7.210811834865892e-04
6.349431818181818e-01, 8.977272727272727e-01, -5.884773887590138e-04
6.349431818181818e-01, 9.204545454545454e-01, -4.558735940314406e-04
6.349431818181818e-01, 9.431818181818182e-01, -3.365981655539429e-04
6.349431818181818e-01, 9.659090909090909e-01, -1.939537712826161e-04
6.349431818181818e-01, 9.886363636363636e-01, -5.130937701128930e-05
6.548295454545454e-01, 1.136363636363636e-02, -2.845626606357731e-05
6.548295454545454e-01, 3.409090909090909e-02, -8.553060962743728e-05
6.548295454545454e-01, 5.681818181818182e-02, -1.450321247418766e-04
6.548295454545454e-01, 7.954545454545454e-02, -2.032507974161177e-04
6.548295454545454e-01, 1.022727272727273e-01, -2.602172282998530e-04
6.548295454545454e-01, 1.250000000000000e-01, -3.153694783672876e-04
6.548295454545454e-01, 1.477272727272727e-01, -3.782751094511344e-04
6.548295454545454e-01, 1.704545454545454e-01, -4.363835218266989e-04
6.548295454545454e-01, 1.931818181818182e-01, -4.941490570355088e-04
6.548295454545454e-01, 2.159090909090909e-01, -5.620794710633821e-04
6.548295454545454e-01, 2.386363636363636e-01, -6.190048181484981e-04
6.548295454545454e-01, 2.613636363636364e-01, -6.813618663941159e-04
6.548295454545454e-01, 2.840909090909091e-01, -7.506168786031240e-04
6.548295454545454e-01, 3.068181818181818e-01, -8.037713703612983e-04
6.548295454545454e-01, 3.295454545454545e-01, -8.684561032285350e-04
6.548295454545454e-01, 3.522727272727273e-01, -9.309806351248045e-04
6.548295454545454e-01, 3.750000000000000e-01, -9.802972147383018e-04
6.548295454545454e-01, 3.977272727272727e-01, -1.041900122622206e-03
6.548295454545454e-01, 4.204545454545455e-01, -1.092497209312372e-03
6.548295454545454e-01, 4.431818181818182e-01, -1.136307024804760e-03
6.548295454545454e-01, 4.659090909090909e-01, -1.185435276155874e-03
6.548295454545454e-01, 4.886363636363636e-01, -1.219779617233015e-03
6.548295454545454e-01, 5.113636363636364e-01, -1.250805491855892e-03
6.548295454545454e-01, 5.340909090909091e-01, -1.280981558827807e-03
6.548295454545454e-01, 5.568181818181818e-01, -1.297012433823994e-03
6.548295454545454e-01, 5.795454545454546e-01, -1.307028960955588e-03
6.548295454545454e-01, 6.022727272727273e-01, -1.311836429033317e-03
