x,y,u,qn
6.250000000000000e-01,2.613636363636364e-01,6.865623482024200e-02,-3.901486702450718e-03
6.250000000000000e-01,2.840909090909091e-01,7.364931938330771e-02,-4.254214680699864e-03
6.250000000000000e-01,3.068181818181818e-01,7.793085104066252e-02,-4.564759142727137e-03
6.250000000000000e-01,3.295454545454545e-01,8.152019234533421e-02,-4.830889247783521e-03
6.250000000000000e-01,3.522727272727273e-01,8.152019234533421e-02,-4.830889247783521e-03
6.250000000000000e-01,3.750000000000000e-01,8.443393942350105e-02,-5.050828737255930e-03
6.250000000000000e-01,3.977272727272727e-01,8.668580996362876e-02,-5.223208189085504e-03
6.250000000000000e-01,4.204545454545455e-01,8.668580996362876e-02,-5.223208189085504e-03
6.250000000000000e-01,4.431818181818182e-01,8.828655666242106e-02,-5.347018689558336e-03
6.250000000000000e-01,4.659090909090909e-01,8.924390332392158e-02,-5.421571331352126e-03
6.250000000000000e-01,4.886363636363636e-01,8.956250115107595e-02,-5.446465930476485e-03
6.250000000000000e-01,5.113636363636364e-01,8.956250115107595e-02,-5.446465930476485e-03
6.250000000000000e-01,5.340909090909091e-01,8.924390332392157e-02,-5.421571331351238e-03
6.250000000000000e-01,5.568181818181818e-01,8.828655666242105e-02,-5.347018689558336e-03
6.250000000000000e-01,5.795454545454546e-01,8.668580996362875e-02,-5.223208189085060e-03
6.250000000000000e-01,6.022727272727273e-01,8.668580996362875e-02,-5.223208189085060e-03
6.250000000000000e-01,6.250000000000000e-01,8.443393942350103e-02,-5.050828737255486e-03
6.250000000000000e-01,6.477272727272727e-01,8.152019234533418e-02,-4.830889247783521e-03
6.250000000000000e-01,6.704545454545454e-01,8.152019234533418e-02,-4.830889247783521e-03
6.250000000000000e-01,6.931818181818182e-01,7.793085104066247e-02,-4.564759142726693e-03
6.250000000000000e-01,7.159090909090909e-01,7.364931938330763e-02,-4.254214680699420e-03
6.250000000000000e-01,7.386363636363636e-01,6.865623482024191e-02,-3.901486702450274e-03
