x,y,u
7.102272727272727e-03,1.136363636363636e-02,1.723828216201719e-04
7.102272727272727e-03,3.409090909090909e-02,5.056775378223006e-04
7.102272727272727e-03,5.681818181818182e-02,7.586757647569248e-04
7.102272727272727e-03,7.954545454545454e-02,9.752699776873171e-04
7.102272727272727e-03,1.022727272727273e-01,1.167162399161553e-03
7.102272727272727e-03,1.250000000000000e-01,1.338109620433434e-03
7.102272727272727e-03,1.477272727272727e-01,1.483460702143773e-03
7.102272727272727e-03,1.704545454545454e-01,1.615822177526446e-03
7.102272727272727e-03,1.931818181818182e-01,1.735995774493890e-03
7.102272727272727e-03,2.159090909090909e-01,1.842987027605447e-03
7.102272727272727e-03,2.386363636363636e-01,1.936580330854962e-03
7.102272727272727e-03,2.613636363636364e-01,2.021434454500541e-03
7.102272727272727e-03,2.840909090909091e-01,2.097913243784344e-03
7.102272727272727e-03,3.068181818181818e-01,2.163540999901223e-03
7.102272727272727e-03,3.295454545454545e-01,2.220581344251587e-03
7.102272727272727e-03,3.522727272727273e-01,2.270737614032048e-03
7.102272727272727e-03,3.750000000000000e-01,2.314191210510734e-03
7.102272727272727e-03,3.977272727272727e-01,2.347467500389221e-03
7.102272727272727e-03,4.204545454545455e-01,2.374632677519245e-03
7.102272727272727e-03,4.431818181818182e-01,2.395754906552082e-03
7.102272727272727e-03,4.659090909090909e-01,2.409748294240589e-03
7.102272727272727e-03,4.886363636363636e-01,2.415563657293119e-03
7.102272727272727e-03,5.113636363636364e-01,2.415563657293119e-03
7.102272727272727e-03,5.340909090909091e-01,2.409748294240589e-03
7.102272727272727e-03,5.568181818181818e-01,2.395754906552082e-03
7.102272727272727e-03,5.795454545454546e-01,2.374632677519245e-03
7.102272727272727e-03,6.022727272727273e-01,2.347467500389222e-03
7.102272727272727e-03,6.250000000000000e-01,2.314191210510736e-03
7.102272727272727e-03,6.477272727272727e-01,2.270737614032048e-03
7.102272727272727e-03,6.704545454545454e-01,2.220581344251587e-03
7.102272727272727e-03,6.931818181818182e-01,2.163540999901224e-03
7.102272727272727e-03,7.159090909090909e-01,2.097913243784345e-03
7.102272727272727e-03,7.386363636363636e-01,2.021434454500541e-03
7.102272727272727e-03,7.613636363636364e-01,1.936580330854962e-03
7.102272727272727e-03,7.840909090909091e-01,1.842987027605446e-03
7.102272727272727e-03,8.068181818181818e-01,1.735995774493890e-03
7.102272727272727e-03,8.295454545454546e-01,1.615822177526445e-03
7.102272727272727e-03,8.522727272727273e-01,1.483460702143773e-03
7.102272727272727e-03,8.750000000000000e-01,1.338109620433433e-03
7.102272727272727e-03,8.977272727272727e-01,1.167162399161552e-03
7.102272727272727e-03,9.204545454545454e-01,9.752699776873169e-04
7.102272727272727e-03,9.431818181818182e-01,7.586757647569252e-04
7.102272727272727e-03,9.659090909090909e-01,5.056775378223001e-04
7.102272727272727e-03,9.886363636363636e-01,1.723828216201716e-04
2.130681818181818e-02,1.136363636363636e-02,5.171484648605156e-04
2.130681818181818e-02,3.409090909090909e-02,1.517032613466902e-03
2.130681818181818e-02,5.681818181818182e-02,2.276027294270774e-03
2.130681818181818e-02,7.954545454545454e-02,2.925809933061951e-03
2.130681818181818e-02,1.022727272727273e-01,3.501487197484658e-03
2.130681818181818e-02,1.250000000000000e-01,4.014328861300301e-03
2.130681818181818e-02,1.477272727272727e-01,4.450382106431320e-03
2.130681818181818e-02,1.704545454545454e-01,4.847466532579338e-03
2.130681818181818e-02,1.931818181818182e-01,5.207987323481669e-03
2.130681818181818e-02,2.159090909090909e-01,5.528961082816340e-03
2.130681818181818e-02,2.386363636363636e-01,5.809740992564887e-03
2.130681818181818e-02,2.613636363636364e-01,6.064303363501624e-03
2.130681818181818e-02,2.840909090909091e-01,6.293739731353032e-03
2.130681818181818e-02,3.068181818181818e-01,6.490622999703668e-03
2.130681818181818e-02,3.295454545454545e-01,6.661744032754760e-03
2.130681818181818e-02,3.522727272727273e-01,6.812212842096142e-03
2.130681818181818e-02,3.750000000000000e-01,6.942573631532204e-03
2.130681818181818e-02,3.977272727272727e-01,7.042402501167663e-03
2.130681818181818e-02,4.204545454545455e-01,7.123898032557736e-03
2.130681818181818e-02,4.431818181818182e-01,7.187264719656245e-03
2.130681818181818e-02,4.659090909090909e-01,7.229244882721766e-03
2.130681818181818e-02,4.886363636363636e-01,7.246690971879357e-03
2.130681818181818e-02,5.113636363636364e-01,7.246690971879357e-03
2.130681818181818e-02,5.340909090909091e-01,7.229244882721766e-03
2.130681818181818e-02,5.568181818181818e-01,7.187264719656247e-03
2.130681818181818e-02,5.795454545454546e-01,7.123898032557736e-03
2.130681818181818e-02,6.022727272727273e-01,7.042402501167665e-03
2.130681818181818e-02,6.250000000000000e-01,6.942573631532207e-03
2.130681818181818e-02,6.477272727272727e-01,6.812212842096144e-03
2.130681818181818e-02,6.704545454545454e-01,6.661744032754761e-03
2.130681818181818e-02,6.931818181818182e-01,6.490622999703671e-03
2.130681818181818e-02,7.159090909090909e-01,6.293739731353033e-03
2.130681818181818e-02,7.386363636363636e-01,6.064303363501623e-03
2.130681818181818e-02,7.613636363636364e-01,5.809740992564885e-03
2.130681818181818e-02,7.840909090909091e-01,5.528961082816339e-03
2.130681818181818e-02,8.068181818181818e-01,5.207987323481667e-03
2.130681818181818e-02,8.295454545454546e-01,4.847466532579336e-03
2.130681818181818e-02,8.522727272727273e-01,4.450382106431319e-03
2.130681818181818e-02,8.750000000000000e-01,4.014328861300300e-03
2.130681818181818e-02,8.977272727272727e-01,3.501487197484656e-03
2.130681818181818e-02,9.204545454545454e-01,2.925809933061954e-03
2.130681818181818e-02,9.431818181818182e-01,2.276027294270772e-03
2.130681818181818e-02,9.659090909090909e-01,1.517032613466900e-03
2.130681818181818e-02,9.886363636363636e-01,5.171484648605098e-04
3.551136363636364e-02,1.136363636363636e-02,8.344369037277845e-04
3.551136363636364e-02,3.409090909090909e-02,2.450893207858228e-03
3.551136363636364e-02,5.681818181818182e-02,3.700426988712784e-03
3.551136363636364e-02,7.954545454545454e-02,4.773983750028537e-03
3.551136363636364e-02,1.022727272727273e-01,5.727249580402554e-03
3.551136363636364e-02,1.250000000000000e-01,6.577795536728570e-03
3.551136363636364e-02,1.477272727272727e-01,7.301891923117076e-03
3.551136363636364e-02,1.704545454545454e-01,7.961568533725172e-03
3.551136363636364e-02,1.931818181818182e-01,8.560751257465546e-03
3.551136363636364e-02,2.159090909090909e-01,9.094407917007483e-03
3.551136363636364e-02,2.386363636363636e-01,9.561369611612958e-03
3.551136363636364e-02,2.613636363636364e-01,9.984794620598951e-03
3.551136363636364e-02,2.840909090909091e-01,1.036648145567181e-02
3.551136363636364e-02,3.068181818181818e-01,1.069406290775255e-02
3.551136363636364e-02,3.295454545454545e-01,1.097880542257827e-02
3.551136363636364e-02,3.522727272727273e-01,1.122919936131210e-02
3.551136363636364e-02,3.750000000000000e-01,1.144614508281223e-02
3.551136363636364e-02,3.977272727272727e-01,1.161229074560281e-02
3.551136363636364e-02,4.204545454545455e-01,1.174792752398371e-02
3.551136363636364e-02,4.431818181818182e-01,1.185339436959125e-02
3.551136363636364e-02,4.659090909090909e-01,1.192326740881609e-02
3.551136363636364e-02,4.886363636363636e-01,1.195230548822460e-02
3.551136363636364e-02,5.113636363636364e-01,1.195230548822460e-02
3.551136363636364e-02,5.340909090909091e-01,1.192326740881609e-02
3.551136363636364e-02,5.568181818181818e-01,1.185339436959125e-02
3.551136363636364e-02,5.795454545454546e-01,1.174792752398371e-02
3.551136363636364e-02,6.022727272727273e-01,1.161229074560281e-02
3.551136363636364e-02,6.250000000000000e-01,1.144614508281224e-02
3.551136363636364e-02,6.477272727272727e-01,1.122919936131210e-02
3.551136363636364e-02,6.704545454545454e-01,1.097880542257828e-02
3.551136363636364e-02,6.931818181818182e-01,1.069406290775256e-02
3.551136363636364e-02,7.159090909090909e-01,1.036648145567181e-02
3.551136363636364e-02,7.386363636363636e-01,9.984794620598949e-03
3.551136363636364e-02,7.613636363636364e-01,9.561369611612953e-03
3.551136363636364e-02,7.840909090909091e-01,9.094407917007479e-03
3.551136363636364e-02,8.068181818181818e-01,8.560751257465544e-03
3.551136363636364e-02,8.295454545454546e-01,7.961568533725170e-03
3.551136363636364e-02,8.522727272727273e-01,7.301891923117074e-03
3.551136363636364e-02,8.750000000000000e-01,6.577795536728570e-03
3.551136363636364e-02,8.977272727272727e-01,5.727249580402553e-03
3.551136363636364e-02,9.204545454545454e-01,4.773983750028537e-03
3.551136363636364e-02,9.431818181818182e-01,3.700426988712780e-03
3.551136363636364e-02,9.659090909090909e-01,2.450893207858225e-03
3.551136363636364e-02,9.886363636363636e-01,8.344369037277754e-04
4.971590909090909e-02,1.136363636363636e-02,1.087611865724545e-03
4.971590909090909e-02,3.409090909090909e-02,3.203933345991906e-03
4.971590909090909e-02,5.681818181818182e-02,4.907939067987165e-03
4.971590909090909e-02,7.954545454545454e-02,6.383303244043009e-03
4.971590909090909e-02,1.022727272727273e-01,7.699699660708295e-03
4.971590909090909e-02,1.250000000000000e-01,8.878172892800108e-03
4.971590909090909e-02,1.477272727272727e-01,9.884108035398650e-03
4.971590909090909e-02,1.704545454545454e-01,1.080140504242120e-02
4.971590909090909e-02,1.931818181818182e-01,1.163531742310698e-02
4.971590909090909e-02,2.159090909090909e-01,1.237862456881920e-02
4.971590909090909e-02,2.386363636363636e-01,1.302942346445003e-02
4.971590909090909e-02,2.613636363636364e-01,1.361973802325418e-02
4.971590909090909e-02,2.840909090909091e-01,1.415202539907409e-02
4.971590909090909e-02,3.068181818181818e-01,1.460900460170979e-02
4.971590909090909e-02,3.295454545454545e-01,1.500629711548257e-02
4.971590909090909e-02,3.522727272727273e-01,1.535571222654906e-02
4.971590909090909e-02,3.750000000000000e-01,1.565849093802891e-02
4.971590909090909e-02,3.977272727272727e-01,1.589040322523691e-02
4.971590909090909e-02,4.204545454545455e-01,1.607974000031381e-02
4.971590909090909e-02,4.431818181818182e-01,1.622697030546487e-02
4.971590909090909e-02,4.659090909090909e-01,1.632451712267443e-02
4.971590909090909e-02,4.886363636363636e-01,1.636505680867420e-02
4.971590909090909e-02,5.113636363636364e-01,1.636505680867420e-02
4.971590909090909e-02,5.340909090909091e-01,1.632451712267443e-02
4.971590909090909e-02,5.568181818181818e-01,1.622697030546487e-02
4.971590909090909e-02,5.795454545454546e-01,1.607974000031381e-02
4.971590909090909e-02,6.022727272727273e-01,1.589040322523692e-02
4.971590909090909e-02,6.250000000000000e-01,1.565849093802892e-02
4.971590909090909e-02,6.477272727272727e-01,1.535571222654906e-02
4.971590909090909e-02,6.704545454545454e-01,1.500629711548257e-02
4.971590909090909e-02,6.931818181818182e-01,1.460900460170979e-02
4.971590909090909e-02,7.159090909090909e-01,1.415202539907410e-02
4.971590909090909e-02,7.386363636363636e-01,1.361973802325418e-02
4.971590909090909e-02,7.613636363636364e-01,1.302942346445003e-02
4.971590909090909e-02,7.840909090909091e-01,1.237862456881920e-02
4.971590909090909e-02,8.068181818181818e-01,1.163531742310698e-02
4.971590909090909e-02,8.295454545454546e-01,1.080140504242120e-02
4.971590909090909e-02,8.522727272727273e-01,9.884108035398648e-03
4.971590909090909e-02,8.750000000000000e-01,8.878172892800107e-03
4.971590909090909e-02,8.977272727272727e-01,7.699699660708294e-03
4.971590909090909e-02,9.204545454545454e-01,6.383303244043009e-03
4.971590909090909e-02,9.431818181818182e-01,4.907939067987160e-03
4.971590909090909e-02,9.659090909090909e-01,3.203933345991911e-03
4.971590909090909e-02,9.886363636363636e-01,1.087611865724533e-03
6.392045454545454e-02,1.136363636363636e-02,1.335968307171256e-03
6.392045454545454e-02,3.409090909090909e-02,3.942853646773668e-03
6.392045454545454e-02,5.681818181818182e-02,6.094380063195388e-03
6.392045454545454e-02,7.954545454545454e-02,7.966928941016783e-03
6.392045454545454e-02,1.022727272727273e-01,9.643157012531928e-03
6.392045454545454e-02,1.250000000000000e-01,1.114717126164794e-02
6.392045454545454e-02,1.477272727272727e-01,1.243335721261658e-02
6.392045454545454e-02,1.704545454545454e-01,1.360698213671007e-02
6.392045454545454e-02,1.931818181818182e-01,1.467458423933296e-02
6.392045454545454e-02,2.159090909090909e-01,1.562672772591940e-02
6.392045454545454e-02,2.386363636363636e-01,1.646072763500290e-02
6.392045454545454e-02,2.613636363636364e-01,1.721739322264011e-02
6.392045454545454e-02,2.840909090909091e-01,1.789982827576229e-02
6.392045454545454e-02,3.068181818181818e-01,1.848584625990031e-02
6.392045454545454e-02,3.295454545454545e-01,1.899539205999339e-02
6.392045454545454e-02,3.522727272727273e-01,1.944357741560711e-02
6.392045454545454e-02,3.750000000000000e-01,1.983197991044684e-02
6.392045454545454e-02,3.977272727272727e-01,2.012950538890659e-02
6.392045454545454e-02,4.204545454545455e-01,2.037241899555581e-02
6.392045454545454e-02,4.431818181818182e-01,2.056131869043112e-02
6.392045454545454e-02,4.659090909090909e-01,2.068647801924372e-02
6.392045454545454e-02,4.886363636363636e-01,2.073849402909518e-02
6.392045454545454e-02,5.113636363636364e-01,2.073849402909518e-02
6.392045454545454e-02,5.340909090909091e-01,2.068647801924372e-02
6.392045454545454e-02,5.568181818181818e-01,2.056131869043112e-02
6.392045454545454e-02,5.795454545454546e-01,2.037241899555580e-02
6.392045454545454e-02,6.022727272727273e-01,2.012950538890660e-02
6.392045454545454e-02,6.250000000000000e-01,1.983197991044686e-02
6.392045454545454e-02,6.477272727272727e-01,1.944357741560712e-02
6.392045454545454e-02,6.704545454545454e-01,1.899539205999341e-02
6.392045454545454e-02,6.931818181818182e-01,1.848584625990032e-02
6.392045454545454e-02,7.159090909090909e-01,1.789982827576230e-02
6.392045454545454e-02,7.386363636363636e-01,1.721739322264011e-02
6.392045454545454e-02,7.613636363636364e-01,1.646072763500290e-02
6.392045454545454e-02,7.840909090909091e-01,1.562672772591940e-02
6.392045454545454e-02,8.068181818181818e-01,1.467458423933296e-02
6.392045454545454e-02,8.295454545454546e-01,1.360698213671006e-02
6.392045454545454e-02,8.522727272727273e-01,1.243335721261658e-02
6.392045454545454e-02,8.750000000000000e-01,1.114717126164794e-02
6.392045454545454e-02,8.977272727272727e-01,9.643157012531925e-03
6.392045454545454e-02,9.204545454545454e-01,7.966928941016783e-03
6.392045454545454e-02,9.431818181818182e-01,6.094380063195381e-03
6.392045454545454e-02,9.659090909090909e-01,3.942853646773666e-03
6.392045454545454e-02,9.886363636363636e-01,1.335968307171255e-03
7.812500000000000e-02,1.136363636363636e-02,1.540958063667520e-03
7.812500000000000e-02,3.409090909090909e-02,4.554695411388179e-03
7.812500000000000e-02,5.681818181818182e-02,7.091181301808168e-03
7.812500000000000e-02,7.954545454545454e-02,9.319310464624265e-03
7.812500000000000e-02,1.022727272727273e-01,1.132567980801654e-02
7.812500000000000e-02,1.250000000000000e-01,1.313375874548239e-02
7.812500000000000e-02,1.477272727272727e-01,1.468590397426173e-02
7.812500000000000e-02,1.704545454545454e-01,1.610422450133438e-02
7.812500000000000e-02,1.931818181818182e-01,1.739615691081990e-02
7.812500000000000e-02,2.159090909090909e-01,1.854980943061600e-02
7.812500000000000e-02,2.386363636363636e-01,1.956128466499796e-02
7.812500000000000e-02,2.613636363636364e-01,2.047945459260241e-02
7.812500000000000e-02,2.840909090909091e-01,2.130796155202362e-02
7.812500000000000e-02,3.068181818181818e-01,2.201978759619042e-02
7.812500000000000e-02,3.295454545454545e-01,2.263891626896299e-02
7.812500000000000e-02,3.522727272727273e-01,2.318361351905499e-02
7.812500000000000e-02,3.750000000000000e-01,2.365575693767617e-02
7.812500000000000e-02,3.977272727272727e-01,2.401751470889651e-02
7.812500000000000e-02,4.204545454545455e-01,2.431289666100492e-02
7.812500000000000e-02,4.431818181818182e-01,2.454261911723100e-02
7.812500000000000e-02,4.659090909090909e-01,2.469483956021166e-02
7.812500000000000e-02,4.886363636363636e-01,2.475810434925864e-02
7.812500000000000e-02,5.113636363636364e-01,2.475810434925864e-02
7.812500000000000e-02,5.340909090909091e-01,2.469483956021166e-02
7.812500000000000e-02,5.568181818181818e-01,2.454261911723100e-02
7.812500000000000e-02,5.795454545454546e-01,2.431289666100492e-02
7.812500000000000e-02,6.022727272727273e-01,2.401751470889653e-02
7.812500000000000e-02,6.250000000000000e-01,2.365575693767618e-02
7.812500000000000e-02,6.477272727272727e-01,2.318361351905500e-02
7.812500000000000e-02,6.704545454545454e-01,2.263891626896300e-02
7.812500000000000e-02,6.931818181818182e-01,2.201978759619042e-02
7.812500000000000e-02,7.159090909090909e-01,2.130796155202362e-02
7.812500000000000e-02,7.386363636363636e-01,2.047945459260241e-02
7.812500000000000e-02,7.613636363636364e-01,1.956128466499795e-02
7.812500000000000e-02,7.840909090909091e-01,1.854980943061599e-02
7.812500000000000e-02,8.068181818181818e-01,1.739615691081989e-02
7.812500000000000e-02,8.295454545454546e-01,1.610422450133438e-02
7.812500000000000e-02,8.522727272727273e-01,1.468590397426173e-02
7.812500000000000e-02,8.750000000000000e-01,1.313375874548239e-02
7.812500000000000e-02,8.977272727272727e-01,1.132567980801654e-02
7.812500000000000e-02,9.204545454545454e-01,9.319310464624265e-03
7.812500000000000e-02,9.431818181818182e-01,7.091181301808149e-03
7.812500000000000e-02,9.659090909090909e-01,4.554695411388188e-03
7.812500000000000e-02,9.886363636363636e-01,1.540958063667519e-03
9.232954545454546e-02,1.136363636363636e-02,1.745947820163784e-03
9.232954545454546e-02,3.409090909090909e-02,5.166537176002690e-03
9.232954545454546e-02,5.681818181818182e-02,8.087982540420948e-03
9.232954545454546e-02,7.954545454545454e-02,1.067169198823175e-02
9.232954545454546e-02,1.022727272727273e-01,1.300820260350116e-02
9.232954545454546e-02,1.250000000000000e-01,1.512034622931685e-02
9.232954545454546e-02,1.477272727272727e-01,1.693845073590688e-02
9.232954545454546e-02,1.704545454545454e-01,1.860146686595871e-02
9.232954545454546e-02,1.931818181818182e-01,2.011772958230683e-02
9.232954545454546e-02,2.159090909090909e-01,2.147289113531260e-02
9.232954545454546e-02,2.386363636363636e-01,2.266184169499301e-02
9.232954545454546e-02,2.613636363636364e-01,2.374151596256472e-02
