x,y,u,qn
6.250000000000000e-01,2.613636363636364e-01,-3.080634054503580e-05,2.464507243602864e-04
6.250000000000000e-01,2.840909090909091e-01,-3.080634054503580e-05,2.464507243602864e-04
6.250000000000000e-01,3.068181818181818e-01,-3.080634054503580e-05,2.464507243602864e-04
6.250000000000000e-01,3.295454545454545e-01,4.036273733870941e-05,-3.229018987096753e-04
6.250000000000000e-01,3.522727272727273e-01,4.036273733870941e-05,-3.229018987096753e-04
6.250000000000000e-01,3.750000000000000e-01,4.036273733870941e-05,-3.229018987096753e-04
6.250000000000000e-01,3.977272727272727e-01,4.036273733870941e-05,-3.229018987096753e-04
6.250000000000000e-01,4.204545454545455e-01,4.036273733870941e-05,-3.229018987096753e-04
6.250000000000000e-01,4.431818181818182e-01,1.261686869210180e-04,-1.009349495368144e-03
6.250000000000000e-01,4.659090909090909e-01,1.261686869210180e-04,-1.009349495368144e-03
6.250000000000000e-01,4.886363636363636e-01,1.261686869210180e-04,-1.009349495368144e-03
6.250000000000000e-01,5.113636363636364e-01,1.261686869210180e-04,-1.009349495368144e-03
6.250000000000000e-01,5.340909090909091e-01,1.261686869210180e-04,-1.009349495368144e-03
6.250000000000000e-01,5.568181818181818e-01,1.261686869210180e-04,-1.009349495368144e-03
6.250000000000000e-01,5.795454545454546e-01,1.972762918122727e-04,-1.578210334498181e-03
6.250000000000000e-01,6.022727272727273e-01,1.972762918122727e-04,-1.578210334498181e-03
6.250000000000000e-01,6.250000000000000e-01,1.972762918122727e-04,-1.578210334498181e-03
6.250000000000000e-01,6.477272727272727e-01,1.972762918122727e-04,-1.578210334498181e-03
6.250000000000000e-01,6.704545454545454e-01,1.972762918122727e-04,-1.578210334498181e-03
6.250000000000000e-01,6.931818181818182e-01,2.234258179809039e-04,-1.787406543847231e-03
6.250000000000000e-01,7.159090909090909e-01,2.234258179809039e-04,-1.787406543847231e-03
6.250000000000000e-01,7.386363636363636e-01,2.234258179809039e-04,-1.787406543847231e-03
