iteration,interface_residual
1,2.362360435240999e+11
2,9.818867268412115e-01
3,3.233312852714983e-01
4,1.366564440235460e-01
5,6.280655109495405e-02
6,2.990005048041804e-02
7,1.446567309685950e-02
8,7.052384864441562e-03
9,3.451042631806903e-03
10,1.691844180212593e-03
11,8.301710856539723e-04
12,4.075467830414687e-04
13,2.001219169843867e-04
14,9.828163908042742e-05
15,4.827115564367136e-05
16,2.370987454428627e-05
17,1.164639408774513e-05
18,5.720995356658559e-06
19,2.810400405042335e-06
20,1.380640385588605e-06
21,6.782789309715696e-07
