x, y, u, qn
6.250000000000000e-01, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00
6.250000000000000e-01, 3.125000000000000e-02, -2.032547925793894e-05, -3.779373750881272e-03
6.250000000000000e-01, 6.250000000000000e-02, -3.308626438235209e-05, -6.020181547872415e-03
6.250000000000000e-01, 9.375000000000000e-02, -3.893084143988165e-05, -6.835698537209873e-03
6.250000000000000e-01, 1.250000000000000e-01, -3.849703350520151e-05, -6.349947417344294e-03
6.250000000000000e-01, 1.562500000000000e-01, -3.241697156306338e-05, -4.691241118749209e-03
6.250000000000000e-01, 1.875000000000000e-01, -2.131903579488236e-05, -1.989874137643478e-03
6.250000000000000e-01, 2.187500000000000e-01, -5.828836247284362e-06, 1.622821449131606e-03
6.250000000000000e-01, 2.500000000000000e-01, 1.343018630759967e-05, 6.014913631265498e-03
6.250000000000000e-01, 2.812500000000000e-01, 3.583634296708771e-05, 1.105409667921493e-02
6.250000000000000e-01, 3.125000000000000e-01, 6.076938215804924e-05, 1.660781910225651e-02
6.250000000000000e-01, 3.437500000000000e-01, 8.761023886107175e-05, 2.254336159431425e-02
6.250000000000000e-01, 3.750000000000000e-01, 1.157408260512312e-04, 2.872788755920814e-02
6.250000000000000e-01, 4.062500000000000e-01, 1.445438553177415e-04, 3.502847768928474e-02
6.250000000000000e-01, 4.375000000000000e-01, 1.734026781939526e-04, 4.131215484454111e-02
6.250000000000000e-01, 4.687500000000000e-01, 2.017011423720165e-04, 4.744590284686759e-02
6.250000000000000e-01, 5.000000000000000e-01, 2.288234585903614e-04, 5.329668140223491e-02
6.250000000000000e-01, 5.312500000000000e-01, 2.541540750081388e-04, 5.873143858664488e-02
6.250000000000000e-01, 5.625000000000000e-01, 2.770775565551368e-04, 6.361712189440052e-02
6.250000000000000e-01, 5.937500000000000e-01, 2.969784672067070e-04, 6.782068861139758e-02
6.250000000000000e-01, 6.250000000000000e-01, 3.132412534746859e-04, 7.120911617722252e-02
6.250000000000000e-01, 6.562500000000000e-01, 3.252501277094137e-04, 7.364941321736938e-02
6.250000000000000e-01, 6.875000000000000e-01, 3.323889501792174e-04, 7.500863207635537e-02
6.250000000000000e-01, 7.187500000000000e-01, 3.340411095139324e-04, 7.515388402438129e-02
6.250000000000000e-01, 7.500000000000000e-01, 3.295894023496647e-04, 7.395235898273898e-02
6.250000000000000e-01, 7.812500000000000e-01, 3.184159157888856e-04, 7.127135291498100e-02
6.250000000000000e-01, 8.125000000000000e-01, 2.999019229047555e-04, 6.697830862417489e-02
6.250000000000000e-01, 8.437500000000000e-01, 2.734278185661125e-04, 6.094088112921038e-02
6.250000000000000e-01, 8.750000000000000e-01, 2.383731713543170e-04, 5.302705090237636e-02
6.250000000000000e-01, 9.062500000000000e-01, 1.941171223060261e-04, 4.310533708613138e-02
6.250000000000000e-01, 9.375000000000000e-01, 1.400399201691259e-04, 3.104523578156342e-02
6.250000000000000e-01, 9.687500000000000e-01, 7.552863415404934e-05, 1.671820128027849e-02
6.250000000000000e-01, 1.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00
