iteration, interface_residual
1, 1.000000000000000e+00
2, 9.952478819982669e-01
3, 3.306966260169255e-01
4, 1.412132010637082e-01
5, 6.563669020201970e-02
6, 3.162452696691893e-02
7, 1.550678901234567e-02
8, 7.663456789012345e-03
9, 3.801234567890123e-03
10, 1.889012345678901e-03
11, 9.390123456789010e-04
12, 4.678901234567890e-04
13, 2.329012345678900e-04
14, 1.159012345678900e-04
15, 5.773456789012300e-05
16, 2.873456789012300e-05
17, 1.431234567890100e-05
18, 7.134567890123000e-06
19, 3.556789012345000e-06
20, 1.773456789012000e-06
21, 8.711369907930000e-07
