x, y, u
6.349431818181818e-01, 1.136363636363636e-02, -5.858707883902588e-06
6.349431818181818e-01, 3.409090909090909e-02, -1.757612365170776e-05
6.349431818181818e-01, 5.681818181818182e-02, -2.917598688727332e-05
6.349431818181818e-01, 7.954545454545454e-02, -3.326057313782870e-05
6.349431818181818e-01, 1.022727272727273e-01, -3.500986516217124e-05
6.349431818181818e-01, 1.250000000000000e-01, -3.676389123152924e-05
6.349431818181818e-01, 1.477272727272727e-01, -3.042609892997318e-05
6.349431818181818e-01, 1.704545454545454e-01, -2.408830662841713e-05
6.349431818181818e-01, 1.931818181818182e-01, -1.640858449495227e-05
6.349431818181818e-01, 2.159090909090909e-01, -3.809855980904066e-06
6.349431818181818e-01, 2.386363636363636e-01, 8.788872533144143e-06
6.349431818181818e-01, 2.613636363636364e-01, 2.322929747817172e-05
6.349431818181818e-01, 2.840909090909091e-01, 4.029132339062608e-05
6.349431818181818e-01, 3.068181818181818e-01, 6.767580480439812e-05
6.349431818181818e-01, 3.295454545454545e-01, 7.592143005460787e-05
6.349431818181818e-01, 3.522727272727273e-01, 9.566669356494739e-05
6.349431818181818e-01, 3.750000000000000e-01, 1.148390692954642e-04
6.349431818181818e-01, 3.977272727272727e-01, 1.354990958110466e-04
6.349431818181818e-01, 4.204545454545455e-01, 1.561591223266291e-04
6.349431818181818e-01, 4.431818181818182e-01, 1.760180577291332e-04
6.349431818181818e-01, 4.659090909090909e-01, 1.958319044366610e-04
6.349431818181818e-01, 4.886363636363636e-01, 2.156457511441889e-04
6.349431818181818e-01, 5.113636363636364e-01, 2.336018679221212e-04
6.349431818181818e-01, 5.340909090909091e-01, 2.508129750908682e-04
6.349431818181818e-01, 5.568181818181818e-01, 4.407995861871218e-04
6.349431818181818e-01, 5.795454545454546e-01, 2.814936402923224e-04
6.349431818181818e-01, 6.022727272727273e-01, 2.943471549206143e-04
6.349431818181818e-01, 6.250000000000000e-01, 3.068600805814400e-04
6.349431818181818e-01, 6.477272727272727e-01, 3.136004635571972e-04
6.349431818181818e-01, 6.704545454545454e-01, 3.203408465329545e-04
6.349431818181818e-01, 6.931818181818182e-01, 3.249551746465746e-04
6.349431818181818e-01, 7.159090909090909e-01, 3.238240933550742e-04
6.349431818181818e-01, 7.386363636363636e-01, 3.226930120635739e-04
6.349431818181818e-01, 7.613636363636364e-01, 3.168184833706668e-04
6.349431818181818e-01, 7.840909090909091e-01, 3.060533951754901e-04
6.349431818181818e-01, 8.068181818181818e-01, 5.440634042239972e-04
6.349431818181818e-01, 8.295454545454546e-01, 2.763273187124765e-04
6.349431818181818e-01, 8.522727272727273e-01, 2.541625654689732e-04
