x, y, u
7.102272727272727e-03, 1.136363636363636e-02, 0.000000000000000e+00
7.102272727272727e-03, 3.409090909090909e-02, 4.295320224055136e-05
7.102272727272727e-03, 5.681818181818182e-02, 1.728270869926930e-04
7.102272727272727e-03, 7.954545454545454e-02, 9.097779463354067e-05
7.102272727272727e-03, 1.022727272727273e-01, 1.432916116297535e-04
7.102272727272727e-03, 1.250000000000000e-01, 1.991111471230801e-04
7.102272727272727e-03, 1.477272727272727e-01, 1.991111471230801e-04
7.102272727272727e-03, 1.704545454545454e-01, 2.576522998406167e-04
7.102272727272727e-03, 1.931818181818182e-01, 3.181306315685179e-04
7.102272727272727e-03, 2.159090909090909e-01, 1.500379407126220e-03
7.102272727272727e-03, 2.386363636363636e-01, 3.797614680869125e-04
7.102272727272727e-03, 2.613636363636364e-01, 4.417599455545942e-04
7.102272727272727e-03, 2.840909090909091e-01, 5.033410377865927e-04
7.102272727272727e-03, 3.068181818181818e-01, 1.924771651601173e-03
7.102272727272727e-03, 3.295454545454545e-01, 5.637195778471956e-04
7.102272727272727e-03, 3.522727272727273e-01, 6.221102794024640e-04
7.102272727272727e-03, 3.750000000000000e-01, 6.777277601265509e-04
7.102272727272727e-03, 3.977272727272727e-01, 6.777277601265509e-04
7.102272727272727e-03, 4.204545454545455e-01, 7.297865681669686e-04
7.102272727272727e-03, 4.431818181818182e-01, 7.775012121944285e-04
7.102272727272727e-03, 4.659090909090909e-01, 3.602056566069484e-03
7.102272727272727e-03, 4.886363636363636e-01, 8.200861954862920e-04
7.102272727272727e-03, 5.113636363636364e-01, 8.567560546547333e-04
7.102272727272727e-03, 5.340909090909091e-01, 8.867254039752296e-04
7.102272727272727e-03, 5.568181818181818e-01, 3.374053251672058e-03
7.102272727272727e-03, 5.795454545454546e-01, 9.092089868062218e-04
7.102272727272727e-03, 6.022727272727273e-01, 9.234217363831523e-04
7.102272727272727e-03, 6.250000000000000e-01, 9.285788494620759e-04
7.102272727272727e-03, 6.477272727272727e-01, 9.285788494620759e-04
7.102272727272727e-03, 6.704545454545454e-01, 9.238958781462694e-04
7.102272727272727e-03, 6.931818181818182e-01, 9.085888482470549e-04
7.102272727272727e-03, 7.159090909090909e-01, 4.163480043575437e-03
7.102272727272727e-03, 7.386363636363636e-01, 8.818744176453500e-04
7.102272727272727e-03, 7.613636363636364e-01, 8.429700971966030e-04
7.102272727272727e-03, 7.840909090909091e-01, 7.910945736700834e-04
7.102272727272727e-03, 8.068181818181818e-01, 2.993034106770311e-03
7.102272727272727e-03, 8.295454545454546e-01, 7.254682077901059e-04
7.102272727272727e-03, 8.522727272727273e-01, 6.453138517460164e-04
7.102272727272727e-03, 8.750000000000000e-01, 5.498582946807333e-04
7.102272727272727e-03, 8.977272727272727e-01, 5.498582946807333e-04
7.102272727272727e-03, 9.204545454545454e-01, 4.383350587578166e-04
7.102272727272727e-03, 9.431818181818182e-01, 3.099904216292220e-04
7.102272727272727e-03, 9.659090909090909e-01, 1.338420541969832e-03
7.102272727272727e-03, 9.886363636363636e-01, 1.640980924215704e-04
2.130681818181818e-02, 1.136363636363636e-02, 8.590640448110265e-06
2.130681818181818e-02, 3.409090909090909e-02, 1.288596067216541e-04
2.130681818181818e-02, 5.681818181818182e-02, 3.547826762597743e-04
2.130681818181818e-02, 7.954545454545454e-02, 3.616383187502510e-04
2.130681818181818e-02, 1.022727272727273e-01, 4.298748348892604e-04
2.130681818181818e-02, 1.250000000000000e-01, 5.973334413692403e-04
2.130681818181818e-02, 1.477272727272727e-01, 1.100929810506967e-03
2.130681818181818e-02, 1.704545454545454e-01, 7.061829786223431e-04
2.130681818181818e-02, 1.931818181818182e-01, 9.543918947055539e-04
2.130681818181818e-02, 2.159090909090909e-01, 2.259902343300045e-03
2.130681818181818e-02, 2.386363636363636e-01, 1.681796034419788e-03
2.130681818181818e-02, 2.613636363636364e-01, 8.074841204446678e-04
2.130681818181818e-02, 2.840909090909091e-01, 1.510023113359778e-03
2.130681818181818e-02, 3.068181818181818e-01, 3.052210807295565e-03
2.130681818181818e-02, 3.295454545454545e-01, 1.975037266235731e-03
2.130681818181818e-02, 3.522727272727273e-01, 1.866330838207392e-03
2.130681818181818e-02, 3.750000000000000e-01, 2.033183280379653e-03
2.130681818181818e-02, 3.977272727272727e-01, 3.482344655105502e-03
2.130681818181818e-02, 4.204545454545455e-01, 1.926073863650597e-03
2.130681818181818e-02, 4.431818181818182e-01, 2.332503636583285e-03
2.130681818181818e-02, 4.659090909090909e-01, 5.242228957042067e-03
2.130681818181818e-02, 4.886363636363636e-01, 3.495699823878247e-03
2.130681818181818e-02, 5.113636363636364e-01, 1.548154768242617e-03
2.130681818181818e-02, 5.340909090909091e-01, 2.660176211925689e-03
2.130681818181818e-02, 5.568181818181818e-01, 5.192471225284502e-03
2.130681818181818e-02, 5.795454545454546e-01, 3.105523304718095e-03
2.130681818181818e-02, 6.022727272727273e-01, 2.770265209149456e-03
2.130681818181818e-02, 6.250000000000000e-01, 2.785736548386228e-03
2.130681818181818e-02, 6.477272727272727e-01, 4.634464898941922e-03
2.130681818181818e-02, 6.704545454545454e-01, 2.392945065240761e-03
2.130681818181818e-02, 6.931818181818182e-01, 2.725766544741165e-03
2.130681818181818e-02, 7.159090909090909e-01, 5.927228878866138e-03
2.130681818181818e-02, 7.386363636363636e-01, 3.649406505482226e-03
2.130681818181818e-02, 7.613636363636364e-01, 1.506971070248579e-03
2.130681818181818e-02, 7.840909090909091e-01, 2.373283721010250e-03
2.130681818181818e-02, 8.068181818181818e-01, 4.443970522350522e-03
2.130681818181818e-02, 8.295454545454546e-01, 2.386437550442278e-03
2.130681818181818e-02, 8.522727272727273e-01, 1.935941555238049e-03
2.130681818181818e-02, 8.750000000000000e-01, 1.649574884042200e-03
2.130681818181818e-02, 8.977272727272727e-01, 2.548549648742414e-03
2.130681818181818e-02, 9.204545454545454e-01, 1.062664370493162e-03
2.130681818181818e-02, 9.431818181818182e-01, 9.299712648876660e-04
2.130681818181818e-02, 9.659090909090909e-01, 1.666616726812973e-03
2.130681818181818e-02, 9.886363636363636e-01, 4.594746587803973e-04
3.551136363636364e-02, 1.136363636363636e-02, 6.872512358488217e-05
3.551136363636364e-02, 3.409090909090909e-02, 2.267820745087941e-04
3.551136363636364e-02, 5.681818181818182e-02, 3.804607701663599e-04
3.551136363636364e-02, 7.954545454545454e-02, 5.661382300538684e-04
3.551136363636364e-02, 1.022727272727273e-01, 7.621479895548968e-04
3.551136363636364e-02, 1.250000000000000e-01, 9.674310119001667e-04
3.551136363636364e-02, 1.477272727272727e-01, 1.154762700596284e-03
3.551136363636364e-02, 1.704545454545454e-01, 1.374458785243850e-03
3.551136363636364e-02, 1.931818181818182e-01, 1.598798613224423e-03
3.551136363636364e-02, 2.159090909090909e-01, 3.849886479031874e-03
3.551136363636364e-02, 2.386363636363636e-01, 2.025117135557818e-03
3.551136363636364e-02, 2.613636363636364e-01, 2.254228216715814e-03
3.551136363636364e-02, 2.840909090909091e-01, 2.482289746655542e-03
3.551136363636364e-02, 3.068181818181818e-01, 2.675501074849471e-03
3.551136363636364e-02, 3.295454545454545e-01, 2.895091138364267e-03
3.551136363636364e-02, 3.522727272727273e-01, 3.108996691314340e-03
