x, y, u, qn
6.250000000000000e-01, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00
6.250000000000000e-01, 6.250000000000000e-02, -3.222286404060761e-05, -4.368111249292299e-03
6.250000000000000e-01, 1.250000000000000e-01, -3.703341254163587e-05, -3.743974507225789e-03
6.250000000000000e-01, 1.875000000000000e-01, -1.960449888863771e-05, 1.030356346072112e-03
6.250000000000000e-01, 2.500000000000000e-01, 1.504197415479009e-05, 9.027271511192515e-03
6.250000000000000e-01, 3.125000000000000e-01, 6.196250423160166e-05, 1.928527082479557e-02
6.250000000000000e-01, 3.750000000000000e-01, 1.162619311947554e-04, 3.082757592041290e-02
6.250000000000000e-01, 4.375000000000000e-01, 1.730769541765937e-04, 4.266988918645620e-02
6.250000000000000e-01, 5.000000000000000e-01, 2.275649846787075e-04, 5.382416666659882e-02
6.250000000000000e-01, 5.625000000000000e-01, 2.748954876681177e-04, 6.330078801511085e-02
6.250000000000000e-01, 6.250000000000000e-01, 3.102426216151566e-04, 7.011007407653112e-02
6.250000000000000e-01, 6.875000000000000e-01, 3.287786581946537e-04, 7.326362261531547e-02
6.250000000000000e-01, 7.500000000000000e-01, 3.256681869682743e-04, 7.177581937252653e-02
6.250000000000000e-01, 8.125000000000000e-01, 2.960642199721321e-04, 6.466602973966123e-02
6.250000000000000e-01, 8.750000000000000e-01, 2.351112016547328e-04, 5.096259209126289e-02
6.250000000000000e-01, 9.375000000000000e-01, 1.379759915817932e-04, 2.971165678523229e-02
6.250000000000000e-01, 1.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00
