x, y, u, qn
6.250000000000000e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
6.250000000000000e-01, 6.250000000000000e-02, -3.222289336146423e-05, 5.517132179779156e-03
6.250000000000000e-01, 1.250000000000000e-01, -3.703344642840619e-05, 5.421910245753648e-03
6.250000000000000e-01, 1.875000000000000e-01, -1.960451759912705e-05, 9.303053390444954e-04
6.250000000000000e-01, 2.500000000000000e-01, 1.504198581450552e-05, -6.913305998940470e-03
6.250000000000000e-01, 3.125000000000000e-01, 6.196255707375495e-05, -1.709864442682230e-02
6.250000000000000e-01, 3.750000000000000e-01, 1.162620317271885e-04, -2.862187291239812e-02
6.250000000000000e-01, 4.375000000000000e-01, 1.730771046450402e-04, -4.048017283781336e-02
6.250000000000000e-01, 5.000000000000000e-01, 2.275651830907418e-04, -5.167096006022344e-02
6.250000000000000e-01, 5.625000000000000e-01, 2.748957278047959e-04, -6.119215235770026e-02
6.250000000000000e-01, 6.250000000000000e-01, 3.102428930325988e-04, -6.804285616045132e-02
6.250000000000000e-01, 6.875000000000000e-01, 3.287789462159312e-04, -7.122471078637257e-02
6.250000000000000e-01, 7.500000000000000e-01, 3.256684726643053e-04, -6.974518337197928e-02
6.250000000000000e-01, 8.125000000000000e-01, 2.960644801275692e-04, -6.262776924729710e-02
6.250000000000000e-01, 8.750000000000000e-01, 2.351114087079349e-04, -4.894969309871700e-02
6.250000000000000e-01, 9.375000000000000e-01, 1.379761135053298e-04, -2.799983597558909e-02
6.250000000000000e-01, 1.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
