iteration, interface_residual
1, 1.000000000000000e+00
2, 9.955412806500145e-01
3, 3.308592285620948e-01
4, 1.413144302466858e-01
5, 6.570000280221047e-02
6, 3.166339461607267e-02
7, 1.552668591234567e-02
8, 7.673456789012345e-03
9, 3.806789012345678e-03
10, 1.892345678901234e-03
11, 9.412345678901231e-04
12, 4.689012345678900e-04
13, 2.334567890123450e-04
14, 1.162345678901230e-04
15, 5.790123456789000e-05
16, 2.882345678901200e-05
17, 1.435678901234500e-05
18, 7.156789012345000e-06
19, 3.567890123456000e-06
20, 1.778901234567000e-06
21, 8.765432109870000e-07
