x, y, u
6.349431818181818e-01, 1.136363636363636e-02, -3.290892692377990e-06
6.349431818181818e-01, 3.409090909090909e-02, -9.872678077133969e-06
6.349431818181818e-01, 5.681818181818182e-02, -1.645446346188995e-05
6.349431818181818e-01, 7.954545454545454e-02, -2.303624884664593e-05
6.349431818181818e-01, 1.022727272727273e-01, -2.961803423140191e-05
6.349431818181818e-01, 1.250000000000000e-01, -3.594937151104747e-05
6.349431818181818e-01, 1.477272727272727e-01, -2.677191107645787e-05
6.349431818181818e-01, 1.704545454545454e-01, -1.759445064186829e-05
6.349431818181818e-01, 1.931818181818182e-01, -8.416990207278693e-06
6.349431818181818e-01, 2.159090909090909e-01, 7.604702273109003e-07
6.349431818181818e-01, 2.386363636363636e-01, 9.937930661900494e-06
6.349431818181818e-01, 2.613636363636364e-01, 2.281841957563666e-05
6.349431818181818e-01, 2.840909090909091e-01, 4.053467266745628e-05
6.349431818181818e-01, 3.068181818181818e-01, 5.825092575927585e-05
6.349431818181818e-01, 3.295454545454545e-01, 7.596717885109542e-05
6.349431818181818e-01, 3.522727272727273e-01, 9.368343194291505e-05
6.349431818181818e-01, 3.750000000000000e-01, 1.104381526116202e-04
6.349431818181818e-01, 3.977272727272727e-01, 1.298213755291377e-04
6.349431818181818e-01, 4.204545454545455e-01, 1.492045984466552e-04
6.349431818181818e-01, 4.431818181818182e-01, 1.685878213641727e-04
6.349431818181818e-01, 4.659090909090909e-01, 1.879710442816902e-04
6.349431818181818e-01, 4.886363636363636e-01, 2.073542671992077e-04
6.349431818181818e-01, 5.113636363636364e-01, 2.232138671475109e-04
6.349431818181818e-01, 5.340909090909091e-01, 2.375356296238762e-04
6.349431818181818e-01, 5.568181818181818e-01, 2.518573921002415e-04
6.349431818181818e-01, 5.795454545454546e-01, 2.661791545766068e-04
6.349431818181818e-01, 6.022727272727273e-01, 2.805009170529721e-04
6.349431818181818e-01, 6.250000000000000e-01, 2.941479786755317e-04
6.349431818181818e-01, 6.477272727272727e-01, 2.967297379791477e-04
6.349431818181818e-01, 6.704545454545454e-01, 2.993114972827636e-04
6.349431818181818e-01, 6.931818181818182e-01, 3.018932565863795e-04
6.349431818181818e-01, 7.159090909090909e-01, 3.044750158899955e-04
6.349431818181818e-01, 7.386363636363636e-01, 3.070567751936115e-04
6.349431818181818e-01, 7.613636363636364e-01, 3.004169276506709e-04
6.349431818181818e-01, 7.840909090909091e-01, 2.845940631976742e-04
6.349431818181818e-01, 8.068181818181818e-01, 2.687711987446775e-04
6.349431818181818e-01, 8.295454545454546e-01, 2.529483342916808e-04
6.349431818181818e-01, 8.522727272727273e-01, 2.371254698386841e-04
6.349431818181818e-01, 8.750000000000000e-01, 2.222379552738141e-04
6.349431818181818e-01, 8.977272727272727e-01, 1.814621468876589e-04
6.349431818181818e-01, 9.204545454545454e-01, 1.406863385015037e-04
6.349431818181818e-01, 9.431818181818182e-01, 9.991053011534830e-05
6.349431818181818e-01, 9.659090909090909e-01, 5.913472172919309e-05
6.349431818181818e-01, 9.886363636363636e-01, 1.835891334303787e-05
6.548295454545454e-01, 1.136363636363636e-02, -3.290892692377990e-06
6.548295454545454e-01, 3.409090909090909e-02, -9.872678077133969e-06
6.548295454545454e-01, 5.681818181818182e-02, -1.645446346188995e-05
6.548295454545454e-01, 7.954545454545454e-02, -2.303624884664593e-05
6.548295454545454e-01, 1.022727272727273e-01, -2.943914272775161e-05
6.548295454545454e-01, 1.250000000000000e-01, -3.544847530082662e-05
6.548295454545454e-01, 1.477272727272727e-01, -2.627101486623703e-05
6.548295454545454e-01, 1.704545454545454e-01, -1.709355443164744e-05
6.548295454545454e-01, 1.931818181818182e-01, -7.916093997057849e-06
6.548295454545454e-01, 2.159090909090909e-01, 1.261366437531743e-06
6.548295454545454e-01, 2.386363636363636e-01, -1.765499571287186e-05
6.548295454545454e-01, 2.613636363636364e-01, 2.218658008692068e-05
6.548295454545454e-01, 2.840909090909091e-01, 3.990283317874029e-05
6.548295454545454e-01, 3.068181818181818e-01, 5.761908627055987e-05
6.548295454545454e-01, 3.295454545454545e-01, 7.533533936237943e-05
6.548295454545454e-01, 3.522727272727273e-01, 9.892228830009964e-05
6.548295454545454e-01, 3.750000000000000e-01, 1.078832482766755e-04
6.548295454545454e-01, 3.977272727272727e-01, 1.272664711941929e-04
6.548295454545454e-01, 4.204545454545455e-01, 1.466496941117105e-04
6.548295454545454e-01, 4.431818181818182e-01, 1.660329170292279e-04
6.548295454545454e-01, 4.659090909090909e-01, 1.854161399467454e-04
6.548295454545454e-01, 4.886363636363636e-01, 2.812195878173725e-04
6.548295454545454e-01, 5.113636363636364e-01, 2.186731773152896e-04
6.548295454545454e-01, 5.340909090909091e-01, 2.329949397916549e-04
6.548295454545454e-01, 5.568181818181818e-01, 2.473167022680202e-04
6.548295454545454e-01, 5.795454545454546e-01, 2.616384647443855e-04
6.548295454545454e-01, 6.022727272727273e-01, 3.962485674176736e-04
6.548295454545454e-01, 6.250000000000000e-01, 2.882578871356992e-04
6.548295454545454e-01, 6.477272727272727e-01, 2.908396464393151e-04
6.548295454545454e-01, 6.704545454545454e-01, 2.934214057429311e-04
6.548295454545454e-01, 6.931818181818182e-01, 2.960031650465470e-04
6.548295454545454e-01, 7.159090909090909e-01, 2.985849243501630e-04
6.548295454545454e-01, 7.386363636363636e-01, 5.139150617035162e-04
6.548295454545454e-01, 7.613636363636364e-01, 2.944882461743379e-04
6.548295454545454e-01, 7.840909090909091e-01, 2.786653817213413e-04
6.548295454545454e-01, 8.068181818181818e-01, 2.628425172683446e-04
6.548295454545454e-01, 8.295454545454546e-01, 2.470196528153478e-04
6.548295454545454e-01, 8.522727272727273e-01, 4.062455244569988e-04
6.548295454545454e-01, 8.750000000000000e-01, 2.181799735737346e-04
6.548295454545454e-01, 8.977272727272727e-01, 1.774041651875794e-04
6.548295454545454e-01, 9.204545454545454e-01, 1.366283568014242e-04
6.548295454545454e-01, 9.431818181818182e-01, 9.585254841526881e-05
6.548295454545454e-01, 9.659090909090909e-01, 5.507674002911359e-05
6.548295454545454e-01, 9.886363636363636e-01, 1.806905750731792e-04
6.747159090909091e-01, 1.136363636363636e-02, -3.290892692377990e-06
6.747159090909091e-01, 3.409090909090909e-02, -9.872678077133969e-06
6.747159090909091e-01, 5.681818181818182e-02, -1.645446346188995e-05
6.747159090909091e-01, 7.954545454545454e-02, -2.292891394445574e-05
6.747159090909091e-01, 1.022727272727273e-01, -2.893824651753076e-05
6.747159090909091e-01, 1.250000000000000e-01, -3.494757909060578e-05
6.747159090909091e-01, 1.477272727272727e-01, -2.577011865601618e-05
6.747159090909091e-01, 1.704545454545454e-01, -1.659265822142660e-05
6.747159090909091e-01, 1.931818181818182e-01, -7.415197786837006e-06
6.747159090909091e-01, 2.159090909090909e-01, -1.415107540552817e-05
6.747159090909091e-01, 2.386363636363636e-01, -1.828683520158784e-05
6.747159090909091e-01, 2.613636363636364e-01, 2.155474059820469e-05
6.747159090909091e-01, 2.840909090909091e-01, 3.927099369002432e-05
6.747159090909091e-01, 3.068181818181818e-01, 5.698724678184389e-05
6.747159090909091e-01, 3.295454545454545e-01, 7.710177371499460e-05
6.747159090909091e-01, 3.522727272727273e-01, 9.636738396515486e-05
6.747159090909091e-01, 3.750000000000000e-01, 1.053283439417307e-04
6.747159090909091e-01, 3.977272727272727e-01, 1.247115668592481e-04
6.747159090909091e-01, 4.204545454545455e-01, 1.440947897767657e-04
6.747159090909091e-01, 4.431818181818182e-01, 1.634780126942831e-04
6.747159090909091e-01, 4.659090909090909e-01, 2.247810692610884e-04
6.747159090909091e-01, 4.886363636363636e-01, 2.766788979851512e-04
6.747159090909091e-01, 5.113636363636364e-01, 2.141324874830684e-04
6.747159090909091e-01, 5.340909090909091e-01, 2.284542499594337e-04
6.747159090909091e-01, 5.568181818181818e-01, 2.427760124357989e-04
6.747159090909091e-01, 5.795454545454546e-01, 3.085673042797673e-04
6.747159090909091e-01, 6.022727272727273e-01, 3.903584758778411e-04
6.747159090909091e-01, 6.250000000000000e-01, 2.823677955958667e-04
6.747159090909091e-01, 6.477272727272727e-01, 2.849495548994826e-04
6.747159090909091e-01, 6.704545454545454e-01, 2.875313142030986e-04
6.747159090909091e-01, 6.931818181818182e-01, 2.901130735067145e-04
6.747159090909091e-01, 7.159090909090909e-01, 4.108779630138273e-04
6.747159090909091e-01, 7.386363636363636e-01, 5.079863802271833e-04
6.747159090909091e-01, 7.613636363636364e-01, 2.885595646980049e-04
6.747159090909091e-01, 7.840909090909091e-01, 2.727367002450082e-04
6.747159090909091e-01, 8.068181818181818e-01, 2.569138357920116e-04
6.747159090909091e-01, 8.295454545454546e-01, 3.162263908760836e-04
6.747159090909091e-01, 8.522727272727273e-01, 4.021875427569194e-04
6.747159090909091e-01, 8.750000000000000e-01, 2.141219918736552e-04
6.747159090909091e-01, 8.977272727272727e-01, 1.733461834874999e-04
6.747159090909091e-01, 9.204545454545454e-01, 1.325703751013447e-04
6.747159090909091e-01, 9.431818181818182e-01, 9.179456671518930e-05
6.747159090909091e-01, 9.659090909090909e-01, 1.445524600585434e-04
6.747159090909091e-01, 9.886363636363636e-01, 1.806905750731792e-04
6.946022727272727e-01, 1.136363636363636e-02, -3.290892692377990e-06
6.946022727272727e-01, 3.409090909090909e-02, -9.872678077133969e-06
6.946022727272727e-01, 5.681818181818182e-02, -1.641868516115989e-05
6.946022727272727e-01, 7.954545454545454e-02, -2.242801773423490e-05
6.946022727272727e-01, 1.022727272727273e-01, -2.843735030730992e-05
6.946022727272727e-01, 1.250000000000000e-01, -3.444668288038493e-05
6.946022727272727e-01, 1.477272727272727e-01, -2.526922244579534e-05
6.946022727272727e-01, 1.704545454545454e-01, -1.609176201120575e-05
6.946022727272727e-01, 1.931818181818182e-01, -1.064715509818448e-05
6.946022727272727e-01, 2.159090909090909e-01, -1.478291489424415e-05
6.946022727272727e-01, 2.386363636363636e-01, -1.891867469030382e-05
6.946022727272727e-01, 2.613636363636364e-01, 2.092290110948871e-05
6.946022727272727e-01, 2.840909090909091e-01, 3.863915420130833e-05
6.946022727272727e-01, 3.068181818181818e-01, 5.528125912988961e-05
6.946022727272727e-01, 3.295454545454545e-01, 7.454686938004982e-05
6.946022727272727e-01, 3.522727272727273e-01, 9.381247963021009e-05
6.946022727272727e-01, 3.750000000000000e-01, 1.027734396067859e-04
6.946022727272727e-01, 3.977272727272727e-01, 1.221566625243034e-04
6.946022727272727e-01, 4.204545454545455e-01, 1.415398854418209e-04
6.946022727272727e-01, 4.431818181818182e-01, 1.683425507048045e-04
6.946022727272727e-01, 4.659090909090909e-01, 2.202403794288672e-04
6.946022727272727e-01, 4.886363636363636e-01, 2.721382081529300e-04
6.946022727272727e-01, 5.113636363636364e-01, 2.095917976508471e-04
6.946022727272727e-01, 5.340909090909091e-01, 2.239135601272124e-04
6.946022727272727e-01, 5.568181818181818e-01, 2.208860411418607e-04
6.946022727272727e-01, 5.795454545454546e-01, 3.026772127399348e-04
6.946022727272727e-01, 6.022727272727273e-01, 3.844683843380086e-04
6.946022727272727e-01, 6.250000000000000e-01, 2.764777040560342e-04
6.946022727272727e-01, 6.477272727272727e-01, 2.790594633596501e-04
6.946022727272727e-01, 6.704545454545454e-01, 2.816412226632660e-04
6.946022727272727e-01, 6.931818181818182e-01, 3.078408643241385e-04
6.946022727272727e-01, 7.159090909090909e-01, 4.049492815374943e-04
6.946022727272727e-01, 7.386363636363636e-01, 5.020576987508502e-04
6.946022727272727e-01, 7.613636363636364e-01, 2.826308832216720e-04
6.946022727272727e-01, 7.840909090909091e-01, 2.668080187686753e-04
6.946022727272727e-01, 8.068181818181818e-01, 2.262072572951679e-04
6.946022727272727e-01, 8.295454545454546e-01, 3.121684091760041e-04
6.946022727272727e-01, 8.522727272727273e-01, 3.981295610568398e-04
6.946022727272727e-01, 8.750000000000000e-01, 2.100640101735757e-04
6.946022727272727e-01, 8.977272727272727e-01, 1.692882017874205e-04
6.946022727272727e-01, 9.204545454545454e-01, 1.285123934012652e-04
6.946022727272727e-01, 9.431818181818182e-01, 1.084143450439076e-04
6.946022727272727e-01, 9.659090909090909e-01, 1.445524600585434e-04
6.946022727272727e-01, 9.886363636363636e-01, 1.806905750731792e-04
7.144886363636364e-01, 1.136363636363636e-02, -3.290892692377990e-06
7.144886363636364e-01, 3.409090909090909e-02, -9.872678077133969e-06
7.144886363636364e-01, 5.681818181818182e-02, -1.591778895093905e-05
7.144886363636364e-01, 7.954545454545454e-02, -2.192712152401406e-05
7.144886363636364e-01, 1.022727272727273e-01, -2.793645409708908e-05
7.144886363636364e-01, 1.250000000000000e-01, -3.394578667016409e-05
7.144886363636364e-01, 1.477272727272727e-01, -2.476832623557450e-05
7.144886363636364e-01, 1.704545454545454e-01, -7.143234790840795e-06
7.144886363636364e-01, 1.931818181818182e-01, -1.127899458690047e-05
7.144886363636364e-01, 2.159090909090909e-01, -1.541475438296014e-05
7.144886363636364e-01, 2.386363636363636e-01, -1.955051417901981e-05
7.144886363636364e-01, 2.613636363636364e-01, 2.029106162077273e-05
7.144886363636364e-01, 2.840909090909091e-01, 3.800731471259235e-05
7.144886363636364e-01, 3.068181818181818e-01, 5.272635479494483e-05
7.144886363636364e-01, 3.295454545454545e-01, 7.199196504510505e-05
7.144886363636364e-01, 3.522727272727273e-01, 9.125757529526531e-05
7.144886363636364e-01, 3.750000000000000e-01, 1.002185352718411e-04
7.144886363636364e-01, 3.977272727272727e-01, 1.196017581893586e-04
7.144886363636364e-01, 4.204545454545455e-01, 1.119040321485206e-04
7.144886363636364e-01, 4.431818181818182e-01, 1.638018608725833e-04
7.144886363636364e-01, 4.659090909090909e-01, 2.156996895966459e-04
7.144886363636364e-01, 4.886363636363636e-01, 2.675975183207087e-04
7.144886363636364e-01, 5.113636363636364e-01, 2.050511078186258e-04
7.144886363636364e-01, 5.340909090909091e-01, 2.193728702949911e-04
7.144886363636364e-01, 5.568181818181818e-01, 2.149959496020281e-04
7.144886363636364e-01, 5.795454545454546e-01, 2.967871212001023e-04
7.144886363636364e-01, 6.022727272727273e-01, 3.785782927981760e-04
7.144886363636364e-01, 6.250000000000000e-01, 2.705876125162016e-04
7.144886363636364e-01, 6.477272727272727e-01, 2.731693718198176e-04
7.144886363636364e-01, 6.704545454545454e-01, 2.048037656344492e-04
7.144886363636364e-01, 6.931818181818182e-01, 3.019121828478056e-04
7.144886363636364e-01, 7.159090909090909e-01, 3.990206000611614e-04
7.144886363636364e-01, 7.386363636363636e-01, 4.961290172745173e-04
7.144886363636364e-01, 7.613636363636364e-01, 2.767022017453391e-04
7.144886363636364e-01, 7.840909090909091e-01, 2.608793372923424e-04
7.144886363636364e-01, 8.068181818181818e-01, 2.221492755950884e-04
7.144886363636364e-01, 8.295454545454546e-01, 3.081104274759247e-04
7.144886363636364e-01, 8.522727272727273e-01, 3.940715793567603e-04
7.144886363636364e-01, 8.750000000000000e-01, 2.060060284734962e-04
7.144886363636364e-01, 8.977272727272727e-01, 1.652302200873409e-04
7.144886363636364e-01, 9.204545454545454e-01, 7.227623002927159e-05
7.144886363636364e-01, 9.431818181818182e-01, 1.084143450439076e-04
7.144886363636364e-01, 9.659090909090909e-01, 1.445524600585434e-04
7.144886363636364e-01, 9.886363636363636e-01, 1.806905750731792e-04
7.343750000000000e-01, 1.136363636363636e-02, -3.290892692377990e-06
7.343750000000000e-01, 3.409090909090909e-02, -9.407560167643184e-06
7.343750000000000e-01, 5.681818181818182e-02, -1.541689274071820e-05
7.343750000000000e-01, 7.954545454545454e-02, -2.142622531379321e-05
7.343750000000000e-01, 1.022727272727273e-01, -2.743555788686823e-05
7.343750000000000e-01, 1.250000000000000e-01, -3.344489045994324e-05
7.343750000000000e-01, 1.477272727272727e-01, -3.639314483497112e-06
7.343750000000000e-01, 1.704545454545454e-01, -7.775074279556778e-06
7.343750000000000e-01, 1.931818181818182e-01, -1.191083407561645e-05
7.343750000000000e-01, 2.159090909090909e-01, -1.604659387167612e-05
7.343750000000000e-01, 2.386363636363636e-01, -2.018235366773579e-05
7.343750000000000e-01, 2.613636363636364e-01, 1.965922213205674e-05
7.343750000000000e-01, 2.840909090909091e-01, 3.090584020983984e-05
7.343750000000000e-01, 3.068181818181818e-01, 5.017145046000005e-05
7.343750000000000e-01, 3.295454545454545e-01, 6.943706071016027e-05
7.343750000000000e-01, 3.522727272727273e-01, 8.870267096032053e-05
7.343750000000000e-01, 3.750000000000000e-01, 9.766363093689635e-05
7.343750000000000e-01, 3.977272727272727e-01, 5.546551359223651e-05
7.343750000000000e-01, 4.204545454545455e-01, 1.073633423162993e-04
7.343750000000000e-01, 4.431818181818182e-01, 1.592611710403620e-04
7.343750000000000e-01, 4.659090909090909e-01, 2.111589997644247e-04
7.343750000000000e-01, 4.886363636363636e-01, 2.630568284884875e-04
7.343750000000000e-01, 5.113636363636364e-01, 2.005104179864046e-04
7.343750000000000e-01, 5.340909090909091e-01, 1.273146864641219e-04
7.343750000000000e-01, 5.568181818181818e-01, 2.091058580621956e-04
7.343750000000000e-01, 5.795454545454546e-01, 2.908970296602698e-04
7.343750000000000e-01, 6.022727272727273e-01, 3.726882012583435e-04
7.343750000000000e-01, 6.250000000000000e-01, 2.646975209763691e-04
7.343750000000000e-01, 6.477272727272727e-01, 1.017666669447603e-04
7.343750000000000e-01, 6.704545454545454e-01, 1.988750841581162e-04
7.343750000000000e-01, 6.931818181818182e-01, 2.959835013714726e-04
