x,y,u,qn
6.250000000000000e-01,2.613636363636364e-01,9.188675484699658e-06,1.000000000000000e+00
6.250000000000000e-01,2.840909090909091e-01,5.314476558069642e-05,5.000000000000000e-01
6.250000000000000e-01,3.068181818181818e-01,5.314476558069642e-05,2.500000000000000e-01
6.250000000000000e-01,3.295454545454545e-01,5.314476558069642e-05,1.250000000000000e-01
6.250000000000000e-01,3.522727272727273e-01,1.044285420843548e-04,6.250000000000000e-02
6.250000000000000e-01,3.750000000000000e-01,1.044285420843548e-04,3.125000000000000e-02
6.250000000000000e-01,3.977272727272727e-01,1.044285420843548e-04,1.562500000000000e-02
6.250000000000000e-01,4.204545454545455e-01,1.583914545618545e-04,7.812500000000000e-03
6.250000000000000e-01,4.431818181818182e-01,1.583914545618545e-04,3.906250000000000e-03
6.250000000000000e-01,4.659090909090909e-01,1.583914545618545e-04,1.953125000000000e-03
6.250000000000000e-01,4.886363636363636e-01,2.103907912338665e-04,9.765625000000000e-04
6.250000000000000e-01,5.113636363636364e-01,2.103907912338665e-04,4.882812500000000e-04
6.250000000000000e-01,5.340909090909091e-01,2.557883034740447e-04,2.441406250000000e-04
6.250000000000000e-01,5.568181818181818e-01,2.557883034740447e-04,1.220703125000000e-04
6.250000000000000e-01,5.795454545454546e-01,2.557883034740447e-04,6.103515625000000e-05
6.250000000000000e-01,6.022727272727273e-01,2.899496850868501e-04,3.051757812500000e-05
6.250000000000000e-01,6.250000000000000e-01,2.899496850868501e-04,1.525878906250000e-05
6.250000000000000e-01,6.477272727272727e-01,2.899496850868501e-04,7.629394531250000e-06
6.250000000000000e-01,6.704545454545454e-01,3.082446469001433e-04,3.814697265625000e-06
6.250000000000000e-01,6.931818181818182e-01,3.082446469001433e-04,1.907348632812500e-06
6.250000000000000e-01,7.159090909090909e-01,3.082446469001433e-04,0.000000000000000e+00
6.250000000000000e-01,7.386363636363636e-01,3.060475312481903e-04,0.000000000000000e+00
