iteration,interface_residual
1,0.9999999999964329
2,0.33291487800335534
3,0.14247311425486206
4,0.06638254043420307
5,0.03206648816083322
6,0.01575100976601083
7,0.007799377432404686
8,0.0038772593521032264
9,0.0019312450802098115
10,0.000962877665503996
11,0.00048030221045382743
12,0.0002396418320308506
13,0.00011958118316801662
14,5.9674542616497244e-05
15,2.97802509876928e-05
16,1.4861892162815581e-05
17,7.416911714314031e-06
18,3.701465835133127e-06
19,1.8472479970626167e-06
20,9.218857114289281e-07
