x,y,T,ux,uy,qn,tx,ty
6.25000000000e-01,2.55681818182e-01,3.94436622959e-02,-1.83280640412e-03,-1.34024264462e-03,-5.46788569609e-02,4.56553423011e+00,1.93187582053e+00
6.25000000000e-01,2.67045454545e-01,4.10897711630e-02,-1.87173514034e-03,-1.30794055694e-03,-5.68742626893e-02,4.43172964894e+00,1.90746523366e+00
6.25000000000e-01,2.78409090909e-01,4.27358800300e-02,-1.91066387658e-03,-1.27563846925e-03,-5.90696684176e-02,4.29792506777e+00,1.88305464679e+00
6.25000000000e-01,2.89772727273e-01,4.43819888971e-02,-1.94959261280e-03,-1.24333638157e-03,-6.12650741460e-02,4.16412048660e+00,1.85864405991e+00
6.25000000000e-01,3.01136363636e-01,4.60280977641e-02,-1.98852134903e-03,-1.21103429389e-03,-6.34604798744e-02,4.03031590543e+00,1.83423347304e+00
6.25000000000e-01,3.12500000000e-01,4.76742066312e-02,-2.02745008527e-03,-1.17873220620e-03,-6.56558856027e-02,3.89651132427e+00,1.80982288617e+00
6.25000000000e-01,3.23863636364e-01,4.93203154982e-02,-2.06637882149e-03,-1.14643011852e-03,-6.78512913311e-02,3.76270674310e+00,1.78541229929e+00
6.25000000000e-01,3.35227272727e-01,5.09664243652e-02,-2.10530755772e-03,-1.11412803084e-03,-7.00466970595e-02,3.62890216193e+00,1.76100171242e+00
6.25000000000e-01,3.46590909091e-01,5.26125332323e-02,-2.14423629395e-03,-1.08182594316e-03,-7.22421027879e-02,3.49509758076e+00,1.73659112554e+00
6.25000000000e-01,3.57954545455e-01,5.42586420993e-02,-2.18316503018e-03,-1.04952385547e-03,-7.44375085162e-02,3.36129299959e+00,1.71218053867e+00
6.25000000000e-01,3.69318181818e-01,5.59047509664e-02,-2.22209376641e-03,-1.01722176779e-03,-7.66329142446e-02,3.22748841842e+00,1.68776995180e+00
6.25000000000e-01,3.80681818182e-01,5.73115267950e-02,-2.23652158786e-03,-9.59223373589e-04,-7.84638226217e-02,3.11191004948e+00,1.61056940213e+00
6.25000000000e-01,3.92045454545e-01,5.84789695852e-02,-2.22644849451e-03,-8.75528672868e-04,-7.99302336475e-02,3.01455789277e+00,1.48057888966e+00
6.25000000000e-01,4.03409090909e-01,5.96464123754e-02,-2.21637540116e-03,-7.91833972147e-04,-8.13966446733e-02,2.91720573605e+00,1.35058837720e+00
6.25000000000e-01,4.14772727273e-01,6.08138551656e-02,-2.20630230781e-03,-7.08139271426e-04,-8.28630556991e-02,2.81985357933e+00,1.22059786474e+00
6.25000000000e-01,4.26136363636e-01,6.19812979558e-02,-2.19622921447e-03,-6.24444570705e-04,-8.43294667249e-02,2.72250142262e+00,1.09060735227e+00
6.25000000000e-01,4.37500000000e-01,6.31487407460e-02,-2.18615612112e-03,-5.40749869984e-04,-8.57958777507e-02,2.62514926590e+00,9.60616839807e-01
6.25000000000e-01,4.48863636364e-01,6.43161835363e-02,-2.17608302777e-03,-4.57055169263e-04,-8.72622887766e-02,2.52779710918e+00,8.30626327343e-01
6.25000000000e-01,4.60227272727e-01,6.54836263265e-02,-2.16600993443e-03,-3.73360468542e-04,-8.87286998024e-02,2.43044495247e+00,7.00635814879e-01
6.25000000000e-01,4.71590909091e-01,6.66510691167e-02,-2.15593684108e-03,-2.89665767821e-04,-9.01951108282e-02,2.33309279575e+00,5.70645302415e-01
