x,y,T,ux,uy,qn,tx,ty
6.25000000000e-01,2.55681818182e-01,3.95498403209e-02,-1.84316273336e-03,-1.08859614092e-03,5.64600493391e-02,-5.82928715275e+00,-2.64409668659e+00
6.25000000000e-01,2.67045454545e-01,4.13274879900e-02,-1.89938926531e-03,-1.05002060502e-03,5.88593613784e-02,-5.81011448188e+00,-2.45676372168e+00
6.25000000000e-01,2.78409090909e-01,4.31051356590e-02,-1.95561579725e-03,-1.01144506912e-03,6.12586734178e-02,-5.79094181101e+00,-2.26943075677e+00
6.25000000000e-01,2.89772727273e-01,4.48370065899e-02,-1.99352469125e-03,-9.57772520776e-04,6.35785534321e-02,-5.69013633258e+00,-2.10785266884e+00
6.25000000000e-01,3.01136363636e-01,4.65536186079e-02,-2.02532770592e-03,-8.99067634945e-04,6.58719561048e-02,-5.56211991829e+00,-1.95485953990e+00
6.25000000000e-01,3.12500000000e-01,4.82702306260e-02,-2.05713072060e-03,-8.40362749113e-04,6.81653587775e-02,-5.43410350401e+00,-1.80186641097e+00
6.25000000000e-01,3.23863636364e-01,4.99061057182e-02,-2.06631389780e-03,-7.58184117501e-04,7.03289091775e-02,-5.25308912406e+00,-1.35249737513e+00
6.25000000000e-01,3.35227272727e-01,5.15419808104e-02,-2.07549707501e-03,-6.76005485888e-04,7.24924595776e-02,-5.07207474412e+00,-9.03128339282e-01
6.25000000000e-01,3.46590909091e-01,5.31527459905e-02,-2.07955866696e-03,-5.91425165570e-04,7.46175609635e-02,-4.89776160031e+00,-5.14262159962e-01
6.25000000000e-01,3.57954545455e-01,5.46881814345e-02,-2.06825550316e-03,-4.99639779135e-04,7.66273153069e-02,-4.74355216491e+00,-3.06904550216e-01
6.25000000000e-01,3.69318181818e-01,5.62236168784e-02,-2.05695233936e-03,-4.07854392700e-04,7.86370696503e-02,-4.58934272950e+00,-9.95469404700e-02
6.25000000000e-01,3.80681818182e-01,5.76989806418e-02,-2.03084281554e-03,-3.08648934147e-04,8.05579534564e-02,-4.30250056241e+00,2.44910318512e-01
6.25000000000e-01,3.92045454545e-01,5.91142727247e-02,-1.98992693170e-03,-2.02023403477e-04,8.23899667251e-02,-3.88302566362e+00,7.26467226729e-01
6.25000000000e-01,4.03409090909e-01,6.05295648076e-02,-1.94901104786e-03,-9.53978728062e-05,8.42219799939e-02,-3.46355076484e+00,1.20802413495e+00
6.25000000000e-01,4.14772727273e-01,6.18399711137e-02,-1.89464474332e-03,1.21499323717e-05,8.59027275168e-02,-3.07630108305e+00,1.48836650645e+00
6.25000000000e-01,4.26136363636e-01,6.31154154942e-02,-1.83579496521e-03,1.20005162385e-04,8.75330531243e-02,-2.69979314025e+00,1.70163736572e+00
6.25000000000e-01,4.37500000000e-01,6.43908598747e-02,-1.77694518710e-03,2.27860392399e-04,8.91633787319e-02,-2.32328519746e+00,1.91490822499e+00
6.25000000000e-01,4.48863636364e-01,6.55067518805e-02,-1.70478324901e-03,3.39157888879e-04,9.05680681908e-02,-2.10848253976e+00,2.14596950267e+00
6.25000000000e-01,4.60227272727e-01,6.66226438863e-02,-1.63262131092e-03,4.50455385359e-04,9.19727576496e-02,-1.89367988206e+00,2.37703078036e+00
6.25000000000e-01,4.71590909091e-01,6.76937216113e-02,-1.55310003797e-03,5.63026267721e-04,9.33150503865e-02,-1.57574005495e+00,2.67545439321e+00
6.25000000000e-01,4.82954545455e-01,6.86303564942e-02,-1.45150076045e-03,6.79417307729e-04,9.44701529571e-02,-9.48388719598e-01,3.17596501157e+00
6.25000000000e-01,4.94318181818e-01,6.95669913771e-02,-1.34990148294e-03,7.95808347738e-04,9.56252555277e-02,-3.21037384245e-01,3.67647562993e+00
6.25000000000e-01,5.05681818182e-01,7.04041454032e-02,-1.24587947441e-03,9.05553761513e-04,9.66435879631e-02,1.74477862690e-01,3.92960424832e+00
6.25000000000e-01,5.17045454545e-01,7.11418185724e-02,-1.13943473487e-03,1.00865354905e-03,9.75251502633e-02,5.38157021206e-01,3.93535086675e+00
6.25000000000e-01,5.28409090909e-01,7.18794917416e-02,-1.03298999533e-03,1.11175333659e-03,9.84067125635e-02,9.01836179723e-01,3.94109748517e+00
6.25000000000e-01,5.39772727273e-01,7.24531654719e-02,-9.16603943000e-04,1.21262601519e-03,9.90651523026e-02,1.32204675684e+00,4.14626006947e+00
6.25000000000e-01,5.51136363636e-01,7.29721727226e-02,-7.96904119732e-04,1.31275632415e-03,9.96492178548e-02,1.76110114016e+00,4.41789464240e+00
6.25000000000e-01,5.62500000000e-01,7.34911799733e-02,-6.77204296465e-04,1.41288663310e-03,1.00233283407e-01,2.20015552348e+00,4.68952921532e+00
6.25000000000e-01,5.73863636364e-01,7.37718177301e-02,-5.53685187232e-04,1.49923144043e-03,1.00495892093e-01,2.44709402167e+00,4.67232639685e+00
6.25000000000e-01,5.85227272727e-01,7.40524554868e-02,-4.30166077998e-04,1.58557624777e-03,1.00758500779e-01,2.69403251985e+00,4.65512357839e+00
