x,y,T,ux,uy
0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-02,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.25000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.87500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
2.50000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
3.12500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
3.75000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
4.37500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
5.00000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
5.62500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
0.00000000000e+00,6.25000000000e-02,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-02,6.25000000000e-02,2.12273502704e-03,-3.85573760953e-05,-7.73468317113e-05
1.25000000000e-01,6.25000000000e-02,4.02984894347e-03,-7.11149398737e-05,-1.38366007076e-04
1.87500000000e-01,6.25000000000e-02,5.69885437371e-03,-1.06140863609e-04,-2.00857221328e-04
2.50000000000e-01,6.25000000000e-02,7.10729864741e-03,-1.44857041277e-04,-2.67827522996e-04
3.12500000000e-01,6.25000000000e-02,8.23279812148e-03,-1.86298558920e-04,-3.40586997689e-04
3.75000000000e-01,6.25000000000e-02,9.05310776826e-03,-2.28047602909e-04,-4.19124246275e-04
4.37500000000e-01,6.25000000000e-02,9.54628496118e-03,-2.65764447687e-04,-5.01832305577e-04
5.00000000000e-01,6.25000000000e-02,9.69117827363e-03,-2.92293210643e-04,-5.82625822352e-04
5.62500000000e-01,6.25000000000e-02,9.46902198400e-03,-2.99573162188e-04,-6.42795976719e-04
6.25000000000e-01,6.25000000000e-02,8.88056247132e-03,-3.13025279193e-04,-5.44462273605e-04
0.00000000000e+00,1.25000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-02,1.25000000000e-01,4.35004019235e-03,-6.26490833457e-05,-1.14657146980e-04
1.25000000000e-01,1.25000000000e-01,8.28311417828e-03,-1.28331491844e-04,-2.14238832556e-04
1.87500000000e-01,1.25000000000e-01,1.17472200532e-02,-1.98401977190e-04,-3.13876774534e-04
2.50000000000e-01,1.25000000000e-01,1.46904137650e-02,-2.75222025559e-04,-4.20994455594e-04
3.12500000000e-01,1.25000000000e-01,1.70608624077e-02,-3.59112268964e-04,-5.38322131723e-04
3.75000000000e-01,1.25000000000e-01,1.88069429738e-02,-4.49168668619e-04,-6.66354613813e-04
4.37500000000e-01,1.25000000000e-01,1.98774489067e-02,-5.43912543664e-04,-8.02252364852e-04
5.00000000000e-01,1.25000000000e-01,2.02220366933e-02,-6.43255184862e-04,-9.35492863921e-04
5.62500000000e-01,1.25000000000e-01,1.97927248201e-02,-7.53764166033e-04,-1.02804351051e-03
6.25000000000e-01,1.25000000000e-01,1.85370890697e-02,-8.55759620055e-04,-9.62524803592e-04
0.00000000000e+00,1.87500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-02,1.87500000000e-01,6.59881447828e-03,-8.16414719064e-05,-1.21433038886e-04
1.25000000000e-01,1.87500000000e-01,1.25966836727e-02,-1.72957837122e-04,-2.32686213847e-04
1.87500000000e-01,1.87500000000e-01,1.79071979070e-02,-2.73734972642e-04,-3.45526056050e-04
2.50000000000e-01,1.87500000000e-01,2.24440113881e-02,-3.85551763543e-04,-4.67093964404e-04
3.12500000000e-01,1.87500000000e-01,2.61208944515e-02,-5.10486423828e-04,-6.00975733751e-04
3.75000000000e-01,1.87500000000e-01,2.88518164892e-02,-6.50604754888e-04,-7.47660650773e-04
4.37500000000e-01,1.87500000000e-01,3.05510732587e-02,-8.08753879428e-04,-9.03017916121e-04
5.00000000000e-01,1.87500000000e-01,3.11334615402e-02,-9.90203434162e-04,-1.05193595735e-03
5.62500000000e-01,1.87500000000e-01,3.05135973199e-02,-1.20250959789e-03,-1.15693319823e-03
6.25000000000e-01,1.87500000000e-01,2.86055630060e-02,-1.44519965777e-03,-1.16933255531e-03
0.00000000000e+00,2.50000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-02,2.50000000000e-01,8.78597752332e-03,-9.51080945425e-05,-1.03503033397e-04
1.25000000000e-01,2.50000000000e-01,1.68074926689e-02,-2.04957136688e-04,-2.02791633887e-04
1.87500000000e-01,2.50000000000e-01,2.39409773144e-02,-3.28657188009e-04,-3.05816524673e-04
2.50000000000e-01,2.50000000000e-01,3.00629180689e-02,-4.68111513912e-04,-4.17913349136e-04
3.12500000000e-01,2.50000000000e-01,3.50498943890e-02,-6.26824859360e-04,-5.42087151285e-04
3.75000000000e-01,2.50000000000e-01,3.87786253440e-02,-8.09248285515e-04,-6.78718906761e-04
4.37500000000e-01,2.50000000000e-01,4.11260100057e-02,-1.02025382820e-03,-8.23489548028e-04
5.00000000000e-01,2.50000000000e-01,4.19690492821e-02,-1.26381437616e-03,-9.63418796602e-04
5.62500000000e-01,2.50000000000e-01,4.11846833605e-02,-1.53704802680e-03,-1.07090481233e-03
6.25000000000e-01,2.50000000000e-01,3.86496151738e-02,-1.83652138383e-03,-1.10932293983e-03
0.00000000000e+00,3.12500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-02,3.12500000000e-01,1.08284730909e-02,-1.02456644368e-04,-6.64430411850e-05
1.25000000000e-01,3.12500000000e-01,2.07525306430e-02,-2.22483744324e-04,-1.34706678403e-04
1.87500000000e-01,3.12500000000e-01,2.96108457628e-02,-3.59159048925e-04,-2.08434189284e-04
2.50000000000e-01,3.12500000000e-01,3.72421281400e-02,-5.14889418113e-04,-2.90389558140e-04
3.12500000000e-01,3.12500000000e-01,4.34851450354e-02,-6.94322405884e-04,-3.82420613586e-04
3.75000000000e-01,3.12500000000e-01,4.81787389262e-02,-9.03359051870e-04,-4.84988425005e-04
4.37500000000e-01,3.12500000000e-01,5.11618220010e-02,-1.14770819034e-03,-5.96184072344e-04
5.00000000000e-01,3.12500000000e-01,5.22733336480e-02,-1.42937029469e-03,-7.09243028364e-04
5.62500000000e-01,3.12500000000e-01,5.13521651575e-02,-1.74173621597e-03,-8.15089354486e-04
6.25000000000e-01,3.12500000000e-01,4.82370917196e-02,-2.04437210761e-03,-8.85121726245e-04
0.00000000000e+00,3.75000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-02,3.75000000000e-01,1.26432670846e-02,-1.03175223664e-04,-1.64035696520e-05
1.25000000000e-01,3.75000000000e-01,2.42688357673e-02,-2.24159675717e-04,-4.00258729441e-05
1.87500000000e-01,3.75000000000e-01,3.46791751008e-02,-3.62229353821e-04,-6.99339973271e-05
2.50000000000e-01,3.75000000000e-01,4.36767694243e-02,-5.20168400060e-04,-1.06025979563e-04
3.12500000000e-01,3.75000000000e-01,5.10641252402e-02,-7.03254230466e-04,-1.48756177131e-04
3.75000000000e-01,3.75000000000e-01,5.66437731798e-02,-9.18299334616e-04,-1.98983772026e-04
4.37500000000e-01,3.75000000000e-01,6.02182595664e-02,-1.17219786261e-03,-2.57701357321e-04
5.00000000000e-01,3.75000000000e-01,6.15901247300e-02,-1.46967171089e-03,-3.27389754323e-04
5.62500000000e-01,3.75000000000e-01,6.05618741621e-02,-1.80886365077e-03,-4.06367684498e-04
6.25000000000e-01,3.75000000000e-01,5.69359544469e-02,-2.19380899413e-03,-5.18063212583e-04
0.00000000000e+00,4.37500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-02,4.37500000000e-01,1.41473412928e-02,-9.73399328422e-05,3.99447629343e-05
1.25000000000e-01,4.37500000000e-01,2.71934803931e-02,-2.09997671799e-04,6.85310069408e-05
1.87500000000e-01,4.37500000000e-01,3.89083937132e-02,-3.37503227984e-04,9.10863905663e-05
2.50000000000e-01,4.37500000000e-01,4.90620516112e-02,-4.82628509348e-04,1.10527124062e-04
3.12500000000e-01,4.37500000000e-01,5.74244144075e-02,-6.50590140967e-04,1.27842775006e-04
3.75000000000e-01,4.37500000000e-01,6.37654270337e-02,-8.48387725277e-04,1.42102431695e-04
4.37500000000e-01,4.37500000000e-01,6.78550125254e-02,-1.08400953736e-03,1.49554542661e-04
5.00000000000e-01,4.37500000000e-01,6.94630664775e-02,-1.36521900918e-03,1.43459745333e-04
5.62500000000e-01,4.37500000000e-01,6.83594562049e-02,-1.69753150331e-03,1.05334300396e-04
6.25000000000e-01,4.37500000000e-01,6.43140279375e-02,-2.07142862432e-03,4.87771147290e-05
0.00000000000e+00,5.00000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-02,5.00000000000e-01,1.52576845798e-02,-8.58149405542e-05,9.58002446001e-05
1.25000000000e-01,5.00000000000e-01,2.93635518632e-02,-1.81966175737e-04,1.77883721512e-04
1.87500000000e-01,5.00000000000e-01,4.20609537338e-02,-2.88167123257e-04,2.55229564866e-04
2.50000000000e-01,5.00000000000e-01,5.30932153466e-02,-4.06637946673e-04,3.33163404291e-04
3.12500000000e-01,5.00000000000e-01,6.22036211925e-02,-5.41633188961e-04,4.14078201289e-04
3.75000000000e-01,5.00000000000e-01,6.91354027169e-02,-6.99116439581e-04,4.97238533353e-04
4.37500000000e-01,5.00000000000e-01,7.36317319148e-02,-8.86506447700e-04,5.77951552164e-04
5.00000000000e-01,5.00000000000e-01,7.54357271103e-02,-1.11236323542e-03,6.44233703937e-04
5.62500000000e-01,5.00000000000e-01,7.42904755399e-02,-1.38749462958e-03,6.80039331510e-04
6.25000000000e-01,5.00000000000e-01,6.99390712218e-02,-1.72339127117e-03,6.21283212115e-04
0.00000000000e+00,5.62500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
