x,y,T,ux,uy,qn,tx,ty
6.25000000000e-01,6.25000000000e-02,8.88056247132e-03,-3.13025279193e-04,-5.44462273605e-04,1.25585644635e-02,-5.40212548983e+00,-9.06443317579e-01
6.25000000000e-01,1.25000000000e-01,1.85370890697e-02,-8.55759620055e-04,-9.62524803592e-04,2.69828635031e-02,-5.29701546756e+00,-2.28482531912e+00
6.25000000000e-01,1.87500000000e-01,2.86055630060e-02,-1.44519965777e-03,-1.16933255531e-03,4.12321838699e-02,-6.09752786181e+00,-2.87772434025e+00
6.25000000000e-01,2.50000000000e-01,3.86496151738e-02,-1.83652138383e-03,-1.10932293983e-03,5.50748555528e-02,-5.39864597330e+00,-1.83411459091e+00
6.25000000000e-01,3.12500000000e-01,4.82370917196e-02,-2.04437210761e-03,-8.85121726245e-04,6.80144794561e-02,-4.01613223622e+00,-1.31588438717e+00
6.25000000000e-01,3.75000000000e-01,5.69359544469e-02,-2.19380899413e-03,-5.18063212583e-04,7.95236076459e-02,-4.29817514253e+00,-1.11892162227e+00
6.25000000000e-01,4.37500000000e-01,6.43140279375e-02,-2.07142862432e-03,4.87771147290e-05,8.90745573960e-02,-3.31301751160e+00,1.32923037129e+00
6.25000000000e-01,5.00000000000e-01,6.99390712218e-02,-1.72339127117e-03,6.21283212115e-04,9.61392448858e-02,-2.10997886256e+00,2.19592867518e+00
6.25000000000e-01,5.62500000000e-01,7.33788589163e-02,-1.06850424661e-03,1.23844784851e-03,1.00189173237e-01,9.45234091075e-01,4.52835251676e+00
6.25000000000e-01,6.25000000000e-01,7.42012685228e-02,-3.03770484832e-04,1.69809273948e-03,1.00695283954e-01,3.92177184013e+00,4.33268352566e+00
6.25000000000e-01,6.87500000000e-01,7.19744022230e-02,3.91870394854e-04,2.05218559464e-03,9.71276961523e-02,5.40754582758e+00,4.76903548531e+00
6.25000000000e-01,7.50000000000e-01,6.62668224370e-02,1.05925011054e-03,2.18982200348e-03,8.89549616159e-02,7.46257239934e+00,4.53307904167e+00
6.25000000000e-01,8.12500000000e-01,5.66481570079e-02,1.44426880122e-03,1.99126817062e-03,7.56426976419e-02,7.38534379976e+00,1.93310873499e+00
6.25000000000e-01,8.75000000000e-01,4.26915720251e-02,1.54890538840e-03,1.52171787905e-03,5.65709512828e-02,6.54294143515e+00,-9.49926638266e-01
6.25000000000e-01,9.37500000000e-01,2.39904853124e-02,1.06071739494e-03,7.52172702267e-04,3.02891607351e-02,1.01859487562e+00,-6.73599848631e+00
