x,y,T,ux,uy
1.37500000000e+00,-2.69278508947e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,-2.69278508947e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,1.25000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.37500000000e+00,1.25000000000e-01,3.88870868785e-03,-7.87153652241e-05,6.20107558370e-06
1.25000000000e+00,-2.69278508947e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,2.50000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.25000000000e+00,1.25000000000e-01,7.35755170094e-03,-8.66693914231e-05,-1.21892251927e-05
1.37500000000e+00,2.50000000000e-01,8.25737630616e-03,-8.94791535950e-05,2.86745977039e-05
1.12500000000e+00,-2.69278508947e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,3.75000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.12500000000e+00,1.25000000000e-01,1.04011903398e-02,-1.68010029799e-04,-5.56582511238e-05
1.25000000000e+00,2.50000000000e-01,1.55704831806e-02,-2.88589429078e-04,-4.79871489133e-05
1.37500000000e+00,3.75000000000e-01,1.22978339575e-02,-2.51976043741e-04,1.09982808305e-05
1.00000000000e+00,-2.69278508947e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,5.00000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.00000000000e+00,1.25000000000e-01,1.30254884624e-02,-3.62392543719e-04,-1.93468129007e-04
1.12500000000e+00,2.50000000000e-01,2.19470976548e-02,-5.81913463196e-04,-2.06645414196e-04
1.25000000000e+00,3.75000000000e-01,2.31461230916e-02,-6.74818099111e-04,-2.16606861349e-04
1.37500000000e+00,5.00000000000e-01,1.52123412185e-02,-5.31078641204e-04,-1.31550488600e-04
8.75000000000e-01,-2.69278508947e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,6.25000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
8.75000000000e-01,1.25000000000e-01,1.52466942129e-02,-6.36103296251e-04,-4.63172281188e-04
1.00000000000e+00,2.50000000000e-01,2.74055301469e-02,-9.88463573280e-04,-5.19536689720e-04
