x,y,T,ux,uy,qn,tx,ty
6.25000000000e-01,1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,-1.49626147578e-02,5.38460741848e+00,1.13617841565e+00
6.25000000000e-01,6.25000000000e-02,8.88056249408e-03,-3.13025247122e-04,-5.44462156128e-04,-1.49626147578e-02,5.38460741848e+00,1.13617841565e+00
6.25000000000e-01,1.25000000000e-01,1.85370891147e-02,-8.55759533717e-04,-9.62524612727e-04,-2.69537010478e-02,5.44795306175e+00,2.15391671928e+00
6.25000000000e-01,1.87500000000e-01,2.86055630737e-02,-1.44519949458e-03,-1.16933232735e-03,-4.11644100011e-02,5.84763059958e+00,2.60497846512e+00
6.25000000000e-01,2.50000000000e-01,3.86496152639e-02,-1.83652113364e-03,-1.10932271332e-03,-5.49243487663e-02,5.28471087556e+00,1.92168309603e+00
6.25000000000e-01,3.12500000000e-01,4.82370918312e-02,-2.04437177668e-03,-8.85121539438e-04,-6.77760649441e-02,4.29356352148e+00,1.36943305660e+00
6.25000000000e-01,3.75000000000e-01,5.69359545779e-02,-2.19380860445e-03,-5.18063097903e-04,-7.91972462604e-02,4.08698130250e+00,7.43725734839e-01
6.25000000000e-01,4.37500000000e-01,6.43140280847e-02,-2.07142821033e-03,4.87771363469e-05,-8.86601822558e-02,3.27671052643e+00,-1.06565449947e+00
6.25000000000e-01,5.00000000000e-01,6.99390713810e-02,-1.72339087375e-03,6.21283135800e-04,-9.56367870996e-02,1.80128910923e+00,-2.44021795014e+00
6.25000000000e-01,5.62500000000e-01,7.33788590823e-02,-1.06850390458e-03,1.23844768755e-03,-9.95985391378e-02,-9.32116785811e-01,-4.10700687663e+00
6.25000000000e-01,6.25000000000e-01,7.42012686893e-02,-3.03770225407e-04,1.69809252324e-03,-1.00016336399e-01,-3.67330795766e+00,-4.43802433474e+00
6.25000000000e-01,6.87500000000e-01,7.19744023828e-02,3.91870563211e-04,2.05218536158e-03,-9.63601738294e-02,-5.50241949325e+00,-4.65698821259e+00
6.25000000000e-01,7.50000000000e-01,6.62668225822e-02,1.05925019942e-03,2.18982179085e-03,-8.80983753463e-02,-7.10719595436e+00,-4.13908047468e+00
6.25000000000e-01,8.12500000000e-01,5.66481571301e-02,1.44426883617e-03,1.99126800479e-03,-7.46827856201e-02,-7.25781495360e+00,-1.88593428359e+00
6.25000000000e-01,8.75000000000e-01,4.26915721158e-02,1.54890539782e-03,1.52171777116e-03,-5.53692786090e-02,-5.76261762994e+00,1.43376373622e+00
6.25000000000e-01,9.37500000000e-01,2.39904853634e-02,1.06071739822e-03,7.52172651116e-04,-3.46694601701e-02,-1.93931917151e+00,5.77165138780e+00
6.25000000000e-01,1.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00,-3.46694601701e-02,-1.93931917151e+00,5.77165138780e+00
