x,y,T,ux,uy
6.34943181818e-01,1.13636363636e-02,1.56027401606e-03,-5.58019704730e-05,-6.32361664364e-05
6.54829545455e-01,1.13636363636e-02,1.55250634319e-03,-5.56431546413e-05,-5.81280303136e-05
6.74715909091e-01,1.13636363636e-02,1.55250634319e-03,-5.56431546413e-05,-5.81280303136e-05
6.94602272727e-01,1.13636363636e-02,1.55250634319e-03,-5.56431546413e-05,-5.81280303136e-05
7.14488636364e-01,1.13636363636e-02,1.55250634319e-03,-5.56431546413e-05,-5.81280303136e-05
7.34375000000e-01,1.13636363636e-02,1.55250634319e-03,-5.56431546413e-05,-5.81280303136e-05
7.54261363636e-01,1.13636363636e-02,1.48583596832e-03,-5.48346600231e-05,-3.71695421129e-05
7.74147727273e-01,1.13636363636e-02,1.48583596832e-03,-5.48346600231e-05,-3.71695421129e-05
7.94034090909e-01,1.13636363636e-02,1.48583596832e-03,-5.48346600231e-05,-3.71695421129e-05
8.13920454545e-01,1.13636363636e-02,1.40165165546e-03,-5.20320357361e-05,-2.62224658858e-05
8.33806818182e-01,1.13636363636e-02,1.32977705703e-03,-4.87964000875e-05,-2.21310963900e-05
8.53693181818e-01,1.13636363636e-02,1.32977705703e-03,-4.87964000875e-05,-2.21310963900e-05
8.73579545455e-01,1.13636363636e-02,1.32977705703e-03,-4.87964000875e-05,-2.21310963900e-05
8.93465909091e-01,1.13636363636e-02,1.23895428392e-03,-4.05997330440e-05,-1.42582886955e-05
9.13352272727e-01,1.13636363636e-02,1.23895428392e-03,-4.05997330440e-05,-1.42582886955e-05
9.33238636364e-01,1.13636363636e-02,1.23895428392e-03,-4.05997330440e-05,-1.42582886955e-05
9.53125000000e-01,1.13636363636e-02,1.23895428392e-03,-4.05997330440e-05,-1.42582886955e-05
9.73011363636e-01,1.13636363636e-02,1.23895428392e-03,-4.05997330440e-05,-1.42582886955e-05
9.92897727273e-01,1.13636363636e-02,1.20153813862e-03,-3.70010165962e-05,-1.19680961022e-05
1.01278409091e+00,1.13636363636e-02,1.13917789644e-03,-3.10031558498e-05,-8.15110844665e-06
1.03267045455e+00,1.13636363636e-02,1.13917789644e-03,-3.10031558498e-05,-8.15110844665e-06
1.05255681818e+00,1.13636363636e-02,1.12556161703e-03,-2.99063396587e-05,-7.41622802705e-06
1.07244318182e+00,1.13636363636e-02,9.26779538911e-04,-1.74066002750e-05,-1.29322277131e-06
1.09232954545e+00,1.13636363636e-02,9.11998378591e-04,-1.67177394113e-05,-1.15338815438e-06
1.11221590909e+00,1.13636363636e-02,9.11998378591e-04,-1.67177394113e-05,-1.15338815438e-06
1.13210227273e+00,1.13636363636e-02,8.32177772458e-04,-1.31686929705e-05,-9.62120483406e-07
1.15198863636e+00,1.13636363636e-02,7.84285408778e-04,-1.10392651061e-05,-8.47359880820e-07
1.17187500000e+00,1.13636363636e-02,7.84285408778e-04,-1.10392651061e-05,-8.47359880820e-07
1.19176136364e+00,1.13636363636e-02,7.84285408778e-04,-1.10392651061e-05,-8.47359880820e-07
1.21164772727e+00,1.13636363636e-02,7.84285408778e-04,-1.10392651061e-05,-8.47359880820e-07
1.23153409091e+00,1.13636363636e-02,7.84285408778e-04,-1.10392651061e-05,-8.47359880820e-07
1.25142045455e+00,1.13636363636e-02,6.28602869697e-04,-8.84093688328e-06,6.53685401645e-07
1.27130681818e+00,1.13636363636e-02,4.99966633769e-04,-8.42440570200e-06,-2.84514950064e-07
1.29119318182e+00,1.13636363636e-02,4.99966633769e-04,-8.42440570200e-06,-2.84514950064e-07
1.31107954545e+00,1.13636363636e-02,4.99966633769e-04,-8.42440570200e-06,-2.84514950064e-07
1.33096590909e+00,1.13636363636e-02,4.99966633769e-04,-8.42440570200e-06,-2.84514950064e-07
1.35085227273e+00,1.13636363636e-02,4.99966633769e-04,-8.42440570200e-06,-2.84514950064e-07
1.37073863636e+00,1.13636363636e-02,4.01958672173e-04,-9.19602706401e-06,-2.17947886263e-06
1.39062500000e+00,1.13636363636e-02,3.43153895215e-04,-9.65899988122e-06,-3.31645721016e-06
1.41051136364e+00,1.13636363636e-02,3.43153895215e-04,-9.65899988122e-06,-3.31645721016e-06
1.43039772727e+00,1.13636363636e-02,2.80653678735e-04,-9.17900592018e-06,-3.65340934507e-06
1.45028409091e+00,1.13636363636e-02,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.47017045455e+00,1.13636363636e-02,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.49005681818e+00,1.13636363636e-02,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.34943181818e-01,3.40909090909e-02,4.78956946846e-03,-1.69629333063e-04,-2.61222405028e-04
6.54829545455e-01,3.40909090909e-02,4.68082204819e-03,-1.67405911419e-04,-1.89708499309e-04
6.74715909091e-01,3.40909090909e-02,4.65751902956e-03,-1.66929463924e-04,-1.74384090941e-04
6.94602272727e-01,3.40909090909e-02,4.65751902956e-03,-1.66929463924e-04,-1.74384090941e-04
7.14488636364e-01,3.40909090909e-02,4.65751902956e-03,-1.66929463924e-04,-1.74384090941e-04
7.34375000000e-01,3.40909090909e-02,4.54917967041e-03,-1.65615660169e-04,-1.40326547615e-04
