x,y,T,ux,uy
7.10227272727e-03,1.13636363636e-02,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
2.13068181818e-02,1.13636363636e-02,2.43070788203e-05,-4.59717711250e-07,-1.02268341022e-06
3.55113636364e-02,1.13636363636e-02,2.63822591198e-04,-4.64035638890e-06,-1.05077586005e-05
4.97159090909e-02,1.13636363636e-02,3.79432525589e-04,-6.24471422040e-06,-1.43849107984e-05
6.39204545455e-02,1.13636363636e-02,3.79432525589e-04,-6.24471422040e-06,-1.43849107984e-05
7.81250000000e-02,1.13636363636e-02,3.79432525589e-04,-6.24471422040e-06,-1.43849107984e-05
9.23295454545e-02,1.13636363636e-02,5.32583070692e-04,-8.37723475578e-06,-1.95456603234e-05
1.06534090909e-01,1.13636363636e-02,5.54461719993e-04,-8.68188054655e-06,-2.02829102555e-05
1.20738636364e-01,1.13636363636e-02,6.57347075815e-04,-1.02937539786e-05,-2.39527762655e-05
1.34943181818e-01,1.13636363636e-02,8.53599113716e-04,-1.37103633880e-05,-3.14042705102e-05
1.49147727273e-01,1.13636363636e-02,8.72816374345e-04,-1.40602898665e-05,-3.21542097443e-05
1.63352272727e-01,1.13636363636e-02,8.72816374345e-04,-1.40602898665e-05,-3.21542097443e-05
1.77556818182e-01,1.13636363636e-02,8.90615604033e-04,-1.44397031634e-05,-3.29297437498e-05
1.91761363636e-01,1.13636363636e-02,1.06417919789e-03,-1.83169464383e-05,-4.07791473945e-05
2.05965909091e-01,1.13636363636e-02,1.14579417464e-03,-2.03525300991e-05,-4.48135900720e-05
2.20170454545e-01,1.13636363636e-02,1.16058275612e-03,-2.07832207704e-05,-4.56552555322e-05
2.34375000000e-01,1.13636363636e-02,1.26410282650e-03,-2.37980554693e-05,-5.15469137538e-05
2.48579545455e-01,1.13636363636e-02,1.26410282650e-03,-2.37980554693e-05,-5.15469137538e-05
2.62784090909e-01,1.13636363636e-02,1.36967100033e-03,-2.73817028686e-05,-5.85728356298e-05
2.76988636364e-01,1.13636363636e-02,1.36967100033e-03,-2.73817028686e-05,-5.85728356298e-05
2.91193181818e-01,1.13636363636e-02,1.36967100033e-03,-2.73817028686e-05,-5.85728356298e-05
3.05397727273e-01,1.13636363636e-02,1.40430709292e-03,-2.87507256337e-05,-6.13182235315e-05
3.19602272727e-01,1.13636363636e-02,1.51121731043e-03,-3.32950261431e-05,-7.06468181126e-05
3.33806818182e-01,1.13636363636e-02,1.54072734835e-03,-3.46525836838e-05,-7.34985869596e-05
