x,y,u
6.25000000000e-01,0.00000000000e+00,0.00000000000e+00
6.97916666667e-01,0.00000000000e+00,0.00000000000e+00
7.70833333333e-01,0.00000000000e+00,0.00000000000e+00
8.43750000000e-01,0.00000000000e+00,0.00000000000e+00
9.16666666667e-01,0.00000000000e+00,0.00000000000e+00
9.89583333333e-01,0.00000000000e+00,0.00000000000e+00
1.06250000000e+00,0.00000000000e+00,0.00000000000e+00
1.13541666667e+00,0.00000000000e+00,0.00000000000e+00
1.20833333333e+00,0.00000000000e+00,0.00000000000e+00
1.28125000000e+00,0.00000000000e+00,0.00000000000e+00
1.35416666667e+00,0.00000000000e+00,0.00000000000e+00
1.42708333333e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-01,1.25000000000e-01,1.67460476735e-03
6.97916666667e-01,1.25000000000e-01,1.78076987938e-03
7.70833333333e-01,1.25000000000e-01,1.87247480527e-03
8.43750000000e-01,1.25000000000e-01,1.94459916569e-03
9.16666666667e-01,1.25000000000e-01,1.99186471425e-03
9.89583333333e-01,1.25000000000e-01,2.00799087294e-03
1.06250000000e+00,1.25000000000e-01,1.98498543659e-03
1.13541666667e+00,1.25000000000e-01,1.91231509104e-03
1.20833333333e+00,1.25000000000e-01,1.77569598536e-03
1.28125000000e+00,1.25000000000e-01,1.55509107395e-03
1.35416666667e+00,1.25000000000e-01,1.22110608277e-03
1.42708333333e+00,1.25000000000e-01,7.28069897970e-04
1.50000000000e+00,1.25000000000e-01,0.00000000000e+00
6.25000000000e-01,2.50000000000e-01,2.93149592587e-03
6.97916666667e-01,2.50000000000e-01,3.10878947217e-03
7.70833333333e-01,2.50000000000e-01,3.25345112519e-03
8.43750000000e-01,2.50000000000e-01,3.35934611668e-03
9.16666666667e-01,2.50000000000e-01,3.41839963477e-03
9.89583333333e-01,2.50000000000e-01,3.42013497251e-03
1.06250000000e+00,2.50000000000e-01,3.35100536933e-03
1.13541666667e+00,2.50000000000e-01,3.19349842262e-03
1.20833333333e+00,2.50000000000e-01,2.92493178129e-03
1.28125000000e+00,2.50000000000e-01,2.51582278917e-03
1.35416666667e+00,2.50000000000e-01,1.92771807157e-03
1.42708333333e+00,2.50000000000e-01,1.11051982814e-03
1.50000000000e+00,2.50000000000e-01,0.00000000000e+00
6.25000000000e-01,3.75000000000e-01,3.76759889568e-03
6.97916666667e-01,3.75000000000e-01,3.98024659036e-03
7.70833333333e-01,3.75000000000e-01,4.14729092958e-03
8.43750000000e-01,3.75000000000e-01,4.26202243875e-03
9.16666666667e-01,3.75000000000e-01,4.31492701054e-03
9.89583333333e-01,3.75000000000e-01,4.29329536921e-03
1.06250000000e+00,3.75000000000e-01,4.18065812464e-03
1.13541666667e+00,3.75000000000e-01,3.95606296398e-03
1.20833333333e+00,3.75000000000e-01,3.59322028058e-03
1.28125000000e+00,3.75000000000e-01,3.05958015770e-03
1.35416666667e+00,3.75000000000e-01,2.31548753740e-03
1.42708333333e+00,3.75000000000e-01,1.31372322987e-03
1.50000000000e+00,3.75000000000e-01,0.00000000000e+00
6.25000000000e-01,5.00000000000e-01,4.15915783541e-03
6.97916666667e-01,5.00000000000e-01,4.37586620140e-03
7.70833333333e-01,5.00000000000e-01,4.54160119265e-03
8.43750000000e-01,5.00000000000e-01,4.64966598737e-03
9.16666666667e-01,5.00000000000e-01,4.69025487503e-03
9.89583333333e-01,5.00000000000e-01,4.65008625631e-03
1.06250000000e+00,5.00000000000e-01,4.51189227848e-03
1.13541666667e+00,5.00000000000e-01,4.25379151917e-03
1.20833333333e+00,5.00000000000e-01,3.84859964926e-03
1.28125000000e+00,5.00000000000e-01,3.26318225632e-03
1.35416666667e+00,5.00000000000e-01,2.45803146524e-03
1.42708333333e+00,5.00000000000e-01,1.38734880548e-03
1.50000000000e+00,5.00000000000e-01,0.00000000000e+00
6.25000000000e-01,6.25000000000e-01,4.06010172441e-03
6.97916666667e-01,6.25000000000e-01,4.25387746753e-03
7.70833333333e-01,6.25000000000e-01,4.39976695412e-03
8.43750000000e-01,6.25000000000e-01,4.49171986092e-03
9.16666666667e-01,6.25000000000e-01,4.52071740405e-03
9.89583333333e-01,6.25000000000e-01,4.47440550676e-03
1.06250000000e+00,6.25000000000e-01,4.33656139432e-03
1.13541666667e+00,6.25000000000e-01,4.08640034111e-03
1.20833333333e+00,6.25000000000e-01,3.69774520100e-03
1.28125000000e+00,6.25000000000e-01,3.13812128208e-03
1.35416666667e+00,6.25000000000e-01,2.36792436289e-03
1.42708333333e+00,6.25000000000e-01,1.33997078086e-03
1.50000000000e+00,6.25000000000e-01,0.00000000000e+00
6.25000000000e-01,7.50000000000e-01,3.40001946618e-03
6.97916666667e-01,7.50000000000e-01,3.54752267256e-03
7.70833333333e-01,7.50000000000e-01,3.65832364232e-03
8.43750000000e-01,7.50000000000e-01,3.72760798663e-03
9.16666666667e-01,7.50000000000e-01,3.74822188838e-03
9.89583333333e-01,7.50000000000e-01,3.71030635395e-03
1.06250000000e+00,7.50000000000e-01,3.60072100354e-03
1.13541666667e+00,7.50000000000e-01,3.40221837467e-03
1.20833333333e+00,7.50000000000e-01,3.09228846664e-03
1.28125000000e+00,7.50000000000e-01,2.64156132425e-03
1.35416666667e+00,7.50000000000e-01,2.01165857100e-03
1.42708333333e+00,7.50000000000e-01,1.15253442131e-03
1.50000000000e+00,7.50000000000e-01,0.00000000000e+00
6.25000000000e-01,8.75000000000e-01,2.08504924384e-03
6.97916666667e-01,8.75000000000e-01,2.16613949513e-03
7.70833333333e-01,8.75000000000e-01,2.22816986795e-03
8.43750000000e-01,8.75000000000e-01,2.26794936350e-03
9.16666666667e-01,8.75000000000e-01,2.28126398942e-03
9.89583333333e-01,8.75000000000e-01,2.26244319198e-03
1.06250000000e+00,8.75000000000e-01,2.20385552885e-03
1.13541666667e+00,8.75000000000e-01,2.09518643104e-03
1.20833333333e+00,8.75000000000e-01,1.92228749703e-03
1.28125000000e+00,8.75000000000e-01,1.66520737575e-03
1.35416666667e+00,8.75000000000e-01,1.29460770995e-03
1.42708333333e+00,8.75000000000e-01,7.64856066086e-04
1.50000000000e+00,8.75000000000e-01,0.00000000000e+00
6.25000000000e-01,1.00000000000e+00,0.00000000000e+00
6.97916666667e-01,1.00000000000e+00,0.00000000000e+00
7.70833333333e-01,1.00000000000e+00,0.00000000000e+00
8.43750000000e-01,1.00000000000e+00,0.00000000000e+00
9.16666666667e-01,1.00000000000e+00,0.00000000000e+00
9.89583333333e-01,1.00000000000e+00,0.00000000000e+00
1.06250000000e+00,1.00000000000e+00,0.00000000000e+00
1.13541666667e+00,1.00000000000e+00,0.00000000000e+00
1.20833333333e+00,1.00000000000e+00,0.00000000000e+00
1.28125000000e+00,1.00000000000e+00,0.00000000000e+00
1.35416666667e+00,1.00000000000e+00,0.00000000000e+00
1.42708333333e+00,1.00000000000e+00,0.00000000000e+00
1.50000000000e+00,1.00000000000e+00,0.00000000000e+00
