x,y,u
7.10227272727e-03,1.13636363636e-02,0.00000000000e+00
2.13068181818e-02,1.13636363636e-02,0.00000000000e+00
3.55113636364e-02,1.13636363636e-02,0.00000000000e+00
4.97159090909e-02,1.13636363636e-02,0.00000000000e+00
6.39204545455e-02,1.13636363636e-02,0.00000000000e+00
7.81250000000e-02,1.13636363636e-02,-2.51421571388e-03
9.23295454545e-02,1.13636363636e-02,-2.51421571388e-03
1.06534090909e-01,1.13636363636e-02,-2.51421571388e-03
1.20738636364e-01,1.13636363636e-02,-2.51421571388e-03
1.34943181818e-01,1.13636363636e-02,-2.51421571388e-03
1.49147727273e-01,1.13636363636e-02,-2.51421571388e-03
1.63352272727e-01,1.13636363636e-02,-5.47362389592e-03
1.77556818182e-01,1.13636363636e-02,-5.47362389592e-03
1.91761363636e-01,1.13636363636e-02,-5.47362389592e-03
2.05965909091e-01,1.13636363636e-02,-5.47362389592e-03
2.20170454545e-01,1.13636363636e-02,-5.47362389592e-03
2.34375000000e-01,1.13636363636e-02,-5.47362389592e-03
2.48579545455e-01,1.13636363636e-02,-5.89203436545e-03
2.62784090909e-01,1.13636363636e-02,-5.89203436545e-03
2.76988636364e-01,1.13636363636e-02,-5.89203436545e-03
2.91193181818e-01,1.13636363636e-02,-5.89203436545e-03
3.05397727273e-01,1.13636363636e-02,-5.89203436545e-03
3.19602272727e-01,1.13636363636e-02,-5.58529539565e-03
3.33806818182e-01,1.13636363636e-02,-5.58529539565e-03
3.48011363636e-01,1.13636363636e-02,-5.58529539565e-03
3.62215909091e-01,1.13636363636e-02,-5.58529539565e-03
3.76420454545e-01,1.13636363636e-02,-5.58529539565e-03
3.90625000000e-01,1.13636363636e-02,-5.58529539565e-03
4.04829545455e-01,1.13636363636e-02,-5.58529539565e-03
4.19034090909e-01,1.13636363636e-02,-5.58529539565e-03
4.33238636364e-01,1.13636363636e-02,-5.58529539565e-03
4.47443181818e-01,1.13636363636e-02,-5.58529539565e-03
4.61647727273e-01,1.13636363636e-02,-5.58529539565e-03
4.75852272727e-01,1.13636363636e-02,-2.74743742042e-03
4.90056818182e-01,1.13636363636e-02,-2.74743742042e-03
5.04261363636e-01,1.13636363636e-02,-2.74743742042e-03
5.18465909091e-01,1.13636363636e-02,-2.74743742042e-03
5.32670454545e-01,1.13636363636e-02,-2.74743742042e-03
5.46875000000e-01,1.13636363636e-02,-2.74743742042e-03
5.61079545455e-01,1.13636363636e-02,-2.01397892874e-04
