x,y,u
6.34943181818e-01,1.13636363636e-02,-1.23700588093e-03
6.54829545455e-01,1.13636363636e-02,-1.00687077192e-03
6.74715909091e-01,1.13636363636e-02,-7.76735662906e-04
6.94602272727e-01,1.13636363636e-02,-5.46600553894e-04
7.14488636364e-01,1.13636363636e-02,-3.16465444881e-04
7.34375000000e-01,1.13636363636e-02,-1.59592160955e-04
7.54261363636e-01,1.13636363636e-02,-1.31405632079e-04
7.74147727273e-01,1.13636363636e-02,-1.31405632079e-04
7.94034090909e-01,1.13636363636e-02,-1.31405632079e-04
8.13920454545e-01,1.13636363636e-02,-1.31405632079e-04
8.33806818182e-01,1.13636363636e-02,-1.31405632079e-04
8.53693181818e-01,1.13636363636e-02,-1.31405632079e-04
8.73579545455e-01,1.13636363636e-02,-1.31405632079e-04
8.93465909091e-01,1.13636363636e-02,-1.31405632079e-04
9.13352272727e-01,1.13636363636e-02,-1.31405632079e-04
9.33238636364e-01,1.13636363636e-02,-1.31405632079e-04
9.53125000000e-01,1.13636363636e-02,-1.07697995802e-04
9.73011363636e-01,1.13636363636e-02,-8.55630564538e-05
9.92897727273e-01,1.13636363636e-02,-8.55630564538e-05
1.01278409091e+00,1.13636363636e-02,-8.55630564538e-05
1.03267045455e+00,1.13636363636e-02,-8.55630564538e-05
1.05255681818e+00,1.13636363636e-02,-8.55630564538e-05
1.07244318182e+00,1.13636363636e-02,-8.55630564538e-05
1.09232954545e+00,1.13636363636e-02,-8.55630564538e-05
1.11221590909e+00,1.13636363636e-02,-8.55630564538e-05
1.13210227273e+00,1.13636363636e-02,-8.55630564538e-05
1.15198863636e+00,1.13636363636e-02,-8.55630564538e-05
1.17187500000e+00,1.13636363636e-02,-6.40077904145e-05
1.19176136364e+00,1.13636363636e-02,-4.26597528506e-05
1.21164772727e+00,1.13636363636e-02,-4.26597528506e-05
1.23153409091e+00,1.13636363636e-02,-4.26597528506e-05
1.25142045455e+00,1.13636363636e-02,-4.26597528506e-05
1.27130681818e+00,1.13636363636e-02,-4.26597528506e-05
1.29119318182e+00,1.13636363636e-02,-4.26597528506e-05
1.31107954545e+00,1.13636363636e-02,-4.26597528506e-05
1.33096590909e+00,1.13636363636e-02,-4.26597528506e-05
1.35085227273e+00,1.13636363636e-02,-4.26597528506e-05
1.37073863636e+00,1.13636363636e-02,-4.26597528506e-05
1.39062500000e+00,1.13636363636e-02,-2.13562622983e-05
1.41051136364e+00,1.13636363636e-02,0.00000000000e+00
1.43039772727e+00,1.13636363636e-02,0.00000000000e+00
1.45028409091e+00,1.13636363636e-02,0.00000000000e+00
