x,y,u,qn
2.556818181818182e-01,6.250000000000000e-01,-3.495895008647273e-02,-3.014438436849091e-02
2.670454545454545e-01,6.250000000000000e-01,-3.535200530201818e-02,-3.035606314067273e-02
2.784090909090909e-01,6.250000000000000e-01,-3.574506051756363e-02,-3.056774191285454e-02
2.897727272727273e-01,6.250000000000000e-01,-3.613811573310909e-02,-3.077942068503636e-02
3.011363636363636e-01,6.250000000000000e-01,-3.653117094865455e-02,-3.099109945721818e-02
3.125000000000000e-01,6.250000000000000e-01,-3.692422616420000e-02,-3.120277822940000e-02
3.238636363636364e-01,6.250000000000000e-01,-3.695802308583637e-02,-3.108226838778182e-02
3.352272727272727e-01,6.250000000000000e-01,-3.699182000747273e-02,-3.096175854616363e-02
3.465909090909091e-01,6.250000000000000e-01,-3.702561692910909e-02,-3.084124870454545e-02
3.579545454545455e-01,6.250000000000000e-01,-3.705941385074546e-02,-3.072073886292727e-02
3.693181818181818e-01,6.250000000000000e-01,-3.709321077238182e-02,-3.060022902130909e-02
3.806818181818182e-01,6.250000000000000e-01,-3.697617247533636e-02,-3.034495521558182e-02
3.920454545454546e-01,6.250000000000000e-01,-3.670829895960909e-02,-2.995491744574546e-02
4.034090909090909e-01,6.250000000000000e-01,-3.644042544388182e-02,-2.956487967590909e-02
4.147727272727273e-01,6.250000000000000e-01,-3.617255192815454e-02,-2.917484190607272e-02
4.261363636363636e-01,6.250000000000000e-01,-3.590467841242728e-02,-2.878480413623636e-02
4.375000000000000e-01,6.250000000000000e-01,-3.563680489670000e-02,-2.839476636640000e-02
4.488636363636364e-01,6.250000000000000e-01,-3.512486235170000e-02,-2.779886034734545e-02
4.602272727272727e-01,6.250000000000000e-01,-3.461291980670000e-02,-2.720295432829091e-02
4.715909090909091e-01,6.250000000000000e-01,-3.410097726170000e-02,-2.660704830923636e-02
4.829545454545454e-01,6.250000000000000e-01,-3.358903471670000e-02,-2.601114229018182e-02
4.943181818181818e-01,6.250000000000000e-01,-3.307709217170000e-02,-2.541523627112727e-02
5.056818181818181e-01,6.250000000000000e-01,-3.247192360598182e-02,-2.474822203578182e-02
5.170454545454546e-01,6.250000000000000e-01,-3.177352901954545e-02,-2.401009958414545e-02
5.284090909090908e-01,6.250000000000000e-01,-3.107513443310909e-02,-2.327197713250909e-02
5.397727272727273e-01,6.250000000000000e-01,-3.037673984667272e-02,-2.253385468087273e-02
5.511363636363636e-01,6.250000000000000e-01,-2.967834526023636e-02,-2.179573222923636e-02
5.625000000000000e-01,6.250000000000000e-01,-2.897995067380000e-02,-2.105760977760000e-02
5.738636363636364e-01,6.250000000000000e-01,-2.815273059000000e-02,-2.024100726803636e-02
5.852272727272727e-01,6.250000000000000e-01,-2.732551050620000e-02,-1.942440475847273e-02
5.965909090909092e-01,6.250000000000000e-01,-2.649829042239999e-02,-1.860780224890908e-02
6.079545454545454e-01,6.250000000000000e-01,-2.567107033860000e-02,-1.779119973934546e-02
6.193181818181819e-01,6.250000000000000e-01,-2.484385025479999e-02,-1.697459722978181e-02
6.306818181818181e-01,6.250000000000000e-01,-2.398103375647273e-02,-1.615064185420000e-02
6.420454545454546e-01,6.250000000000000e-01,-2.308262084361818e-02,-1.531933361260000e-02
6.534090909090908e-01,6.250000000000000e-01,-2.218420793076364e-02,-1.448802537100001e-02
6.647727272727273e-01,6.250000000000000e-01,-2.128579501790909e-02,-1.365671712940000e-02
6.761363636363636e-01,6.250000000000000e-01,-2.038738210505454e-02,-1.282540888780000e-02
6.875000000000000e-01,6.250000000000000e-01,-1.948896919220000e-02,-1.199410064620000e-02
6.988636363636364e-01,6.250000000000000e-01,-1.857699809918182e-02,-1.121184360814727e-02
7.102272727272727e-01,6.250000000000000e-01,-1.766502700616364e-02,-1.042958657009455e-02
7.215909090909092e-01,6.250000000000000e-01,-1.675305591314545e-02,-9.647329532041813e-03
7.329545454545454e-01,6.250000000000000e-01,-1.584108482012728e-02,-8.865072493989094e-03
7.443181818181819e-01,6.250000000000000e-01,-1.492911372710909e-02,-8.082815455936360e-03
