x,y,u
1.136363636363636e-02,7.102272727272727e-03,0.000000000000000e+00
1.136363636363636e-02,2.130681818181818e-02,0.000000000000000e+00
1.136363636363636e-02,3.551136363636364e-02,0.000000000000000e+00
1.136363636363636e-02,4.971590909090909e-02,0.000000000000000e+00
1.136363636363636e-02,6.392045454545454e-02,0.000000000000000e+00
1.136363636363636e-02,7.812500000000000e-02,0.000000000000000e+00
1.136363636363636e-02,9.232954545454546e-02,0.000000000000000e+00
1.136363636363636e-02,1.065340909090909e-01,0.000000000000000e+00
1.136363636363636e-02,1.207386363636364e-01,-6.129746404318189e-04
1.136363636363636e-02,1.349431818181818e-01,-9.807594246909095e-04
1.136363636363636e-02,1.491477272727273e-01,-9.807594246909095e-04
1.136363636363636e-02,1.633522727272727e-01,-9.807594246909095e-04
1.136363636363636e-02,1.775568181818182e-01,-9.807594246909095e-04
1.136363636363636e-02,1.917613636363636e-01,-9.807594246909095e-04
1.136363636363636e-02,2.059659090909091e-01,-9.807594246909095e-04
1.136363636363636e-02,2.201704545454546e-01,-9.807594246909095e-04
1.136363636363636e-02,2.343750000000000e-01,-9.807594246909095e-04
1.136363636363636e-02,2.485795454545454e-01,-1.586383792442045e-03
1.136363636363636e-02,2.627840909090909e-01,-2.083436547618182e-03
1.136363636363636e-02,2.769886363636364e-01,-2.083436547618182e-03
1.136363636363636e-02,2.911931818181818e-01,-2.083436547618182e-03
1.136363636363636e-02,3.053977272727273e-01,-2.083436547618182e-03
1.136363636363636e-02,3.196022727272727e-01,-2.083436547618182e-03
1.136363636363636e-02,3.338068181818182e-01,-2.083436547618182e-03
1.136363636363636e-02,3.480113636363636e-01,-2.083436547618182e-03
1.136363636363636e-02,3.622159090909091e-01,-2.083436547618182e-03
1.136363636363636e-02,3.764204545454545e-01,-2.101450794286364e-03
1.136363636363636e-02,3.906250000000000e-01,-2.227550520963636e-03
1.136363636363636e-02,4.048295454545455e-01,-2.227550520963636e-03
1.136363636363636e-02,4.190340909090909e-01,-2.227550520963636e-03
1.136363636363636e-02,4.332386363636364e-01,-2.227550520963636e-03
1.136363636363636e-02,4.474431818181818e-01,-2.227550520963636e-03
1.136363636363636e-02,4.616477272727273e-01,-2.227550520963636e-03
1.136363636363636e-02,4.758522727272727e-01,-2.227550520963636e-03
1.136363636363636e-02,4.900568181818182e-01,-2.227550520963636e-03
1.136363636363636e-02,5.042613636363636e-01,-2.227550520963636e-03
1.136363636363636e-02,5.184659090909091e-01,-2.227550520963636e-03
1.136363636363636e-02,5.326704545454546e-01,-2.227550520963636e-03
1.136363636363636e-02,5.468750000000000e-01,-2.227550520963636e-03
1.136363636363636e-02,5.610795454545454e-01,-2.227550520963636e-03
1.136363636363636e-02,5.752840909090909e-01,-2.227550520963636e-03
1.136363636363636e-02,5.894886363636364e-01,-2.227550520963636e-03
1.136363636363636e-02,6.036931818181818e-01,-2.227550520963636e-03
1.136363636363636e-02,6.178977272727273e-01,-2.189447201173863e-03
3.409090909090909e-02,7.102272727272727e-03,0.000000000000000e+00
3.409090909090909e-02,2.130681818181818e-02,0.000000000000000e+00
3.409090909090909e-02,3.551136363636364e-02,0.000000000000000e+00
3.409090909090909e-02,4.971590909090909e-02,0.000000000000000e+00
3.409090909090909e-02,6.392045454545454e-02,0.000000000000000e+00
3.409090909090909e-02,7.812500000000000e-02,0.000000000000000e+00
3.409090909090909e-02,9.232954545454546e-02,-1.225949280863635e-04
3.409090909090909e-02,1.065340909090909e-01,-1.348544208950000e-03
3.409090909090909e-02,1.207386363636364e-01,-2.574493489813636e-03
3.409090909090909e-02,1.349431818181818e-01,-2.942278274072727e-03
3.409090909090909e-02,1.491477272727273e-01,-2.942278274072727e-03
3.409090909090909e-02,1.633522727272727e-01,-2.942278274072727e-03
3.409090909090909e-02,1.775568181818182e-01,-2.942278274072727e-03
3.409090909090909e-02,1.917613636363636e-01,-2.942278274072727e-03
3.409090909090909e-02,2.059659090909091e-01,-2.942278274072727e-03
3.409090909090909e-02,2.201704545454546e-01,-3.201831574537501e-03
3.409090909090909e-02,2.343750000000000e-01,-4.067009242753408e-03
3.409090909090909e-02,2.485795454545454e-01,-4.932186910969317e-03
3.409090909090909e-02,2.627840909090909e-01,-5.480556539689771e-03
3.409090909090909e-02,2.769886363636364e-01,-5.993725275132954e-03
3.409090909090909e-02,2.911931818181818e-01,-6.250309642854546e-03
3.409090909090909e-02,3.053977272727273e-01,-6.250309642854546e-03
3.409090909090909e-02,3.196022727272727e-01,-6.250309642854546e-03
3.409090909090909e-02,3.338068181818182e-01,-6.250309642854546e-03
3.409090909090909e-02,3.480113636363636e-01,-6.250309642854546e-03
3.409090909090909e-02,3.622159090909091e-01,-6.250309642854546e-03
3.409090909090909e-02,3.764204545454545e-01,-6.268323889522727e-03
3.409090909090909e-02,3.906250000000000e-01,-6.448466356204545e-03
3.409090909090909e-02,4.048295454545455e-01,-6.628608822886363e-03
3.409090909090909e-02,4.190340909090909e-01,-6.682651562890909e-03
3.409090909090909e-02,4.332386363636364e-01,-6.682651562890909e-03
3.409090909090909e-02,4.474431818181818e-01,-6.682651562890909e-03
3.409090909090909e-02,4.616477272727273e-01,-6.682651562890909e-03
3.409090909090909e-02,4.758522727272727e-01,-6.682651562890909e-03
3.409090909090909e-02,4.900568181818182e-01,-6.682651562890909e-03
3.409090909090909e-02,5.042613636363636e-01,-6.682651562890909e-03
3.409090909090909e-02,5.184659090909091e-01,-6.682651562890909e-03
3.409090909090909e-02,5.326704545454546e-01,-6.682651562890909e-03
3.409090909090909e-02,5.468750000000000e-01,-6.682651562890909e-03
3.409090909090909e-02,5.610795454545454e-01,-6.682651562890909e-03
3.409090909090909e-02,5.752840909090909e-01,-6.682651562890909e-03
3.409090909090909e-02,5.894886363636364e-01,-6.682651562890909e-03
3.409090909090909e-02,6.036931818181818e-01,-6.568341603521590e-03
3.409090909090909e-02,6.178977272727273e-01,-6.441330537555681e-03
5.681818181818182e-02,7.102272727272727e-03,0.000000000000000e+00
5.681818181818182e-02,2.130681818181818e-02,0.000000000000000e+00
5.681818181818182e-02,3.551136363636364e-02,0.000000000000000e+00
5.681818181818182e-02,4.971590909090909e-02,0.000000000000000e+00
5.681818181818182e-02,6.392045454545454e-02,0.000000000000000e+00
