x,y,u,qn
2.556818181818182e-01,6.250000000000000e-01,-3.549244230101818e-02,2.855594489629091e-02
2.670454545454545e-01,6.250000000000000e-01,-3.586201078485454e-02,2.885593778287272e-02
2.784090909090909e-01,6.250000000000000e-01,-3.623157926869091e-02,2.915593066945454e-02
2.897727272727273e-01,6.250000000000000e-01,-3.660114775252728e-02,2.945592355603636e-02
3.011363636363636e-01,6.250000000000000e-01,-3.697071623636364e-02,2.975591644261818e-02
3.125000000000000e-01,6.250000000000000e-01,-3.734028472020000e-02,3.005590932920000e-02
3.238636363636364e-01,6.250000000000000e-01,-3.735810067805455e-02,2.998581174158182e-02
3.352272727272727e-01,6.250000000000000e-01,-3.737591663590909e-02,2.991571415396364e-02
3.465909090909091e-01,6.250000000000000e-01,-3.739373259376363e-02,2.984561656634546e-02
3.579545454545455e-01,6.250000000000000e-01,-3.741154855161818e-02,2.977551897872727e-02
3.693181818181818e-01,6.250000000000000e-01,-3.742936450947273e-02,2.970542139110909e-02
3.806818181818182e-01,6.250000000000000e-01,-3.729860487066364e-02,2.949258713111818e-02
3.920454545454546e-01,6.250000000000000e-01,-3.701926963519091e-02,2.913701619875455e-02
4.034090909090909e-01,6.250000000000000e-01,-3.673993439971818e-02,2.878144526639091e-02
4.147727272727273e-01,6.250000000000000e-01,-3.646059916424545e-02,2.842587433402727e-02
4.261363636363636e-01,6.250000000000000e-01,-3.618126392877273e-02,2.807030340166364e-02
4.375000000000000e-01,6.250000000000000e-01,-3.590192869330000e-02,2.771473246930000e-02
4.488636363636364e-01,6.250000000000000e-01,-3.538150310810000e-02,2.714535847408182e-02
4.602272727272727e-01,6.250000000000000e-01,-3.486107752290000e-02,2.657598447886364e-02
4.715909090909091e-01,6.250000000000000e-01,-3.434065193770000e-02,2.600661048364546e-02
4.829545454545454e-01,6.250000000000000e-01,-3.382022635250000e-02,2.543723648842728e-02
4.943181818181818e-01,6.250000000000000e-01,-3.329980076730000e-02,2.486786249320909e-02
5.056818181818181e-01,6.250000000000000e-01,-3.268720635034546e-02,2.422507374278182e-02
5.170454545454546e-01,6.250000000000000e-01,-3.198244310163636e-02,2.350887023714545e-02
5.284090909090908e-01,6.250000000000000e-01,-3.127767985292727e-02,2.279266673150910e-02
5.397727272727273e-01,6.250000000000000e-01,-3.057291660421818e-02,2.207646322587273e-02
5.511363636363636e-01,6.250000000000000e-01,-2.986815335550909e-02,2.136025972023636e-02
5.625000000000000e-01,6.250000000000000e-01,-2.916339010680000e-02,2.064405621460000e-02
5.738636363636364e-01,6.250000000000000e-01,-2.833143179696364e-02,1.984610442360000e-02
5.852272727272727e-01,6.250000000000000e-01,-2.749947348712727e-02,1.904815263260000e-02
5.965909090909092e-01,6.250000000000000e-01,-2.666751517729090e-02,1.825020084159999e-02
6.079545454545454e-01,6.250000000000000e-01,-2.583555686745455e-02,1.745224905060000e-02
6.193181818181819e-01,6.250000000000000e-01,-2.500359855761818e-02,1.665429725960000e-02
6.306818181818181e-01,6.250000000000000e-01,-2.413674648168182e-02,1.584739124081819e-02
6.420454545454546e-01,6.250000000000000e-01,-2.323500063964545e-02,1.503153099425454e-02
6.534090909090908e-01,6.250000000000000e-01,-2.233325479760910e-02,1.421567074769092e-02
6.647727272727273e-01,6.250000000000000e-01,-2.143150895557273e-02,1.339981050112727e-02
6.761363636363636e-01,6.250000000000000e-01,-2.052976311353636e-02,1.258395025456364e-02
6.875000000000000e-01,6.250000000000000e-01,-1.962801727150000e-02,1.176809000800000e-02
6.988636363636364e-01,6.250000000000000e-01,-1.871415137719091e-02,1.099652160274727e-02
7.102272727272727e-01,6.250000000000000e-01,-1.780028548288182e-02,1.022495319749455e-02
7.215909090909092e-01,6.250000000000000e-01,-1.688641958857272e-02,9.453384792241813e-03
7.329545454545454e-01,6.250000000000000e-01,-1.597255369426364e-02,8.681816386989094e-03
7.443181818181819e-01,6.250000000000000e-01,-1.505868779995454e-02,7.910247981736359e-03
