iteration,interface_residual
2,1.2438263316468203
3,1.0501682545963298
4,0.81226709168482591
5,0.52270509174062607
6,0.30217699054253189
7,0.18988401941565944
8,0.12093240174466553
9,0.07002141050465098
10,0.042998112838345488
11,0.028692782651255327
12,0.017348607104248629
13,0.0098718605095475705
14,0.0065850395813378962
15,0.0042634625391938658
16,0.0024058659405841887
17,0.0015048867574678777
18,0.0010201922496981591
19,0.00061135247278259976
20,0.00034973446919510116
21,0.00023819620177013289
22,0.000153815414510023
23,8.6338923361329684e-05
24,5.5168649500903287e-05
25,3.7345375312807053e-05
26,2.2172118249861756e-05
27,1.2917077073996057e-05
28,8.8156525197880477e-06
29,5.6316961107684972e-06
30,3.188887028415933e-06
31,2.0634805716653191e-06
32,1.3805220734313086e-06
33,8.1796686111523069e-07
