x,y,u
1.25000000000e-01,1.25000000000e-01,-1.08615179533e-02
1.25000000000e-01,0.00000000000e+00,0.00000000000e+00
0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
0.00000000000e+00,1.25000000000e-01,0.00000000000e+00
2.50000000000e-01,1.25000000000e-01,-1.61079425740e-02
2.50000000000e-01,0.00000000000e+00,0.00000000000e+00
3.75000000000e-01,1.25000000000e-01,-1.69223851282e-02
3.75000000000e-01,0.00000000000e+00,0.00000000000e+00
3.75000000000e-01,2.50000000000e-01,-2.90492512909e-02
2.50000000000e-01,2.50000000000e-01,-2.75804702916e-02
1.25000000000e-01,2.50000000000e-01,-1.85972729574e-02
0.00000000000e+00,2.50000000000e-01,0.00000000000e+00
1.25000000000e-01,3.75000000000e-01,-2.33866617883e-02
0.00000000000e+00,3.75000000000e-01,0.00000000000e+00
1.25000000000e-01,5.00000000000e-01,-2.56970485593e-02
2.50000000000e-01,3.75000000000e-01,-3.46437722821e-02
2.50000000000e-01,5.00000000000e-01,-3.76275336438e-02
3.75000000000e-01,5.00000000000e-01,-3.96585493804e-02
3.75000000000e-01,3.75000000000e-01,-3.65599882802e-02
5.00000000000e-01,3.75000000000e-01,-3.18675322818e-02
5.00000000000e-01,2.50000000000e-01,-2.51819888434e-02
5.00000000000e-01,5.00000000000e-01,-3.47314908868e-02
6.25000000000e-01,3.75000000000e-01,-2.32342426531e-02
6.25000000000e-01,5.00000000000e-01,-2.55986107597e-02
6.25000000000e-01,2.50000000000e-01,-1.81655991410e-02
7.50000000000e-01,3.75000000000e-01,-1.32995938148e-02
6.25000000000e-01,1.25000000000e-01,-1.04150961666e-02
7.50000000000e-01,2.50000000000e-01,-1.01814960194e-02
5.00000000000e-01,1.25000000000e-01,-1.45879340781e-02
5.00000000000e-01,0.00000000000e+00,0.00000000000e+00
6.25000000000e-01,0.00000000000e+00,0.00000000000e+00
7.50000000000e-01,1.25000000000e-01,-5.71907946325e-03
7.50000000000e-01,0.00000000000e+00,0.00000000000e+00
8.75000000000e-01,1.25000000000e-01,-1.81250454118e-03
8.75000000000e-01,0.00000000000e+00,0.00000000000e+00
8.75000000000e-01,2.50000000000e-01,-3.40361339392e-03
1.00000000000e+00,2.50000000000e-01,0.00000000000e+00
1.00000000000e+00,1.25000000000e-01,0.00000000000e+00
1.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.00000000000e+00,5.00000000000e-01,0.00000000000e+00
1.00000000000e+00,3.75000000000e-01,0.00000000000e+00
8.75000000000e-01,3.75000000000e-01,-4.68597937462e-03
8.75000000000e-01,5.00000000000e-01,-5.58249017212e-03
7.50000000000e-01,5.00000000000e-01,-1.49817748942e-02
7.50000000000e-01,6.25000000000e-01,-1.51332957956e-02
8.75000000000e-01,6.25000000000e-01,-6.09603371382e-03
1.00000000000e+00,6.25000000000e-01,0.00000000000e+00
6.25000000000e-01,6.25000000000e-01,-2.52250873905e-02
5.00000000000e-01,6.25000000000e-01,-3.38403893931e-02
3.75000000000e-01,6.25000000000e-01,-3.85049240723e-02
2.50000000000e-01,6.25000000000e-01,-3.68566175832e-02
0.00000000000e+00,5.00000000000e-01,0.00000000000e+00
1.25000000000e-01,6.25000000000e-01,-2.67730820826e-02
0.00000000000e+00,6.25000000000e-01,0.00000000000e+00
