x,y,u,qn
6.25000000000e-02,6.25000000000e-01,-1.50689333719e-02,-1.94242541058e-02
1.25000000000e-01,6.25000000000e-01,-2.43563115405e-02,1.05890807059e-02
1.87500000000e-01,6.25000000000e-01,-3.10573877872e-02,2.39913879242e-02
2.50000000000e-01,6.25000000000e-01,-3.53076580591e-02,2.84059484530e-02
3.12500000000e-01,6.25000000000e-01,-3.73402847202e-02,3.00559093292e-02
3.75000000000e-01,6.25000000000e-01,-3.74382724884e-02,2.96703725973e-02
4.37500000000e-01,6.25000000000e-01,-3.59019286933e-02,2.77147324693e-02
5.00000000000e-01,6.25000000000e-01,-3.30395879747e-02,2.45831754956e-02
5.62500000000e-01,6.25000000000e-01,-2.91633901068e-02,2.06440562146e-02
6.25000000000e-01,6.25000000000e-01,-2.45876194027e-02,1.62553213641e-02
6.87500000000e-01,6.25000000000e-01,-1.96280172715e-02,1.17680900080e-02
7.50000000000e-01,6.25000000000e-01,-1.46017548528e-02,7.52446377911e-03
8.12500000000e-01,6.25000000000e-01,-9.82802124174e-03,3.83628266645e-03
8.75000000000e-01,6.25000000000e-01,-5.63134826105e-03,4.76596592082e-04
9.37500000000e-01,6.25000000000e-01,-2.34313168554e-03,-3.12336100453e-03
