x,y,u
1.136363636363636e-02,6.349431818181818e-01,-2.480266887952955e-02
1.136363636363636e-02,6.548295454545454e-01,-2.114915429133978e-02
1.136363636363636e-02,6.747159090909091e-01,-1.722396740294205e-02
1.136363636363636e-02,6.946022727272727e-01,-1.329878051454432e-02
1.136363636363636e-02,7.144886363636364e-01,-9.373593626146592e-03
1.136363636363636e-02,7.343750000000000e-01,-5.448406737748863e-03
1.136363636363636e-02,7.542613636363636e-01,-2.178757197806818e-03
1.136363636363636e-02,7.741477272727273e-01,-1.869466985090909e-03
1.136363636363636e-02,7.940340909090909e-01,-1.869466985090909e-03
1.136363636363636e-02,8.139204545454546e-01,-1.869466985090909e-03
1.136363636363636e-02,8.338068181818181e-01,-1.869466985090909e-03
1.136363636363636e-02,8.536931818181819e-01,-1.869466985090909e-03
1.136363636363636e-02,8.735795454545454e-01,-1.869466985090909e-03
1.136363636363636e-02,8.934659090909092e-01,-1.869466985090909e-03
1.136363636363636e-02,9.133522727272727e-01,-1.869466985090909e-03
1.136363636363636e-02,9.332386363636364e-01,-1.869466985090909e-03
1.136363636363636e-02,9.531250000000000e-01,-1.869466985090909e-03
1.136363636363636e-02,9.730113636363636e-01,-1.869466985090909e-03
1.136363636363636e-02,9.928977272727273e-01,-1.751921505945454e-03
1.136363636363636e-02,1.012784090909091e+00,-1.226280456927273e-03
1.136363636363636e-02,1.032670454545455e+00,-1.226280456927273e-03
1.136363636363636e-02,1.052556818181818e+00,-1.226280456927273e-03
1.136363636363636e-02,1.072443181818182e+00,-1.226280456927273e-03
1.136363636363636e-02,1.092329545454545e+00,-1.226280456927273e-03
1.136363636363636e-02,1.112215909090909e+00,-1.226280456927273e-03
1.136363636363636e-02,1.132102272727273e+00,-9.971240776119326e-04
1.136363636363636e-02,1.151988636363636e+00,-8.596302500227272e-04
1.136363636363636e-02,1.171875000000000e+00,-8.596302500227272e-04
1.136363636363636e-02,1.191761363636364e+00,-8.596302500227272e-04
1.136363636363636e-02,1.211647727272727e+00,-8.596302500227272e-04
1.136363636363636e-02,1.231534090909091e+00,-8.596302500227272e-04
1.136363636363636e-02,1.251420454545455e+00,-8.596302500227272e-04
1.136363636363636e-02,1.271306818181818e+00,-8.596302500227272e-04
1.136363636363636e-02,1.291193181818182e+00,-8.596302500227272e-04
1.136363636363636e-02,1.311079545454545e+00,-8.596302500227272e-04
1.136363636363636e-02,1.330965909090909e+00,-8.596302500227272e-04
1.136363636363636e-02,1.350852272727273e+00,-8.596302500227272e-04
1.136363636363636e-02,1.370738636363636e+00,-6.042678979250043e-04
1.136363636363636e-02,1.390625000000000e+00,-4.510504866663637e-04
1.136363636363636e-02,1.410511363636364e+00,-4.510504866663637e-04
1.136363636363636e-02,1.430397727272727e+00,-4.510504866663637e-04
1.136363636363636e-02,1.450284090909091e+00,-4.510504866663637e-04
1.136363636363636e-02,1.470170454545455e+00,-4.510504866663637e-04
1.136363636363636e-02,1.490056818181818e+00,-3.946691758330618e-04
3.409090909090909e-02,6.349431818181818e-01,-2.518457472707500e-02
3.409090909090909e-02,6.548295454545454e-01,-2.506280004158864e-02
3.409090909090909e-02,6.747159090909091e-01,-2.195263005381478e-02
3.409090909090909e-02,6.946022727272727e-01,-1.802744316541705e-02
3.409090909090909e-02,7.144886363636364e-01,-1.410225627701932e-02
3.409090909090909e-02,7.343750000000000e-01,-1.017706938862159e-02
3.409090909090909e-02,7.542613636363636e-01,-6.907419848679545e-03
3.409090909090909e-02,7.741477272727273e-01,-6.041407253074999e-03
3.409090909090909e-02,7.940340909090909e-01,-5.608400955272727e-03
3.409090909090909e-02,8.139204545454546e-01,-5.608400955272727e-03
3.409090909090909e-02,8.338068181818181e-01,-5.608400955272727e-03
3.409090909090909e-02,8.536931818181819e-01,-5.608400955272727e-03
3.409090909090909e-02,8.735795454545454e-01,-5.608400955272727e-03
3.409090909090909e-02,8.934659090909092e-01,-5.608400955272727e-03
3.409090909090909e-02,9.133522727272727e-01,-5.608400955272727e-03
3.409090909090909e-02,9.332386363636364e-01,-5.608400955272727e-03
