x,y,u,qn
6.25000000000e-02,6.25000000000e-01,-2.33519083322e-02,2.64670031322e-01
1.25000000000e-01,6.25000000000e-01,-2.33519083322e-02,-1.02859814934e-01
1.87500000000e-01,6.25000000000e-01,-2.91421915268e-02,-6.61062442960e-02
2.50000000000e-01,6.25000000000e-01,-3.49324747213e-02,-8.86704125923e-03
3.12500000000e-01,6.25000000000e-01,-3.61224646825e-02,-5.64335510533e-02
3.75000000000e-01,6.25000000000e-01,-3.73124546436e-02,-1.32224234976e-02
4.37500000000e-01,6.25000000000e-01,-3.51705506322e-02,-4.45517524154e-02
5.00000000000e-01,6.25000000000e-01,-3.30286466209e-02,-1.37795072312e-02
5.62500000000e-01,6.25000000000e-01,-2.88228224194e-02,-2.91767132366e-02
6.25000000000e-01,6.25000000000e-01,-2.46169982178e-02,-1.18205942110e-02
6.87500000000e-01,6.25000000000e-01,-1.96160049725e-02,-1.25382062074e-02
7.50000000000e-01,6.25000000000e-01,-1.46150117271e-02,-1.00985845216e-02
8.12500000000e-01,6.25000000000e-01,-1.00886914183e-02,1.96787066220e-03
8.75000000000e-01,6.25000000000e-01,-5.56237110940e-03,-3.58753370454e-02
9.37500000000e-01,6.25000000000e-01,-5.56237110940e-03,9.26947032436e-02
