x,y,u,qn
2.55681818182e-01,6.25000000000e-01,2.23959906442e-04,2.45802442797e-03
2.67045454545e-01,6.25000000000e-01,2.39699720611e-04,1.83365869646e-03
2.78409090909e-01,6.25000000000e-01,2.55439534780e-04,1.20929296494e-03
2.89772727273e-01,6.25000000000e-01,2.71179348949e-04,5.84927233422e-04
3.01136363636e-01,6.25000000000e-01,2.86919163118e-04,-3.94384980957e-05
3.12500000000e-01,6.25000000000e-01,3.02658977287e-04,-6.63804229613e-04
3.23863636364e-01,6.25000000000e-01,2.98887362346e-04,-1.27354472435e-03
3.35227272727e-01,6.25000000000e-01,2.95115747405e-04,-1.88328521909e-03
3.46590909091e-01,6.25000000000e-01,2.91344132464e-04,-2.49302571382e-03
3.57954545455e-01,6.25000000000e-01,2.87572517523e-04,-3.10276620856e-03
3.69318181818e-01,6.25000000000e-01,2.83800902582e-04,-3.71250670330e-03
3.80681818182e-01,6.25000000000e-01,2.70502092411e-04,-4.16564121991e-03
3.92045454545e-01,6.25000000000e-01,2.47676087009e-04,-4.46216975840e-03
4.03409090909e-01,6.25000000000e-01,2.24850081608e-04,-4.75869829690e-03
4.14772727273e-01,6.25000000000e-01,2.02024076206e-04,-5.05522683539e-03
4.26136363636e-01,6.25000000000e-01,1.79198070805e-04,-5.35175537388e-03
4.37500000000e-01,6.25000000000e-01,1.56372065403e-04,-5.64828391238e-03
4.48863636364e-01,6.25000000000e-01,1.24279543174e-04,-5.48706467041e-03
4.60227272727e-01,6.25000000000e-01,9.21870209445e-05,-5.32584542845e-03
4.71590909091e-01,6.25000000000e-01,6.00944987151e-05,-5.16462618648e-03
4.82954545455e-01,6.25000000000e-01,2.80019764857e-05,-5.00340694452e-03
4.94318181818e-01,6.25000000000e-01,-4.09054574372e-06,-4.84218770255e-03
5.05681818182e-01,6.25000000000e-01,-3.36640173174e-05,-4.49191016593e-03
5.17045454545e-01,6.25000000000e-01,-6.07184382354e-05,-3.95257433465e-03
5.28409090909e-01,6.25000000000e-01,-8.77728591535e-05,-3.41323850337e-03
5.39772727273e-01,6.25000000000e-01,-1.14827280071e-04,-2.87390267209e-03
5.51136363636e-01,6.25000000000e-01,-1.41881700989e-04,-2.33456684081e-03
5.62500000000e-01,6.25000000000e-01,-1.68936121907e-04,-1.79523100953e-03
5.73863636364e-01,6.25000000000e-01,-1.79136298098e-04,-1.14172266405e-03
5.85227272727e-01,6.25000000000e-01,-1.89336474288e-04,-4.88214318565e-04
5.96590909091e-01,6.25000000000e-01,-1.99536650479e-04,1.65294026916e-04
6.07954545455e-01,6.25000000000e-01,-2.09736826669e-04,8.18802372396e-04
6.19318181818e-01,6.25000000000e-01,-2.19937002860e-04,1.47231071788e-03
6.30681818182e-01,6.25000000000e-01,-2.19926111152e-04,2.02374342455e-03
6.42045454545e-01,6.25000000000e-01,-2.09704151546e-04,2.47310049241e-03
6.53409090909e-01,6.25000000000e-01,-1.99482191941e-04,2.92245756028e-03
6.64772727273e-01,6.25000000000e-01,-1.89260232335e-04,3.37181462814e-03
6.76136363636e-01,6.25000000000e-01,-1.79038272729e-04,3.82117169601e-03
6.87500000000e-01,6.25000000000e-01,-1.68816313123e-04,4.27052876387e-03
6.98863636364e-01,6.25000000000e-01,-1.44551945147e-04,4.29905002795e-03
7.10227272727e-01,6.25000000000e-01,-1.20287577170e-04,4.32757129203e-03
7.21590909091e-01,6.25000000000e-01,-9.60232091938e-05,4.35609255611e-03
7.32954545455e-01,6.25000000000e-01,-7.17588412172e-05,4.38461382020e-03
7.44318181818e-01,6.25000000000e-01,-4.74944732407e-05,4.41313508428e-03
