x,y,u,qn
2.55681818182e-01,6.25000000000e-01,3.87995589509e-06,3.09339367381e-04
2.67045454545e-01,6.25000000000e-01,2.63675618543e-06,2.20478126078e-04
2.78409090909e-01,6.25000000000e-01,1.39355647577e-06,1.31616884776e-04
2.89772727273e-01,6.25000000000e-01,2.60074067438e-06,3.09892893855e-05
3.01136363636e-01,6.25000000000e-01,4.62471950908e-06,-7.35604240343e-05
3.12500000000e-01,6.25000000000e-01,6.64869834379e-06,-1.78110137454e-04
3.23863636364e-01,6.25000000000e-01,1.07486877121e-05,-2.44542474529e-04
3.35227272727e-01,6.25000000000e-01,1.48486770804e-05,-3.10974811604e-04
3.46590909091e-01,6.25000000000e-01,1.89055755988e-05,-3.59420157213e-04
3.57954545455e-01,6.25000000000e-01,2.28332015673e-05,-3.53904528421e-04
3.69318181818e-01,6.25000000000e-01,2.67608275359e-05,-3.48388899630e-04
3.80681818182e-01,6.25000000000e-01,2.95253115145e-05,-3.08410541555e-04
3.92045454545e-01,6.25000000000e-01,3.11266535031e-05,-2.33969454196e-04
4.03409090909e-01,6.25000000000e-01,3.27279954917e-05,-1.59528366837e-04
4.14772727273e-01,6.25000000000e-01,3.18608031388e-05,-6.19249960689e-05
4.26136363636e-01,6.25000000000e-01,3.01707660054e-05,4.33991358360e-05
4.37500000000e-01,6.25000000000e-01,2.84807288719e-05,1.48723267741e-04
4.48863636364e-01,6.25000000000e-01,2.42084721058e-05,2.31354295987e-04
4.60227272727e-01,6.25000000000e-01,1.99362153398e-05,3.13985324232e-04
4.71590909091e-01,6.25000000000e-01,1.55229007320e-05,3.80472446348e-04
4.82954545455e-01,6.25000000000e-01,1.06864125995e-05,3.98527850076e-04
4.94318181818e-01,6.25000000000e-01,5.84992446687e-06,4.16583253803e-04
5.05681818182e-01,6.25000000000e-01,1.88048324188e-06,3.97865454624e-04
5.17045454545e-01,6.25000000000e-01,-1.22191107553e-06,3.42374452539e-04
5.28409090909e-01,6.25000000000e-01,-4.32430539293e-06,2.86883450453e-04
5.39772727273e-01,6.25000000000e-01,-5.06974729042e-06,1.97588222494e-04
5.51136363636e-01,6.25000000000e-01,-5.02953838128e-06,9.70249192449e-05
5.62500000000e-01,6.25000000000e-01,-4.98932947214e-06,-3.53838400454e-06
5.73863636364e-01,6.25000000000e-01,-2.00777022141e-06,-9.76615949353e-05
5.85227272727e-01,6.25000000000e-01,9.73789029319e-07,-1.91784805866e-04
5.96590909091e-01,6.25000000000e-01,4.26161941999e-06,-2.72177890542e-04
6.07954545455e-01,6.25000000000e-01,8.46826323049e-06,-3.11380596455e-04
6.19318181818e-01,6.25000000000e-01,1.26749070410e-05,-3.50583302367e-04
6.30681818182e-01,6.25000000000e-01,1.63101456063e-05,-3.51899687477e-04
6.42045454545e-01,6.25000000000e-01,1.93739789264e-05,-3.15329751785e-04
6.53409090909e-01,6.25000000000e-01,2.24378122465e-05,-2.78759816092e-04
6.64772727273e-01,6.25000000000e-01,2.32787668064e-05,-1.98485211843e-04
6.76136363636e-01,6.25000000000e-01,2.33787617796e-05,-1.03642384743e-04
6.87500000000e-01,6.25000000000e-01,2.34787567528e-05,-8.79955764253e-06
6.98863636364e-01,6.25000000000e-01,2.02709286657e-05,9.70507802890e-05
7.10227272727e-01,6.25000000000e-01,1.70631005785e-05,2.02901118220e-04
7.21590909091e-01,6.25000000000e-01,1.33594307359e-05,2.98155807845e-04
7.32954545455e-01,6.25000000000e-01,8.16823562669e-06,3.61623552551e-04
7.44318181818e-01,6.25000000000e-01,2.97704051750e-06,4.25091297256e-04
