x,y,u
1.13636363636e-02,7.10227272727e-03,-5.79510047527e-07
3.40909090909e-02,7.10227272727e-03,-1.73853014258e-06
5.68181818182e-02,7.10227272727e-03,-2.89755023763e-06
7.95454545455e-02,7.10227272727e-03,-3.18377208960e-06
1.02272727273e-01,7.10227272727e-03,-3.17906119388e-06
1.25000000000e-01,7.10227272727e-03,-3.17435029816e-06
1.47727272727e-01,7.10227272727e-03,-2.35680203037e-06
1.70454545455e-01,7.10227272727e-03,-1.53925376259e-06
1.93181818182e-01,7.10227272727e-03,-7.01351413985e-07
2.15909090909e-01,7.10227272727e-03,1.97613177077e-07
2.38636363636e-01,7.10227272727e-03,1.09657776814e-06
2.61363636364e-01,7.10227272727e-03,1.66293028510e-06
2.84090909091e-01,7.10227272727e-03,1.89667072796e-06
3.06818181818e-01,7.10227272727e-03,2.13041117082e-06
3.29545454545e-01,7.10227272727e-03,1.56714106063e-06
3.52272727273e-01,7.10227272727e-03,7.38200766081e-07
3.75000000000e-01,7.10227272727e-03,-9.07395284663e-08
3.97727272727e-01,7.10227272727e-03,-1.83280537520e-06
4.20454545455e-01,7.10227272727e-03,-3.57487122194e-06
4.43181818182e-01,7.10227272727e-03,-5.38616906115e-06
4.65909090909e-01,7.10227272727e-03,-7.40516287779e-06
4.88636363636e-01,7.10227272727e-03,-9.42415669442e-06
5.11363636364e-01,7.10227272727e-03,-1.11658847698e-05
5.34090909091e-01,7.10227272727e-03,-1.26303471038e-05
5.56818181818e-01,7.10227272727e-03,-1.40948094378e-05
5.79545454545e-01,7.10227272727e-03,-1.46640633410e-05
6.02272727273e-01,7.10227272727e-03,-1.49349144339e-05
6.25000000000e-01,7.10227272727e-03,-1.52057655268e-05
6.47727272727e-01,7.10227272727e-03,-1.41398082692e-05
6.70454545455e-01,7.10227272727e-03,-1.30738510117e-05
6.93181818182e-01,7.10227272727e-03,-1.17811263540e-05
7.15909090909e-01,7.10227272727e-03,-9.80809949602e-06
7.38636363636e-01,7.10227272727e-03,-7.83507263802e-06
7.61363636364e-01,7.10227272727e-03,-5.81623087576e-06
7.84090909091e-01,7.10227272727e-03,-3.75157420923e-06
8.06818181818e-01,7.10227272727e-03,-1.68691754270e-06
8.29545454545e-01,7.10227272727e-03,-1.79108435406e-07
8.52272727273e-01,7.10227272727e-03,1.14308481882e-06
8.75000000000e-01,7.10227272727e-03,2.46527807304e-06
8.97727272727e-01,7.10227272727e-03,2.57160193802e-06
9.20454545455e-01,7.10227272727e-03,2.67792580301e-06
9.43181818182e-01,7.10227272727e-03,2.50697154704e-06
