x,y,u
1.13636363636e-02,6.34943181818e-01,-1.49018006396e-05
3.40909090909e-02,6.34943181818e-01,-4.47054019188e-05
5.68181818182e-02,6.34943181818e-01,-7.45090031981e-05
7.95454545455e-02,6.34943181818e-01,-7.30385737792e-05
1.02272727273e-01,6.34943181818e-01,-6.11434674609e-05
1.25000000000e-01,6.34943181818e-01,-4.92483611427e-05
1.47727272727e-01,6.34943181818e-01,-4.77905131679e-06
1.70454545455e-01,6.34943181818e-01,3.96902585091e-05
1.93181818182e-01,6.34943181818e-01,8.60988532898e-05
2.15909090909e-01,6.34943181818e-01,1.38325302935e-04
2.38636363636e-01,6.34943181818e-01,1.90551752581e-04
2.61363636364e-01,6.34943181818e-01,2.32414920523e-04
2.84090909091e-01,6.34943181818e-01,2.63914806762e-04
3.06818181818e-01,6.34943181818e-01,2.95414693000e-04
3.29545454545e-01,6.34943181818e-01,2.97692000702e-04
3.52272727273e-01,6.34943181818e-01,2.90228448890e-04
3.75000000000e-01,6.34943181818e-01,2.82764897079e-04
3.97727272727e-01,6.34943181818e-01,2.37231279923e-04
4.20454545455e-01,6.34943181818e-01,1.91697662768e-04
4.43181818182e-01,6.34943181818e-01,1.41528996349e-04
4.65909090909e-01,6.34943181818e-01,7.74551821361e-05
4.88636363636e-01,6.34943181818e-01,1.33813679234e-05
5.11363636364e-01,6.34943181818e-01,-4.56820643768e-05
5.34090909091e-01,6.34943181818e-01,-9.97351147643e-05
5.56818181818e-01,6.34943181818e-01,-1.53788165152e-04
5.79545454545e-01,6.34943181818e-01,-1.82622124078e-04
6.02272727273e-01,6.34943181818e-01,-2.03049719184e-04
6.25000000000e-01,6.34943181818e-01,-2.23477314289e-04
6.47727272727e-01,6.34943181818e-01,-2.03138076665e-04
6.70454545455e-01,6.34943181818e-01,-1.82798839041e-04
6.93181818182e-01,6.34943181818e-01,-1.55448951146e-04
7.15909090909e-01,6.34943181818e-01,-1.07067112437e-04
7.38636363636e-01,6.34943181818e-01,-5.86852737282e-05
7.61363636364e-01,6.34943181818e-01,-9.40946405794e-06
7.84090909091e-01,6.34943181818e-01,4.07603165736e-05
8.06818181818e-01,6.34943181818e-01,9.09300972052e-05
8.29545454545e-01,6.34943181818e-01,1.22296630917e-04
8.52272727273e-01,6.34943181818e-01,1.47395415656e-04
8.75000000000e-01,6.34943181818e-01,1.72494200394e-04
8.97727272727e-01,6.34943181818e-01,1.58212037760e-04
9.20454545455e-01,6.34943181818e-01,1.43929875126e-04
9.43181818182e-01,6.34943181818e-01,1.21107502864e-04
9.65909090909e-01,6.34943181818e-01,7.26645017183e-05
9.88636363636e-01,6.34943181818e-01,2.42215005728e-05
1.13636363636e-02,6.54829545455e-01,-1.46980026109e-05
3.40909090909e-02,6.54829545455e-01,-4.40940078327e-05
5.68181818182e-02,6.54829545455e-01,-7.34900130545e-05
