iteration,interface_residual
1,inf
2,999818179.7476133
3,1.940404588993282
4,0.5385677837518619
5,0.1842328467622001
6,0.10620080374230623
7,0.10495121736209433
8,0.04063740139530119
9,0.035997778268251665
10,0.02711873944822811
11,0.011740418121871562
12,0.010302823895095
13,0.006279562449801445
14,0.0038932483149636946
15,0.003190380343146294
16,0.0011880449105975042
17,0.0010174013239767808
18,0.0008687554932975081
19,0.00037623225682241625
20,0.0003140480085262842
21,0.00020535381448076107
22,0.00011915452368060464
23,0.0001009639359116195
24,3.99451278102168e-05
25,3.3220741621446285e-05
26,2.814447270695296e-05
27,1.1656114748864231e-05
28,9.857934335156477e-06
29,6.790566840977076e-06
30,3.839365047005897e-06
31,3.257292566510759e-06
32,1.3450827696360687e-06
33,1.0861543593655062e-06
34,9.252034730868139e-07
