x,y,u,qn
6.250000000000000e-01,2.556818181818182e-01,-1.122795518266400e-03,-2.413443664332146e-02
6.250000000000000e-01,2.670454545454545e-01,-1.133619101933182e-03,-1.975909036228692e-01
6.250000000000000e-01,2.784090909090909e-01,-1.144442685599965e-03,-3.396160703087389e-01
6.250000000000000e-01,2.897727272727273e-01,-1.155266269266747e-03,-4.514011799850316e-01
6.250000000000000e-01,3.011363636363636e-01,-1.166089852933529e-03,-5.342222710698716e-01
6.250000000000000e-01,3.125000000000000e-01,-1.176913436600312e-03,-5.894196235912488e-01
6.250000000000000e-01,3.238636363636364e-01,-1.179581210053459e-03,-6.183853101225656e-01
6.250000000000000e-01,3.352272727272727e-01,-1.182248983506607e-03,-6.225548766064466e-01
6.250000000000000e-01,3.465909090909091e-01,-1.184916756959754e-03,-6.034014469593362e-01
6.250000000000000e-01,3.579545454545455e-01,-1.187584530412902e-03,-5.624314306053597e-01
6.250000000000000e-01,3.693181818181818e-01,-1.190252303866049e-03,-5.011813903939230e-01
6.250000000000000e-01,3.806818181818182e-01,-1.189803339592366e-03,-4.212157943093830e-01
6.250000000000000e-01,3.920454545454546e-01,-1.186237637591853e-03,-3.241254154714872e-01
6.250000000000000e-01,4.034090909090909e-01,-1.182671935591339e-03,-2.115260121766948e-01
6.250000000000000e-01,4.147727272727273e-01,-1.179106233590825e-03,-8.505626535502755e-02
6.250000000000000e-01,4.261363636363636e-01,-1.175540531590312e-03,0.000000000000000e+00
6.250000000000000e-01,4.375000000000000e-01,-1.171974829589798e-03,0.000000000000000e+00
6.250000000000000e-01,4.488636363636364e-01,-1.163577305473652e-03,0.000000000000000e+00
6.250000000000000e-01,4.602272727272727e-01,-1.155179781357506e-03,0.000000000000000e+00
6.250000000000000e-01,4.715909090909091e-01,-1.146782257241360e-03,0.000000000000000e+00
6.250000000000000e-01,4.829545454545454e-01,-1.138384733125213e-03,0.000000000000000e+00
6.250000000000000e-01,4.943181818181818e-01,-1.129987209009067e-03,0.000000000000000e+00
6.250000000000000e-01,5.056818181818181e-01,-1.119655979421537e-03,0.000000000000000e+00
6.250000000000000e-01,5.170454545454546e-01,-1.107391044362623e-03,0.000000000000000e+00
6.250000000000000e-01,5.284090909090908e-01,-1.095126109303709e-03,0.000000000000000e+00
6.250000000000000e-01,5.397727272727273e-01,-1.082861174244795e-03,0.000000000000000e+00
6.250000000000000e-01,5.511363636363636e-01,-1.070596239185881e-03,0.000000000000000e+00
6.250000000000000e-01,5.625000000000000e-01,-1.058331304126967e-03,0.000000000000000e+00
6.250000000000000e-01,5.738636363636364e-01,-1.042780898652949e-03,0.000000000000000e+00
6.250000000000000e-01,5.852272727272727e-01,-1.027230493178931e-03,0.000000000000000e+00
6.250000000000000e-01,5.965909090909092e-01,-1.011680087704913e-03,0.000000000000000e+00
6.250000000000000e-01,6.079545454545454e-01,-9.961296822308947e-04,0.000000000000000e+00
6.250000000000000e-01,6.193181818181819e-01,-9.805792767568768e-04,0.000000000000000e+00
6.250000000000000e-01,6.306818181818181e-01,-9.635031858688190e-04,0.000000000000000e+00
6.250000000000000e-01,6.420454545454546e-01,-9.449014095667211e-04,0.000000000000000e+00
6.250000000000000e-01,6.534090909090908e-01,-9.262996332646237e-04,0.000000000000000e+00
6.250000000000000e-01,6.647727272727273e-01,-9.076978569625257e-04,0.000000000000000e+00
6.250000000000000e-01,6.761363636363636e-01,-8.890960806604280e-04,0.000000000000000e+00
6.250000000000000e-01,6.875000000000000e-01,-8.704943043583304e-04,0.000000000000000e+00
6.250000000000000e-01,6.988636363636364e-01,-8.487443852058267e-04,0.000000000000000e+00
6.250000000000000e-01,7.102272727272727e-01,-8.269944660533229e-04,0.000000000000000e+00
6.250000000000000e-01,7.215909090909092e-01,-8.052445469008189e-04,0.000000000000000e+00
6.250000000000000e-01,7.329545454545454e-01,-7.834946277483154e-04,0.000000000000000e+00
6.250000000000000e-01,7.443181818181819e-01,-7.617447085958113e-04,0.000000000000000e+00
