x,y,u
6.349431818181818e-01,1.136363636363636e-02,-9.137562059387253e-05
6.548295454545454e-01,1.136363636363636e-02,-9.181193530591604e-05
6.747159090909091e-01,1.136363636363636e-02,-9.224825001795956e-05
6.946022727272727e-01,1.136363636363636e-02,-9.259416686407383e-05
7.144886363636364e-01,1.136363636363636e-02,-9.277736755151540e-05
7.343750000000000e-01,1.136363636363636e-02,-9.296056823895696e-05
7.542613636363636e-01,1.136363636363636e-02,-9.300859594251581e-05
7.741477272727273e-01,1.136363636363636e-02,-9.256098937183800e-05
7.940340909090909e-01,1.136363636363636e-02,-9.211338280116019e-05
8.139204545454546e-01,1.136363636363636e-02,-9.162122952121209e-05
8.338068181818181e-01,1.136363636363636e-02,-9.054996902075051e-05
8.536931818181819e-01,1.136363636363636e-02,-8.947870852028892e-05
8.735795454545454e-01,1.136363636363636e-02,-8.840744801982733e-05
8.934659090909092e-01,1.136363636363636e-02,-8.683933161204724e-05
9.133522727272727e-01,1.136363636363636e-02,-8.523299551908884e-05
9.332386363636364e-01,1.136363636363636e-02,-8.362665942613042e-05
9.531250000000000e-01,1.136363636363636e-02,-8.167443698068690e-05
9.730113636363636e-01,1.136363636363636e-02,-7.962788189365655e-05
9.928977272727273e-01,1.136363636363636e-02,-7.758132680662620e-05
1.012784090909091e+00,1.136363636363636e-02,-7.530572621075481e-05
1.032670454545455e+00,1.136363636363636e-02,-7.290287810997171e-05
1.052556818181818e+00,1.136363636363636e-02,-7.050003000918865e-05
1.072443181818182e+00,1.136363636363636e-02,-6.795443063054120e-05
1.092329545454545e+00,1.136363636363636e-02,-6.526607997402943e-05
1.112215909090909e+00,1.136363636363636e-02,-6.257772931751763e-05
1.132102272727273e+00,1.136363636363636e-02,-5.980854561189493e-05
1.151988636363636e+00,1.136363636363636e-02,-5.689386241787254e-05
1.171875000000000e+00,1.136363636363636e-02,-5.397917922385012e-05
1.191761363636364e+00,1.136363636363636e-02,-5.102665687607058e-05
1.211647727272727e+00,1.136363636363636e-02,-4.793539096451491e-05
1.231534090909091e+00,1.136363636363636e-02,-4.484412505295923e-05
1.251420454545455e+00,1.136363636363636e-02,-4.174327660178498e-05
1.271306818181818e+00,1.136363636363636e-02,-3.851785513556967e-05
1.291193181818182e+00,1.136363636363636e-02,-3.529243366935442e-05
1.311079545454545e+00,1.136363636363636e-02,-3.206701220313910e-05
1.330965909090909e+00,1.136363636363636e-02,-2.875132033036182e-05
1.350852272727273e+00,1.136363636363636e-02,-2.542868458015673e-05
1.370738636363636e+00,1.136363636363636e-02,-2.210604882995164e-05
1.390625000000000e+00,1.136363636363636e-02,-1.873299716914357e-05
1.410511363636364e+00,1.136363636363636e-02,-1.534619571453469e-05
1.430397727272727e+00,1.136363636363636e-02,-1.195939425992584e-05
1.450284090909091e+00,1.136363636363636e-02,-8.550995020790782e-06
1.470170454545455e+00,1.136363636363636e-02,-5.130597012474454e-06
1.490056818181818e+00,1.136363636363636e-02,-1.710199004158126e-06
6.349431818181818e-01,3.409090909090909e-02,-2.741268617816176e-04
6.548295454545454e-01,3.409090909090909e-02,-2.754358059177481e-04
6.747159090909091e-01,3.409090909090909e-02,-2.767447500538787e-04
6.946022727272727e-01,3.409090909090909e-02,-2.777825005922214e-04
7.144886363636364e-01,3.409090909090909e-02,-2.783321026545462e-04
7.343750000000000e-01,3.409090909090909e-02,-2.788817047168709e-04
7.542613636363636e-01,3.409090909090909e-02,-2.790257878275475e-04
7.741477272727273e-01,3.409090909090909e-02,-2.776829681155140e-04
7.940340909090909e-01,3.409090909090909e-02,-2.763401484034805e-04
8.139204545454546e-01,3.409090909090909e-02,-2.748636885636363e-04
8.338068181818181e-01,3.409090909090909e-02,-2.716499070622515e-04
8.536931818181819e-01,3.409090909090909e-02,-2.684361255608667e-04
8.735795454545454e-01,3.409090909090909e-02,-2.652223440594819e-04
8.934659090909092e-01,3.409090909090909e-02,-2.605179948361417e-04
9.133522727272727e-01,3.409090909090909e-02,-2.556989865572665e-04
9.332386363636364e-01,3.409090909090909e-02,-2.508799782783912e-04
9.531250000000000e-01,3.409090909090909e-02,-2.450233109420607e-04
9.730113636363636e-01,3.409090909090909e-02,-2.388836456809696e-04
9.928977272727273e-01,3.409090909090909e-02,-2.327439804198785e-04
1.012784090909091e+00,3.409090909090909e-02,-2.259171786322644e-04
1.032670454545455e+00,3.409090909090909e-02,-2.187086343299151e-04
1.052556818181818e+00,3.409090909090909e-02,-2.115000900275659e-04
1.072443181818182e+00,3.409090909090909e-02,-2.038632918916236e-04
1.092329545454545e+00,3.409090909090909e-02,-1.957982399220883e-04
1.112215909090909e+00,3.409090909090909e-02,-1.877331879525529e-04
1.132102272727273e+00,3.409090909090909e-02,-1.794256368356848e-04
1.151988636363636e+00,3.409090909090909e-02,-1.706815872536176e-04
1.171875000000000e+00,3.409090909090909e-02,-1.619375376715504e-04
1.191761363636364e+00,3.409090909090909e-02,-1.530799706282117e-04
1.211647727272727e+00,3.409090909090909e-02,-1.438061728935447e-04
1.231534090909091e+00,3.409090909090909e-02,-1.345323751588777e-04
1.251420454545455e+00,3.409090909090909e-02,-1.252298298053549e-04
1.271306818181818e+00,3.409090909090909e-02,-1.155535654067090e-04
1.291193181818182e+00,3.409090909090909e-02,-1.058773010080633e-04
1.311079545454545e+00,3.409090909090909e-02,-9.620103660941729e-05
1.330965909090909e+00,3.409090909090909e-02,-8.625396099108546e-05
1.350852272727273e+00,3.409090909090909e-02,-7.628605374047020e-05
1.370738636363636e+00,3.409090909090909e-02,-6.631814648985491e-05
1.390625000000000e+00,3.409090909090909e-02,-5.619899150743069e-05
1.410511363636364e+00,3.409090909090909e-02,-4.603858714360405e-05
1.430397727272727e+00,3.409090909090909e-02,-3.587818277977752e-05
1.450284090909091e+00,3.409090909090909e-02,-2.565298506237234e-05
1.470170454545455e+00,3.409090909090909e-02,-1.539179103742336e-05
1.490056818181818e+00,3.409090909090909e-02,-5.130597012474377e-06
6.349431818181818e-01,5.681818181818182e-02,-4.568781029693626e-04
6.548295454545454e-01,5.681818181818182e-02,-4.590596765295802e-04
6.747159090909091e-01,5.681818181818182e-02,-4.612412500897978e-04
6.946022727272727e-01,5.681818181818182e-02,-4.629708343203691e-04
7.144886363636364e-01,5.681818181818182e-02,-4.638868377575770e-04
7.343750000000000e-01,5.681818181818182e-02,-4.648028411947848e-04
7.542613636363636e-01,5.681818181818182e-02,-4.650429797125791e-04
7.741477272727273e-01,5.681818181818182e-02,-4.628049468591899e-04
7.940340909090909e-01,5.681818181818182e-02,-4.605669140058009e-04
8.139204545454546e-01,5.681818181818182e-02,-4.581061476060604e-04
8.338068181818181e-01,5.681818181818182e-02,-4.527498451037525e-04
8.536931818181819e-01,5.681818181818182e-02,-4.473935426014446e-04
8.735795454545454e-01,5.681818181818182e-02,-4.420372400991366e-04
8.934659090909092e-01,5.681818181818182e-02,-4.341966580602362e-04
9.133522727272727e-01,5.681818181818182e-02,-4.261649775954442e-04
9.332386363636364e-01,5.681818181818182e-02,-4.181332971306521e-04
9.531250000000000e-01,5.681818181818182e-02,-4.083721849034345e-04
9.730113636363636e-01,5.681818181818182e-02,-3.981394094682827e-04
9.928977272727273e-01,5.681818181818182e-02,-3.879066340331309e-04
1.012784090909091e+00,5.681818181818182e-02,-3.765286310537740e-04
1.032670454545455e+00,5.681818181818182e-02,-3.645143905498585e-04
1.052556818181818e+00,5.681818181818182e-02,-3.525001500459432e-04
1.072443181818182e+00,5.681818181818182e-02,-3.397721531527060e-04
1.092329545454545e+00,5.681818181818182e-02,-3.263303998701471e-04
1.112215909090909e+00,5.681818181818182e-02,-3.128886465875881e-04
1.132102272727273e+00,5.681818181818182e-02,-2.990427280594746e-04
1.151988636363636e+00,5.681818181818182e-02,-2.844693120893627e-04
