x,y,u,qn
6.250000000000000e-01,2.556818181818182e-01,0.000000000000000e+00,-1.391610128535838e-01
6.250000000000000e-01,2.670454545454545e-01,0.000000000000000e+00,-2.638615002295457e-01
6.250000000000000e-01,2.784090909090909e-01,0.000000000000000e+00,-3.738531053696660e-01
6.250000000000000e-01,2.897727272727273e-01,0.000000000000000e+00,-4.694825117688222e-01
6.250000000000000e-01,3.011363636363636e-01,0.000000000000000e+00,-5.511029018622877e-01
6.250000000000000e-01,3.125000000000000e-01,0.000000000000000e+00,-6.190810045164737e-01
6.250000000000000e-01,3.238636363636364e-01,0.000000000000000e+00,-6.737982542398662e-01
6.250000000000000e-01,3.352272727272727e-01,0.000000000000000e+00,-7.156502398221936e-01
6.250000000000000e-01,3.465909090909091e-01,0.000000000000000e+00,-7.450457093144707e-01
6.250000000000000e-01,3.579545454545455e-01,0.000000000000000e+00,-7.624055301946374e-01
6.250000000000000e-01,3.693181818181818e-01,0.000000000000000e+00,-7.681617283222240e-01
6.250000000000000e-01,3.806818181818182e-01,0.000000000000000e+00,-7.627566380977867e-01
6.250000000000000e-01,3.920454545454546e-01,0.000000000000000e+00,-7.466421657611270e-01
6.250000000000000e-01,4.034090909090909e-01,0.000000000000000e+00,-7.202791581718413e-01
6.250000000000000e-01,4.147727272727273e-01,0.000000000000000e+00,-6.841368669608228e-01
6.250000000000000e-01,4.261363636363636e-01,0.000000000000000e+00,-6.386924973584639e-01
6.250000000000000e-01,4.375000000000000e-01,0.000000000000000e+00,-5.844308295465633e-01
6.250000000000000e-01,4.488636363636364e-01,0.000000000000000e+00,-5.218438949916590e-01
6.250000000000000e-01,4.602272727272727e-01,0.000000000000000e+00,-4.514306743302212e-01
6.250000000000000e-01,4.715909090909091e-01,0.000000000000000e+00,-3.736967390599138e-01
6.250000000000000e-01,4.829545454545454e-01,0.000000000000000e+00,-2.891536325312766e-01
6.250000000000000e-01,4.943181818181818e-01,0.000000000000000e+00,-1.983174007952415e-01
6.250000000000000e-01,5.056818181818181e-01,0.000000000000000e+00,-1.017044254314016e-01
6.250000000000000e-01,5.170454545454546e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,5.284090909090908e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,5.397727272727273e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,5.511363636363636e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,5.625000000000000e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,5.738636363636364e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,5.852272727272727e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,5.965909090909092e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,6.079545454545454e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,6.193181818181819e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,6.306818181818181e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,6.420454545454546e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,6.534090909090908e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,6.647727272727273e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,6.761363636363636e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,6.875000000000000e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,6.988636363636364e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,7.102272727272727e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,7.215909090909092e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,7.329545454545454e-01,0.000000000000000e+00,0.000000000000000e+00
6.250000000000000e-01,7.443181818181819e-01,0.000000000000000e+00,0.000000000000000e+00
