x,y,u
7.102272727272727e-03,1.136363636363636e-02,-2.690662724138213e-04
2.130681818181818e-02,1.136363636363636e-02,-8.071988172414637e-04
3.551136363636364e-02,1.136363636363636e-02,-1.345331362069106e-03
4.971590909090909e-02,1.136363636363636e-02,-1.842515866758321e-03
6.392045454545454e-02,1.136363636363636e-02,-2.308387164282855e-03
7.812500000000000e-02,1.136363636363636e-02,-2.774258461807388e-03
9.232954545454546e-02,1.136363636363636e-02,-3.193579052769832e-03
1.065340909090909e-01,1.136363636363636e-02,-3.585949234670013e-03
1.207386363636364e-01,1.136363636363636e-02,-3.978319416570193e-03
1.349431818181818e-01,1.136363636363636e-02,-4.318485110152001e-03
1.491477272727273e-01,1.136363636363636e-02,-4.636277451597361e-03
1.633522727272727e-01,1.136363636363636e-02,-4.954069793042722e-03
1.775568181818182e-01,1.136363636363636e-02,-5.213908976419120e-03
1.917613636363636e-01,1.136363636363636e-02,-5.456110242122354e-03
2.059659090909091e-01,1.136363636363636e-02,-5.698311507825589e-03
2.201704545454546e-01,1.136363636363636e-02,-5.876698079630709e-03
2.343750000000000e-01,1.136363636363636e-02,-6.042321712656205e-03
2.485795454545454e-01,1.136363636363636e-02,-6.207945345681701e-03
2.627840909090909e-01,1.136363636363636e-02,-6.303770500337792e-03
2.769886363636364e-01,1.136363636363636e-02,-6.391840268508395e-03
2.911931818181818e-01,1.136363636363636e-02,-6.479910036678997e-03
3.053977272727273e-01,1.136363636363636e-02,-6.492068340761936e-03
3.196022727272727e-01,1.136363636363636e-02,-6.501609008152198e-03
3.338068181818182e-01,1.136363636363636e-02,-6.508499317182516e-03
3.480113636363636e-01,1.136363636363636e-02,-6.438529233774437e-03
3.622159090909091e-01,1.136363636363636e-02,-6.368559150366359e-03
3.764204545454545e-01,1.136363636363636e-02,-6.290538349290976e-03
3.906250000000000e-01,1.136363636363636e-02,-6.140061089209852e-03
4.048295454545455e-01,1.136363636363636e-02,-5.989583829128727e-03
4.190340909090909e-01,1.136363636363636e-02,-5.825518097714093e-03
4.332386363636364e-01,1.136363636363636e-02,-5.593510009631910e-03
4.474431818181818e-01,1.136363636363636e-02,-5.361501921549727e-03
4.616477272727273e-01,1.136363636363636e-02,-5.110219524506998e-03
4.758522727272727e-01,1.136363636363636e-02,-4.795607255165335e-03
4.900568181818182e-01,1.136363636363636e-02,-4.480994985823670e-03
5.042613636363636e-01,1.136363636363636e-02,-4.141250391011445e-03
5.184659090909091e-01,1.136363636363636e-02,-3.742863703434574e-03
5.326704545454546e-01,1.136363636363636e-02,-3.344477015857699e-03
5.468750000000000e-01,1.136363636363636e-02,-2.914866656419596e-03
5.610795454545454e-01,1.136363636363636e-02,-2.431324500130278e-03
5.752840909090909e-01,1.136363636363636e-02,-1.947782343840956e-03
5.894886363636364e-01,1.136363636363636e-02,-1.440162884457028e-03
6.036931818181818e-01,1.136363636363636e-02,-9.010577210263074e-04
6.178977272727273e-01,1.136363636363636e-02,-3.619525575955821e-04
7.102272727272727e-03,3.409090909090909e-02,-8.071988172414637e-04
2.130681818181818e-02,3.409090909090909e-02,-2.421596451724391e-03
3.551136363636364e-02,3.409090909090909e-02,-4.035994086207318e-03
4.971590909090909e-02,3.409090909090909e-02,-5.527547600274961e-03
6.392045454545454e-02,3.409090909090909e-02,-6.925161492848561e-03
7.812500000000000e-02,3.409090909090909e-02,-8.322775385422164e-03
9.232954545454546e-02,3.409090909090909e-02,-9.580737158309495e-03
1.065340909090909e-01,3.409090909090909e-02,-1.075784770401004e-02
1.207386363636364e-01,3.409090909090909e-02,-1.193495824971058e-02
1.349431818181818e-01,3.409090909090909e-02,-1.295545533045600e-02
1.491477272727273e-01,3.409090909090909e-02,-1.390883235479208e-02
1.633522727272727e-01,3.409090909090909e-02,-1.486220937912816e-02
1.775568181818182e-01,3.409090909090909e-02,-1.564172692925736e-02
1.917613636363636e-01,3.409090909090909e-02,-1.636833072636706e-02
2.059659090909091e-01,3.409090909090909e-02,-1.709493452347676e-02
2.201704545454546e-01,3.409090909090909e-02,-1.763009423889212e-02
2.343750000000000e-01,3.409090909090909e-02,-1.812696513796861e-02
2.485795454545454e-01,3.409090909090909e-02,-1.862383603704510e-02
2.627840909090909e-01,3.409090909090909e-02,-1.891131150101337e-02
2.769886363636364e-01,3.409090909090909e-02,-1.917552080552518e-02
2.911931818181818e-01,3.409090909090909e-02,-1.943973011003699e-02
3.053977272727273e-01,3.409090909090909e-02,-1.947620502228581e-02
3.196022727272727e-01,3.409090909090909e-02,-1.950482702445659e-02
3.338068181818182e-01,3.409090909090909e-02,-1.952549795154754e-02
3.480113636363636e-01,3.409090909090909e-02,-1.931558770132331e-02
3.622159090909091e-01,3.409090909090909e-02,-1.910567745109907e-02
3.764204545454545e-01,3.409090909090909e-02,-1.887161504787292e-02
3.906250000000000e-01,3.409090909090909e-02,-1.842018326762955e-02
4.048295454545455e-01,3.409090909090909e-02,-1.796875148738618e-02
4.190340909090909e-01,3.409090909090909e-02,-1.747655429314228e-02
4.332386363636364e-01,3.409090909090909e-02,-1.678053002889573e-02
4.474431818181818e-01,3.409090909090909e-02,-1.608450576464918e-02
4.616477272727273e-01,3.409090909090909e-02,-1.533065857352099e-02
4.758522727272727e-01,3.409090909090909e-02,-1.438682176549600e-02
4.900568181818182e-01,3.409090909090909e-02,-1.344298495747101e-02
5.042613636363636e-01,3.409090909090909e-02,-1.242375117303433e-02
5.184659090909091e-01,3.409090909090909e-02,-1.122859111030372e-02
5.326704545454546e-01,3.409090909090909e-02,-1.003343104757309e-02
5.468750000000000e-01,3.409090909090909e-02,-8.744599969258787e-03
5.610795454545454e-01,3.409090909090909e-02,-7.293973500390832e-03
5.752840909090909e-01,3.409090909090909e-02,-5.843347031522867e-03
5.894886363636364e-01,3.409090909090909e-02,-4.320488653371085e-03
