x,y,T,ux,uy
7.102272727273e-03,1.136363636364e-02,4.930237620981e-06,4.930237620981e-08,4.930237620981e-08
2.130681818182e-02,1.136363636364e-02,1.445069647529e-05,1.445069647529e-07,1.445069647529e-07
3.551136363636e-02,1.136363636364e-02,2.351780014606e-05,2.351780014606e-07,2.351780014606e-07
4.971590909091e-02,1.136363636364e-02,3.213154863329e-05,3.213154863329e-07,3.213154863329e-07
6.392045454545e-02,1.136363636364e-02,4.029194193699e-05,4.029194193699e-07,4.029194193699e-07
7.812500000000e-02,1.136363636364e-02,4.799898005714e-05,4.799898005714e-07,4.799898005714e-07
9.232954545455e-02,1.136363636364e-02,5.525266299376e-05,5.525266299376e-07,5.525266299376e-07
1.065340909091e-01,1.136363636364e-02,6.205299074684e-05,6.205299074684e-07,6.205299074684e-07
1.207386363636e-01,1.136363636364e-02,6.839996331637e-05,6.839996331637e-07,6.839996331637e-07
1.349431818182e-01,1.136363636364e-02,7.429358070238e-05,7.429358070238e-07,7.429358070238e-07
1.491477272727e-01,1.136363636364e-02,7.973384290484e-05,7.973384290484e-07,7.973384290484e-07
1.633522727273e-01,1.136363636364e-02,8.472074992376e-05,8.472074992376e-07,8.472074992376e-07
1.775568181818e-01,1.136363636364e-02,8.925430175915e-05,8.925430175915e-07,8.925430175915e-07
1.917613636364e-01,1.136363636364e-02,9.333449841099e-05,9.333449841099e-07,9.333449841099e-07
2.059659090909e-01,1.136363636364e-02,9.696133987930e-05,9.696133987930e-07,9.696133987930e-07
2.201704545455e-01,1.136363636364e-02,1.001348261641e-04,1.001348261641e-06,1.001348261641e-06
2.343750000000e-01,1.136363636364e-02,1.028549572653e-04,1.028549572653e-06,1.028549572653e-06
2.485795454545e-01,1.136363636364e-02,1.051217331830e-04,1.051217331830e-06,1.051217331830e-06
2.627840909091e-01,1.136363636364e-02,1.069351539171e-04,1.069351539171e-06,1.069351539171e-06
2.769886363636e-01,1.136363636364e-02,1.082952194678e-04,1.082952194678e-06,1.082952194678e-06
2.911931818182e-01,1.136363636364e-02,1.092019298348e-04,1.092019298348e-06,1.092019298348e-06
