x,y,T,ux,uy
6.349431818182e-01,1.136363636364e-02,9.663265737124e-06,9.663265737124e-08,9.663265737124e-08
6.548295454545e-01,1.136363636364e-02,2.832336509157e-05,2.832336509157e-07,2.832336509157e-07
6.747159090909e-01,1.136363636364e-02,4.609488828628e-05,4.609488828628e-07,4.609488828628e-07
6.946022727273e-01,1.136363636364e-02,6.297783532125e-05,6.297783532125e-07,6.297783532125e-07
7.144886363636e-01,1.136363636364e-02,7.897220619649e-05,7.897220619649e-07,7.897220619649e-07
7.343750000000e-01,1.136363636364e-02,9.407800091200e-05,9.407800091200e-07,9.407800091200e-07
7.542613636364e-01,1.136363636364e-02,1.082952194678e-04,1.082952194678e-06,1.082952194678e-06
7.741477272727e-01,1.136363636364e-02,1.216238618638e-04,1.216238618638e-06,1.216238618638e-06
7.940340909091e-01,1.136363636364e-02,1.340639281001e-04,1.340639281001e-06,1.340639281001e-06
8.139204545455e-01,1.136363636364e-02,1.456154181767e-04,1.456154181767e-06,1.456154181767e-06
8.338068181818e-01,1.136363636364e-02,1.562783320935e-04,1.562783320935e-06,1.562783320935e-06
8.536931818182e-01,1.136363636364e-02,1.660526698506e-04,1.660526698506e-06,1.660526698506e-06
8.735795454545e-01,1.136363636364e-02,1.749384314479e-04,1.749384314479e-06,1.749384314479e-06
8.934659090909e-01,1.136363636364e-02,1.829356168855e-04,1.829356168855e-06,1.829356168855e-06
9.133522727273e-01,1.136363636364e-02,1.900442261634e-04,1.900442261634e-06,1.900442261634e-06
9.332386363636e-01,1.136363636364e-02,1.962642592816e-04,1.962642592816e-06,1.962642592816e-06
9.531250000000e-01,1.136363636364e-02,2.015957162400e-04,2.015957162400e-06,2.015957162400e-06
9.730113636364e-01,1.136363636364e-02,2.060385970387e-04,2.060385970387e-06,2.060385970387e-06
9.928977272727e-01,1.136363636364e-02,2.095929016776e-04,2.095929016776e-06,2.095929016776e-06
1.012784090909e+00,1.136363636364e-02,2.122586301568e-04,2.122586301568e-06,2.122586301568e-06
1.032670454545e+00,1.136363636364e-02,2.140357824763e-04,2.140357824763e-06,2.140357824763e-06
1.052556818182e+00,1.136363636364e-02,2.149243586360e-04,2.149243586360e-06,2.149243586360e-06
1.072443181818e+00,1.136363636364e-02,2.149243586360e-04,2.149243586360e-06,2.149243586360e-06
1.092329545455e+00,1.136363636364e-02,2.140357824763e-04,2.140357824763e-06,2.140357824763e-06
1.112215909091e+00,1.136363636364e-02,2.122586301568e-04,2.122586301568e-06,2.122586301568e-06
1.132102272727e+00,1.136363636364e-02,2.095929016776e-04,2.095929016776e-06,2.095929016776e-06
1.151988636364e+00,1.136363636364e-02,2.060385970387e-04,2.060385970387e-06,2.060385970387e-06
1.171875000000e+00,1.136363636364e-02,2.015957162400e-04,2.015957162400e-06,2.015957162400e-06
1.191761363636e+00,1.136363636364e-02,1.962642592816e-04,1.962642592816e-06,1.962642592816e-06
1.211647727273e+00,1.136363636364e-02,1.900442261634e-04,1.900442261634e-06,1.900442261634e-06
1.231534090909e+00,1.136363636364e-02,1.829356168855e-04,1.829356168855e-06,1.829356168855e-06
1.251420454545e+00,1.136363636364e-02,1.749384314479e-04,1.749384314479e-06,1.749384314479e-06
1.271306818182e+00,1.136363636364e-02,1.660526698506e-04,1.660526698506e-06,1.660526698506e-06
1.291193181818e+00,1.136363636364e-02,1.562783320935e-04,1.562783320935e-06,1.562783320935e-06
1.311079545455e+00,1.136363636364e-02,1.456154181767e-04,1.456154181767e-06,1.456154181767e-06
1.330965909091e+00,1.136363636364e-02,1.340639281001e-04,1.340639281001e-06,1.340639281001e-06
1.350852272727e+00,1.136363636364e-02,1.216238618638e-04,1.216238618638e-06,1.216238618638e-06
1.370738636364e+00,1.136363636364e-02,1.082952194678e-04,1.082952194678e-06,1.082952194678e-06
1.390625000000e+00,1.136363636364e-02,9.407800091200e-05,9.407800091200e-07,9.407800091200e-07
1.410511363636e+00,1.136363636364e-02,7.897220619649e-05,7.897220619649e-07,7.897220619649e-07
1.430397727273e+00,1.136363636364e-02,6.297783532125e-05,6.297783532125e-07,6.297783532125e-07
1.450284090909e+00,1.136363636364e-02,4.609488828628e-05,4.609488828628e-07,4.609488828628e-07
1.470170454545e+00,1.136363636364e-02,2.832336509157e-05,2.832336509157e-07,2.832336509157e-07
1.490056818182e+00,1.136363636364e-02,9.663265737124e-06,9.663265737124e-08,9.663265737124e-08
6.349431818182e-01,3.409090909091e-02,2.832336509157e-05,2.832336509157e-07,2.832336509157e-07
6.548295454545e-01,3.409090909091e-02,8.301675975115e-05,8.301675975115e-07,8.301675975115e-07
6.747159090909e-01,3.409090909091e-02,1.351057070460e-04,1.351057070460e-06,1.351057070460e-06
6.946022727273e-01,3.409090909091e-02,1.845902069761e-04,1.845902069761e-06,1.845902069761e-06
7.144886363636e-01,3.409090909091e-02,2.314702595414e-04,2.314702595414e-06,2.314702595414e-06
7.343750000000e-01,3.409090909091e-02,2.757458647421e-04,2.757458647421e-06,2.757458647421e-06
7.542613636364e-01,3.409090909091e-02,3.174170225779e-04,3.174170225779e-06,3.174170225779e-06
7.741477272727e-01,3.409090909091e-02,3.564837330491e-04,3.564837330491e-06,3.564837330491e-06
7.940340909091e-01,3.409090909091e-02,3.929459961554e-04,3.929459961554e-06,3.929459961554e-06
